id	name
dvp_002_event_0	World War II
dvp_002_event_1	JFK [President John F. Kennedy] was assassinated
dvp_002_event_2	JFK’s death
dvp_002_event_3	March on Washington [for Jobs and Freedom]
dvp_002_event_4	March on Washington
dvp_002_event_5	Vietnam War
dvp_002_event_6	Vietnam
dvp_002_event_7	World War I
dvp_002_event_8	World War II
dvp_002_event_9	[American] Civil War
dvp_002_event_10	Tet [Offensive]
dvp_002_event_11	[Rev. Dr.] Martin Luther King [Jr.] getting assassinated
dvp_002_event_12	Tet
dvp_002_event_13	Korea
dvp_002_event_14	’68 election
dvp_002_event_15	World War II
dvp_002_event_16	Korea
dvp_002_event_17	Vietnam War
dvp_002_event_18	Vietnam
dvp_002_event_19	big Common rally against the Vietnam War
dvp_002_event_20	My Lai [Massacre] incident
dvp_002_event_21	[the Battle of] Hamburger Hill
dvp_002_event_22	Vietnam War
dvp_002_event_23	Vietnam
dvp_002_event_24	Kuwait War [sic; Persian Gulf War]
dvp_002_event_25	Vietnam
dvp_002_event_26	Vietnam
