id	persName
dvp_002_person_0	Riley Carbone
dvp_002_person_1	Peter [D.] Barber
dvp_002_person_2	Mr. Barber
dvp_002_person_3	[Edward J.] “Eddie” Jeremiah’s [Class of 1930]
dvp_002_person_4	Eddie Jeremiah
dvp_002_person_5	[Ulysses J.] “Tony” Lupien
dvp_002_person_6	Barry [F.] Machado [Class of 1966]
dvp_002_person_7	Chris Ohiri
dvp_002_person_8	Clyde Sutherland
dvp_002_person_9	John [S.] Dickey [Class of 1929]
dvp_002_person_10	[President Richard M.] Nixon
dvp_002_person_11	Barry Bachado
dvp_002_person_12	[Alden H.] “Whitey” Burnham
dvp_002_person_13	Whitey
dvp_002_person_14	[Alfred E.] Watson
dvp_002_person_15	[William S.] “Bill” Smoyer [Class of 1967]
dvp_002_person_16	Bill Smoyer
dvp_002_person_17	Whitey
dvp_002_person_18	Bill Smoyer
dvp_002_person_19	[Richard W.] “Dick” Horton [Class of 1965]
dvp_002_person_20	[Stephen B.] “Steve” Dichter [Class of 1964]
dvp_002_person_21	Steve Victor
dvp_002_person_22	Dick Horton
dvp_002_person_23	[Theodore W.] “Ted” Friel
dvp_002_person_24	Tony
dvp_002_person_25	Tony
dvp_002_person_26	Tony
dvp_002_person_27	Tony
dvp_002_person_28	[Lyndon B.] Johnson
dvp_002_person_29	[Barry M.] Goldwater
dvp_002_person_30	Muhammad Ali
dvp_002_person_31	[Robert F.] “Bobby” Kennedy
dvp_002_person_32	[Eugene J.] “Gene” McCarthy
dvp_002_person_33	Bobby Kennedy
dvp_002_person_34	[Edward M.] “Ted” Kennedy
dvp_002_person_35	Kennedy
dvp_002_person_36	Ted Kennedy
dvp_002_person_37	[A.] Noam Chomsky
dvp_002_person_38	Chomsky
dvp_002_person_39	Nixon
dvp_002_person_40	John [F.] Kerry
dvp_002_person_41	Senator [Alan M.] Cranston
dvp_002_person_42	John Kerry
dvp_002_person_43	Kerry
dvp_002_person_44	John Kerry
dvp_002_person_45	Senator Alan Cranston
dvp_002_person_46	Alan
dvp_002_person_47	Kerry
dvp_002_person_48	Cranston
dvp_002_person_49	Nixon
dvp_002_person_50	[George S.] McGovern
dvp_002_person_51	McGovern
dvp_002_person_52	Daniel Ellsberg
dvp_002_person_53	Nixon
dvp_002_person_54	[President Gerald R.] Ford [Jr.]
dvp_002_person_55	Nixon
dvp_002_person_56	Ford
dvp_002_person_57	[President James E. “Jimmy”] Carter
dvp_002_person_58	[Charles W. [“Duke] “Chuck” Oakley
dvp_002_person_59	Duke Oakley
dvp_002_person_60	Bill Smoyers
dvp_002_person_61	Billy Smoyer
dvp_002_person_62	Stan Smoyer
dvp_002_person_63	Bill
dvp_002_person_64	Dave, Class of ’63, [David “Dave” Smoyer, Class of 1962]
dvp_002_person_65	Bill Smoyer
dvp_002_person_66	Nancy [R. Smoyer]
dvp_002_person_67	Bill
dvp_002_person_68	Bill
dvp_002_person_69	Nancy
dvp_002_person_70	[Jonathan V.] “Jon” Voigt
