id	persName
dvp_022_person_0	Riley Carbone
dvp_022_person_1	David [P.] Barton
dvp_022_person_2	President [John S.] Dickey [Class of 1929]
dvp_022_person_3	[Edward G.] “Red” Hoehn [Jr.]
dvp_022_person_4	Adlai [E.] Stevenson [II]
dvp_022_person_5	[President Dwight D.] Eisenhower
dvp_022_person_6	Eisenhower
dvp_022_person_7	Eisenhower
dvp_022_person_8	Eisenhower
dvp_022_person_9	Eisenhower
dvp_022_person_10	Eisenhower
dvp_022_person_11	President [John F.] Kennedy
dvp_022_person_12	[the Rev. George H.] Kalbfleisch
dvp_022_person_13	Santiago Álvarez [Román]
dvp_022_person_14	President Kennedy
dvp_022_person_15	[President Lyndon B.] Johnson
dvp_022_person_16	Kennedy
dvp_022_person_17	Johnson
dvp_022_person_18	Johnson
dvp_022_person_19	Johnson
dvp_022_person_20	Kennedy
dvp_022_person_21	Kennedy
dvp_022_person_22	Kennedy
dvp_022_person_23	Malcolm X
dvp_022_person_24	Malcolm X
dvp_022_person_25	Malcolm X
dvp_022_person_26	Kennedy
dvp_022_person_27	Malcolm X
dvp_022_person_28	[the Rev. Dr.] Martin Luther King [Jr.]
dvp_022_person_29	Robert [F.] Kennedy
dvp_022_person_30	[William S.] Bill Smoyer [Class of 1967]
dvp_022_person_31	Martin Luther King
dvp_022_person_32	Robert Kennedy
dvp_022_person_33	Martin Luther King
dvp_022_person_34	JFK
dvp_022_person_35	Kennedy
dvp_022_person_36	Robert Kennedy
dvp_022_person_37	Kennedy
dvp_022_person_38	Robert Kennedy
dvp_022_person_39	Robert Kennedy
dvp_022_person_40	Bill Smoyer
dvp_022_person_41	Kennedy brothers
dvp_022_person_42	Malcolm X
dvp_022_person_43	Martin Luther King
dvp_022_person_44	Robert Kennedy
dvp_022_person_45	Robert Kennedy
dvp_022_person_46	Jane [Couser] Barton
dvp_022_person_47	Lee [H.] Hamilton
dvp_022_person_48	Chairman Lee [H.] Hamilton
dvp_022_person_49	Congressman Hamilton
dvp_022_person_50	Congressman Hamilton
dvp_022_person_51	Congressman Hamilton
dvp_022_person_52	Congressman Hamilton
dvp_022_person_53	Congressman Hamilton
dvp_022_person_54	Congressman Hamilton
dvp_022_person_55	Congressman Hamilton
dvp_022_person_56	congressman Hamilton
dvp_022_person_57	Senator [John F.] Kerry
dvp_022_person_58	Mr. [Henry A.] Kissinger
dvp_022_person_59	[Angus S.] “Gus” King [Jr., Class of 1966]
dvp_022_person_60	[William S.] “Bill” Smoyer [Class of 1967]
