id	orgName	QID	dvp_id
dvp_022_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_022_org_1	Dartmouth College	Q49116	
dvp_022_org_2	Dartmouth College	Q49116	
dvp_022_org_3	Dartmouth College	Q49116	
dvp_022_org_4	Dartmouth College	Q49116	
dvp_022_org_5	Dartmouth College	Q49116	
dvp_022_org_6	Federal Government of the United States of America	Q48525	
dvp_022_org_7	United Kingdom	Q145	
dvp_022_org_8	United Kingdom	Q145	
dvp_022_org_9	United Kingdom	Q145	
dvp_022_org_10	Dartmouth College	Q49116	
dvp_022_org_11	Dartmouth College	Q49116	
dvp_022_org_12	Harvard University	Q13371	
dvp_022_org_13	Harvard University	Q13371	
dvp_022_org_14	Harvard University	Q13371	
dvp_022_org_15	Harvard University	Q13371	
dvp_022_org_16	Harvard University	Q13371	
dvp_022_org_17	Dartmouth College	Q49116	
dvp_022_org_18	Dartmouth College	Q49116	
dvp_022_org_19	Dartmouth College	Q49116	
dvp_022_org_20	Dartmouth College	Q49116	
dvp_022_org_21	Dartmouth College	Q49116	
dvp_022_org_22	freshman trip		dvp_0191
dvp_022_org_23	freshman trip		dvp_0191
dvp_022_org_24	freshman trip		dvp_0191
dvp_022_org_25	Dartmouth College	Q49116	
dvp_022_org_26	Dartmouth Men's Tennis	Q105086838	
dvp_022_org_27	Dartmouth Men's Tennis	Q105086838	
dvp_022_org_28	Dartmouth Men's Tennis	Q105086838	
dvp_022_org_29	Dartmouth College	Q49116	
dvp_022_org_30	Democratic Party	Q29552	
dvp_022_org_31	United Nations	Q1065	
dvp_022_org_32	United Nations	Q1065	
dvp_022_org_33	Dartmouth College	Q49116	
dvp_022_org_34	Dartmouth College	Q49116	
dvp_022_org_35	Dartmouth Christian Union	Q105077047	
dvp_022_org_36	Dartmouth Christian Union	Q105077047	
dvp_022_org_37	Dartmouth Christian Union	Q105077047	
dvp_022_org_38	Dartmouth Christian Union	Q105077047	
dvp_022_org_39	Dartmouth Christian Union	Q105077047	
dvp_022_org_40	Dartmouth Christian Union	Q105077047	
dvp_022_org_41	Dartmouth Christian Union	Q105077047	
dvp_022_org_42	Dartmouth Christian Union	Q105077047	
dvp_022_org_43	Dartmouth Christian Union	Q105077047	
dvp_022_org_44	United States of America	Q30	
dvp_022_org_45	Dartmouth Christian Union	Q105077047	
dvp_022_org_46	Dartmouth Christian Union	Q105077047	
dvp_022_org_47	Dartmouth College	Q49116	
dvp_022_org_48	Dartmouth Christian Union	Q105077047	
dvp_022_org_49	Dartmouth Christian Union	Q105077047	
dvp_022_org_50	Dartmouth College	Q49116	
dvp_022_org_51	North Vietnam	Q172640	
dvp_022_org_52	South Vietnam	Q180573	
dvp_022_org_53	Dartmouth Christian Union	Q105077047	
dvp_022_org_54	Dartmouth College	Q49116	
dvp_022_org_55	Experiment in International Living	Q1384358	
dvp_022_org_56	United States of America	Q30	
dvp_022_org_57	United States of America	Q30	
dvp_022_org_58	United States of America	Q30	
dvp_022_org_59	Dartmouth Christian Union	Q105077047	
dvp_022_org_60	United States of America	Q30	
dvp_022_org_61	Dartmouth College	Q49116	
dvp_022_org_62	Dartmouth Christian Union	Q105077047	
dvp_022_org_63	North Vietnam	Q172640	
dvp_022_org_64	Dartmouth Christian Union	Q105077047	
dvp_022_org_65	Dartmouth College	Q49116	
dvp_022_org_66	Democratic Party	Q29552	
dvp_022_org_67	Dartmouth College	Q49116	
dvp_022_org_68	Religious Society of Friends	Q170208	
dvp_022_org_69	Dartmouth College	Q49116	
dvp_022_org_70	Dartmouth Christian Union	Q105077047	
dvp_022_org_71	Dartmouth College	Q49116	
dvp_022_org_72	Dartmouth Christian Union	Q105077047	
dvp_022_org_73	Dartmouth College	Q49116	
dvp_022_org_74	Dartmouth College	Q49116	
dvp_022_org_75	Delta Upsilon	Q5254771	
dvp_022_org_76	Foley House Cooperative	Q101064569	
