id	placeName
dvp_022_place_0	Rauner [Special Collections] Library
dvp_022_place_1	Dartmouth College
dvp_022_place_2	Hanover, New Hampshire 
dvp_022_place_3	Virginia
dvp_022_place_4	Washington, D.C.
dvp_022_place_5	Silver Spring, Maryland
dvp_022_place_6	England
dvp_022_place_7	England
dvp_022_place_8	Silver Spring, Maryland
dvp_022_place_9	Great Britain
dvp_022_place_10	France
dvp_022_place_11	Germany
dvp_022_place_12	Switzerland
dvp_022_place_13	Austria
dvp_022_place_14	Silver Springs, Maryland
dvp_022_place_15	Silver Springs
dvp_022_place_16	Silver Spring
dvp_022_place_17	Silver Spring
dvp_022_place_18	lodge
dvp_022_place_19	Topliff [Hall]
dvp_022_place_20	Topliff dorm
dvp_022_place_21	Dartmouth
dvp_022_place_22	United States
dvp_022_place_23	Vietnam
dvp_022_place_24	Vietnam
dvp_022_place_25	Upper River Valley [Upper Valley]
dvp_022_place_26	Upper River Valley
dvp_022_place_27	Upper River Valley
dvp_022_place_28	Dartmouth
dvp_022_place_29	United States
dvp_022_place_30	Vietnam
dvp_022_place_31	Dartmouth
dvp_022_place_32	Hop [Hopkins Center for the Arts in Hanover, New Hampshire]
dvp_022_place_33	France
dvp_022_place_34	France
dvp_022_place_35	France
dvp_022_place_36	France
dvp_022_place_37	Vietnam
dvp_022_place_38	Vietnam
dvp_022_place_39	Vietnam
dvp_022_place_40	Vietnam
dvp_022_place_41	France
dvp_022_place_42	Vietnam
dvp_022_place_43	France
dvp_022_place_44	Vietnam
dvp_022_place_45	United States
dvp_022_place_46	United States
dvp_022_place_47	United States
dvp_022_place_48	Vietnam
dvp_022_place_49	Vietnam
dvp_022_place_50	America
dvp_022_place_51	America
dvp_022_place_52	America
dvp_022_place_53	Vietnam
dvp_022_place_54	Vietnam
dvp_022_place_55	France
dvp_022_place_56	Cutter Hall
dvp_022_place_57	Cutter Hall
dvp_022_place_58	Cutter Hall
dvp_022_place_59	Cutter Hall
dvp_022_place_60	Cutter Hall
dvp_022_place_61	France
dvp_022_place_62	Occom Pond
dvp_022_place_63	France
dvp_022_place_64	France
dvp_022_place_65	Vietnam
dvp_022_place_66	Vietnam
