id	placeName	QID	dvp_id	coordinate location
dvp_074_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_074_place_1	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_2	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_3	Nebraska	Q1553		41.5,-100
dvp_074_place_4	Lincoln	Q28260		40.810555555556,-96.680277777778
dvp_074_place_5	Boston	Q100		42.358333333333,-71.0625
dvp_074_place_6	Syracuse University	Q617433		43.037638888889,-76.134
dvp_074_place_7	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_8	Virginia	Q1370		37.5,-79
dvp_074_place_9	Alexandria	Q88		38.804722222222,-77.047222222222
dvp_074_place_10	Florida	Q812		28.133333333333,-81.631666666667
dvp_074_place_11	United States of America	Q30		39.828175,-98.5795
dvp_074_place_12	Florida	Q812		28.133333333333,-81.631666666667
dvp_074_place_13	Indianapolis	Q6346		39.768611111111,-86.158055555556
dvp_074_place_14	Hawaii	Q782		21.3075,-157.8575
dvp_074_place_15	Mechanicsburg	Q1183440		40.21194,-77.00611
dvp_074_place_16	Pennsylvania	Q1400		41,-77.5
dvp_074_place_17	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_18	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_19	Newfoundland and Labrador	Q2003		53,-60
dvp_074_place_20	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_21	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_22	Macon	Q219656		32.84069,-83.6324
dvp_074_place_23	Georgia	Q1428		33,-83.5
dvp_074_place_24	Pearl Harbor	Q127091		21.361944,-157.953611
dvp_074_place_25	Pearl Harbor	Q127091		21.361944,-157.953611
dvp_074_place_26	Pearl Harbor	Q127091		21.361944,-157.953611
dvp_074_place_27	Hawaii	Q782		21.3075,-157.8575
dvp_074_place_28	Philippines	Q928		12,123
dvp_074_place_29	American Samoa	Q16641		-14.295833,-170.7075
dvp_074_place_31	Hawaii	Q782		21.3075,-157.8575
dvp_074_place_32	Newfoundland and Labrador	Q2003		53,-60
dvp_074_place_34	Pearl Harbor	Q127091		21.361944,-157.953611
dvp_074_place_35	Jacksonville	Q16568		30.316666666667,-81.65
dvp_074_place_36	Newfoundland and Labrador	Q2003		53,-60
dvp_074_place_37	Indianapolis	Q6346		39.768611111111,-86.158055555556
dvp_074_place_38	Mechanicsburg	Q1183440		40.21194,-77.00611
dvp_074_place_39	Arlington, Virginia	Q97223188		38.8816, -77.0910
dvp_074_place_40	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_41	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_42	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_074_place_43	Mechanicsburg	Q1183440		40.21194,-77.00611
dvp_074_place_44	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_45	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_074_place_46	Hawaii	Q782		21.3075,-157.8575
dvp_074_place_47	Hawaii	Q782		21.3075,-157.8575
dvp_074_place_48	San Francisco	Q62		37.7775,-122.41638888888889
dvp_074_place_49	Enewetak Atoll	Q649190		11.5,162.33333333333
dvp_074_place_51	San Francisco	Q62		37.7775,-122.41638888888889
dvp_074_place_52	South Korea	Q884		36,128
dvp_074_place_53	South Korea	Q884		36,128
dvp_074_place_54	Pearl Harbor	Q127091		21.361944,-157.953611
dvp_074_place_55	Andrews Air Force Base	Q19985418		38.8047174,-76.8762925
dvp_074_place_56	Daniel K. Inouye International Airport	Q531178		21.318611,-157.9225
dvp_074_place_57	Suez Canal	Q899		30.705,32.344166666667
dvp_074_place_58	Egypt	Q79		27,29
dvp_074_place_59	Middle East	Q7204		28,45
dvp_074_place_60	Hungary	Q28		47,19
dvp_074_place_61	Hungary	Q28		47,19
dvp_074_place_62	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_074_place_63	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_074_place_64	St. Louis	Q38022		38.616666666667,-90.2
dvp_074_place_65	Ann Arbor	Q485172		42.28138889,-83.74833333
dvp_074_place_66	Dartmouth College	Q49116		43.703333333333,-72.288333333333
