id	name	QID	dvp_id	start time	end time	point in time
dvp_202_event_0	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_202_event_1	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_2	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_202_event_3	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_4	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_202_event_5	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_202_event_6	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_202_event_7	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_202_event_8	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_9	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_10	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_11	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_12	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_13	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_14	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_202_event_15	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_16	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_17	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_18	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_202_event_19	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_202_event_20	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_21	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_22	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_23	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_24	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_202_event_25	Vietnam War	Q8740		1955-01-01T00:00:00Z	1975-04-30T00:00:00Z	
