id	placeName	coordinate location	QID	dvp_id
dvp_202_place_0	Hanover	43.7,-72.28333333333333	Q131908	
dvp_202_place_1	Chesterfield Court House	37.3764,-77.5039	Q1377220	
dvp_202_place_2	Riga	56.9475,24.106944444444	Q1773	
dvp_202_place_3	Latvia	57,25	Q211	
dvp_202_place_4	Latvia	57,25	Q211	
dvp_202_place_5	Soviet Union	65,90	Q15180	
dvp_202_place_6	Latvia	57,25	Q211	
dvp_202_place_7	Germany	51,10	Q183	
dvp_202_place_8	Bremen	53.075833333333335,8.807222222222222	Q24879	
dvp_202_place_9	Schleswig-Holstein	54.470038,9.51416	Q1194	
dvp_202_place_10	Siberia	60,105	Q5428	
dvp_202_place_11	Latvia	57,25	Q211	
dvp_202_place_12	Latvia	57,25	Q211	
dvp_202_place_13	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_14	Mississippi	33,-90	Q1494	
dvp_202_place_15	New York City	40.7,-74	Q60	
dvp_202_place_16	New York City	40.7,-74	Q60	
dvp_202_place_17	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_18	Latvia	57,25	Q211	
dvp_202_place_19	Europe	48.690959,9.14062	Q46	
dvp_202_place_20	Australia	-25,133	Q408	
dvp_202_place_21	Australia	-25,133	Q408	
dvp_202_place_22	Europe	48.690959,9.14062	Q46	
dvp_202_place_23	City of Brussels	50.846666666666664,4.351666666666667	Q239	
dvp_202_place_24	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_25	Levittown	40.1542,-74.8497	Q1183907	
dvp_202_place_26	Long Island	40.805805,-73.253616	Q18438	
dvp_202_place_27	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_28	Eckernförde	54.474166666667,9.8377777777778	Q490453	
dvp_202_place_29	Bremen	53.13333333333333,8.733333333333333	Q1209	
dvp_202_place_30	Bremen	53.13333333333333,8.733333333333333	Q1209	
dvp_202_place_31	Atlantic Ocean	0,-30	Q97	
dvp_202_place_32	Germany	51,10	Q183	
dvp_202_place_33	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_34	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_35	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_36	Europe	48.690959,9.14062	Q46	
dvp_202_place_37	Australia	-25,133	Q408	
dvp_202_place_38	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_39	Europe	48.690959,9.14062	Q46	
dvp_202_place_40	Europe	48.690959,9.14062	Q46	
dvp_202_place_41	New York City	40.7,-74	Q60	
dvp_202_place_42	Europe	48.690959,9.14062	Q46	
dvp_202_place_43	Germany	51,10	Q183	
dvp_202_place_44	New York City	40.7,-74	Q60	
dvp_202_place_45	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_46	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_47	New York City	40.7,-74	Q60	
dvp_202_place_48	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_49	Ellis Island	40.699444444444445,-74.03972222222222	Q202175	
