id	orgName	QID	dvp_id
dvp_076_org_0	Metropolitan Museum of Art	Q160236	
dvp_076_org_1	Columbia University	Q49088	
dvp_076_org_2	Young People's Concerts	Q8058353	
dvp_076_org_3	radio station orchestra		
dvp_076_org_4	Pan Am	Q8681	
dvp_076_org_5	The Bronx High School of Science	Q751612	
dvp_076_org_6	Deerfield Academy	Q5250893	
dvp_076_org_7	Deerfield Academy	Q5250893	
dvp_076_org_8	Deerfield Academy	Q5250893	
dvp_076_org_9	Deerfield Academy	Q5250893	
dvp_076_org_10	Harvard University	Q13371	
dvp_076_org_11	Harvard University	Q13371	
dvp_076_org_12	Harvard University	Q13371	
dvp_076_org_13	Harvard University	Q13371	
dvp_076_org_14	Harvard University	Q13371	
dvp_076_org_15	Haverford College	Q579611	
dvp_076_org_16	Harvard University	Q13371	
dvp_076_org_17	Haverford College	Q579611	
dvp_076_org_18	Columbia University	Q49088	
dvp_076_org_19	University of Bristol	Q459506	
dvp_076_org_20	Haverford College	Q579611	
dvp_076_org_21	Harvard University	Q13371	
dvp_076_org_22	Harvard University	Q13371	
dvp_076_org_23	Dartmouth College	Q49116	
dvp_076_org_24	Haverford College	Q579611	
dvp_076_org_25	Friends Camp	Q107527723	
dvp_076_org_26	Harvard University	Q13371	
dvp_076_org_27	Haverford College	Q579611	
dvp_076_org_28	Harvard University	Q13371	
dvp_076_org_29	Harvard University	Q13371	
dvp_076_org_30	Harvard University	Q13371	
dvp_076_org_31	Harvard University	Q13371	
dvp_076_org_32	Haverford College	Q579611	
dvp_076_org_33	Haverford College	Q579611	
dvp_076_org_34	Haverford College	Q579611	
dvp_076_org_35	Swarthmore College	Q1378320	
dvp_076_org_36	World Council of Churches	Q283639	
dvp_076_org_37	Haverford College	Q579611	
dvp_076_org_38	Harvard University	Q13371	
dvp_076_org_39	Harvard University	Q13371	
dvp_076_org_40	Dartmouth College	Q49116	
dvp_076_org_41	Haverford College	Q579611	
dvp_076_org_42	Haverford College	Q579611	
