id	placeName	QID	dvp_id	coordinate location
dvp_076_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_076_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_076_place_2	Sunnyside	Q7523819		40.742880555556,-73.9188
dvp_076_place_3	New York City	Q60		40.67,-73.94
dvp_076_place_4	New York City	Q60		40.67,-73.94
dvp_076_place_5	New York City	Q60		40.67,-73.94
dvp_076_place_6	Carnegie Hall	Q200959		40.765,-73.98
dvp_076_place_7	Carnegie Hall	Q200959		40.765,-73.98
dvp_076_place_8	Lewisohn Stadium	Q6537369		40.8191,-73.9512
dvp_076_place_9	New York City	Q60		40.67,-73.94
dvp_076_place_10	New York City	Q60		40.67,-73.94
dvp_076_place_11	LaGuardia Airport	Q319654		40.775,-73.875
dvp_076_place_12	Queens Boulevard	Q3660813		40.735555555556,-73.875833333333
dvp_076_place_13	Manhattan	Q11299		40.728333333333,-73.994166666667
dvp_076_place_14	New York City	Q60		40.67,-73.94
dvp_076_place_15	New York City	Q60		40.67,-73.94
dvp_076_place_16	Deerfield Academy	Q5250893		42.5464,-72.6053
dvp_076_place_17	Pennsylvania	Q1400		41,-77.5
dvp_076_place_18	England	Q21		53,-1
dvp_076_place_19	Haverford College	Q579611		40.00972222222222,-75.30722222222222
dvp_076_place_20	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_076_place_21	Harvard College	Q49123		42.374,-71.117
dvp_076_place_22	Haverford College	Q579611		40.00972222222222,-75.30722222222222
dvp_076_place_23	Haverford College	Q579611		40.00972222222222,-75.30722222222222
dvp_076_place_24	Haverford College	Q579611		40.00972222222222,-75.30722222222222
dvp_076_place_25	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_076_place_26	Haverford College	Q579611		40.00972222222222,-75.30722222222222
dvp_076_place_27	Netherlands	Q55		52.316666666667,5.55
dvp_076_place_28	Rotterdam	Q34370		51.9225,4.47917
dvp_076_place_29	Rotterdam	Q34370		51.9225,4.47917
dvp_076_place_30	Netherlands	Q55		52.316666666667,5.55
dvp_076_place_31	England	Q21		53,-1
dvp_076_place_32	United States of America	Q30		39.828175,-98.5795
dvp_076_place_33	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_076_place_34	Manhattan	Q11299		40.728333333333,-73.994166666667
dvp_076_place_35	Rochester	Q49218		43.165555555556,-77.611388888889
dvp_076_place_36	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_076_place_37	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_076_place_38	Philadelphia	Q1345		39.952777777778,-75.163611111111
dvp_076_place_39	Birmingham	Q2256		52.48,-1.9025
dvp_076_place_40	Birmingham	Q2256		52.48,-1.9025
dvp_076_place_41	Bournville	Q4950318		52.4299,-1.9355
dvp_076_place_42	Greece	Q41		38.5,23
dvp_076_place_43	Birmingham	Q2256		52.48,-1.9025
dvp_076_place_44	Paris	Q90		48.856944444444,2.3513888888889
dvp_076_place_45	Thessaloniki	Q17151		40.640277777777776,22.935555555555556
dvp_076_place_46	Birmingham	Q2256		52.48,-1.9025
dvp_076_place_47	London	Q84		51.507222222222,-0.1275
dvp_076_place_48	London	Q84		51.507222222222,-0.1275
dvp_076_place_49	Greece	Q41		38.5,23
dvp_076_place_50	New York City	Q60		40.67,-73.94
dvp_076_place_51	Greece	Q41		38.5,23
dvp_076_place_52	England	Q21		53,-1
dvp_076_place_53	The Hanover Public House	Q26483062		51.945524,1.288893
dvp_076_place_54	Columbia University	Q49088		40.8075,-73.961944444444
dvp_076_place_55	Adirondack Mountains	Q357546		44.1125,-73.9239
dvp_076_place_56	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_076_place_57	Hudson River	Q3140		44.1067,-73.9358
				40.6001,-74.042
dvp_076_place_58	Connecticut River	Q379648		45.2375,-71.2
				41.272222222222,-72.333055555556
dvp_076_place_59	Hudson River	Q3140		44.1067,-73.9358
				40.6001,-74.042
dvp_076_place_60	Rockefeller Center	Q11277		40.758611111111,-73.979194444444
dvp_076_place_61	Mexican			
dvp_076_place_62	Sanborn House	Q7415589		42.445556,-71.156667
