id	orgName	QID	dvp_id
dvp_025_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_025_org_1	Dartmouth College	Q49116	
dvp_025_org_2	Newport News Shipbuilding	Q82610	
dvp_025_org_3	United States Navy	Q11220	
dvp_025_org_4	University of Michigan	Q230492	
dvp_025_org_5	Democratic Party	Q29552	
dvp_025_org_6	United States Navy	Q11220	
dvp_025_org_7	University of Michigan	Q230492	
dvp_025_org_8	United States Army Reserve	Q2036662	
dvp_025_org_9	Reserve Officers' Training Corps	Q489983	
dvp_025_org_10	Michigan	Q1166	
dvp_025_org_11	United States Army Reserve	Q2036662	
dvp_025_org_12	United States Army	Q9212	
dvp_025_org_13	United States Military Academy	Q9219	
dvp_025_org_14	United States Military Academy	Q9219	
dvp_025_org_15	United States Military Academy	Q9219	
dvp_025_org_16	Confederate States of America	Q81931	
dvp_025_org_17	United States Army	Q9212	
dvp_025_org_18	United States Army	Q9212	
dvp_025_org_19	Reserve Officers' Training Corps	Q489983	
dvp_025_org_20	United States Army	Q9212	
dvp_025_org_21	United States Army	Q9212	
dvp_025_org_22	Cass Technical High School	Q5049183	
dvp_025_org_23	University of Michigan	Q230492	
dvp_025_org_24	University of Michigan	Q230492	
dvp_025_org_25	United States Military Academy	Q9219	
dvp_025_org_26	United States Military Academy	Q9219	
dvp_025_org_27	United States Army	Q9212	
dvp_025_org_28	United States Army	Q9212	
dvp_025_org_29	United States Army	Q9212	
dvp_025_org_30	United States Military Academy	Q9219	
dvp_025_org_31	United States Army	Q9212	
dvp_025_org_32	University of Virginia	Q213439	
dvp_025_org_33	University of Virginia	Q213439	
dvp_025_org_34	United States Army	Q9212	
dvp_025_org_35	University of Virginia	Q213439	
dvp_025_org_36	United States Army	Q9212	
dvp_025_org_37	United States Army Reserve	Q2036662	
dvp_025_org_38	Reserve Officers' Training Corps	Q489983	
dvp_025_org_39	University of Virginia	Q213439	
dvp_025_org_40	United States Military Academy	Q9219	
dvp_025_org_41	United States Army	Q9212	
dvp_025_org_42	United States Army	Q9212	
dvp_025_org_43	United States Army	Q9212	
dvp_025_org_44	United States Army Reserve	Q2036662	
dvp_025_org_45	United States Army	Q9212	
dvp_025_org_46	United States Army	Q9212	
dvp_025_org_47	United States Army	Q9212	
dvp_025_org_48	United States Military Academy	Q9219	
dvp_025_org_49	United States Military Academy	Q9219	
dvp_025_org_50	United States Army Reserve	Q2036662	
dvp_025_org_51	Reserve Officers' Training Corps	Q489983	
dvp_025_org_52	United States Military Academy	Q9219	
dvp_025_org_53	University of Virginia	Q213439	
dvp_025_org_54	University of Virginia	Q213439	
dvp_025_org_55	United States Military Academy	Q9219	
dvp_025_org_56	University of Virginia	Q213439	
dvp_025_org_57	Dartmouth College	Q49116	
dvp_025_org_58	Smith College	Q49204	
dvp_025_org_59	Radcliffe College	Q49124	
dvp_025_org_60	Reserve Officers' Training Corps	Q489983	
dvp_025_org_61	Reserve Officers' Training Corps	Q489983	
dvp_025_org_62	University of Virginia	Q213439	
dvp_025_org_63	Naval Reserve Officers Training Corps	Q6981909	
dvp_025_org_64	Reserve Officers' Training Corps	Q489983	
dvp_025_org_65	Air Force Reserve Officer Training Corp	Q101243281	
dvp_025_org_66	United States Army	Q9212	
dvp_025_org_67	Reserve Officers' Training Corps	Q489983	
dvp_025_org_68	United States Army Reserve	Q2036662	
dvp_025_org_69	Reserve Officers' Training Corps	Q489983	
dvp_025_org_70	United States Army Reserve	Q2036662	
dvp_025_org_71	United States Army Reserve	Q2036662	
dvp_025_org_72	United States Army Reserve	Q2036662	
dvp_025_org_73	United States Army Reserve	Q2036662	
dvp_025_org_74	United States Army	Q9212	
dvp_025_org_75	United States Army Corps of Engineers	Q1049334	
dvp_025_org_76	Reserve Officers' Training Corps	Q489983	
dvp_025_org_77	Reserve Officers' Training Corps	Q489983	
dvp_025_org_78	Reserve Officers' Training Corps	Q489983	
dvp_025_org_79	United States Army	Q9212	
dvp_025_org_80	United States Army Corps of Engineers	Q1049334	
dvp_025_org_81	United States Army	Q9212	
dvp_025_org_82	United States Army Reserve	Q2036662	
dvp_025_org_83	National Science Foundation	Q304878	
dvp_025_org_84	United States Atomic Energy Commission	Q939090	
dvp_025_org_85	United States Atomic Energy Commission	Q939090	
dvp_025_org_86	University of Michigan	Q230492	
dvp_025_org_87	Massachusetts Institute of Technology	Q49108	
dvp_025_org_88	Harvard University	Q13371	
dvp_025_org_89	Michigan	Q1166	
dvp_025_org_90	Massachusetts Institute of Technology	Q49108	
dvp_025_org_91	Harvard University	Q13371	
dvp_025_org_92	Massachusetts Institute of Technology	Q49108	
dvp_025_org_93	Harvard School of Engineering and Applied Sciences	Q5676553	
dvp_025_org_94	Harvard University	Q13371	
dvp_025_org_95	Harvard University	Q13371	
dvp_025_org_96	Harvard University	Q13371	
dvp_025_org_97	RAND Corporation	Q861141	
dvp_025_org_98	Oak Ridge National Laboratory	Q714439	
dvp_025_org_99	Lawrence Livermore National Laboratory	Q519826	
dvp_025_org_100	Los Alamos National Laboratory	Q379848	
dvp_025_org_101	Sandia National Laboratories	Q1736748	
dvp_025_org_102	United States Department of Defense	Q11209	
dvp_025_org_103	The Pentagon	Q11208	
dvp_025_org_104	Harvard University	Q13371	
dvp_025_org_105	Harvard University	Q13371	
dvp_025_org_106	Harvard University	Q13371	
dvp_025_org_107	Los Alamos National Laboratory	Q379848	
