id	orgName
dvp_075_org_0	Dartmouth College
dvp_075_org_1	Dartmouth College
dvp_075_org_2	Morgan Park High School
dvp_075_org_3	University of Illinois
dvp_075_org_4	Dartmouth
dvp_075_org_5	University of Illinois
dvp_075_org_6	[U.S.] Merchant Marine
dvp_075_org_7	Merchant Marine
dvp_075_org_8	Boy Scout
dvp_075_org_9	Boy Scout
dvp_075_org_10	Dartmouth
dvp_075_org_11	Purdue University
dvp_075_org_12	Dartmouth
dvp_075_org_13	Dartmouth
dvp_075_org_14	Thayer Hall [now Class of 1953 Commons]
dvp_075_org_15	Chicago Tribune
dvp_075_org_16	Dartmouth
dvp_075_org_17	AD [Alpha Delta]
dvp_075_org_18	Dartmouth
dvp_075_org_19	Dartmouth
dvp_075_org_20	[Dartmouth College] Glee Club
dvp_075_org_21	[Dartmouth] Outing Society
dvp_075_org_22	Freshman Trip [Dartmouth Outing Club First-Year Trips] leader
dvp_075_org_23	ROTC [Reserve Officers’ Training Corps]
dvp_075_org_24	ROTC
dvp_075_org_25	ROTC
dvp_075_org_26	[U.S. Army] Signal Corps
dvp_075_org_27	ROTC
dvp_075_org_28	active Reserve
dvp_075_org_29	inactive Reserve
dvp_075_org_30	active Reserve
dvp_075_org_31	Tuck School [of Business]
dvp_075_org_32	Skidmore College
dvp_075_org_33	Dartmouth
dvp_075_org_34	Tuck
dvp_075_org_35	Tuck
dvp_075_org_36	Tuck School
dvp_075_org_37	Tuck School
dvp_075_org_38	Tuck School
dvp_075_org_39	Tuck
dvp_075_org_40	Tuck
dvp_075_org_41	Tuck
dvp_075_org_42	Arthur Andersen & Company
dvp_075_org_43	sic
dvp_075_org_44	Arthur Andersen LLP]
dvp_075_org_45	ROTC
dvp_075_org_46	ROTC
dvp_075_org_47	Signal Corps
dvp_075_org_48	Signal Corps
dvp_075_org_49	Signal Company
dvp_075_org_50	Freedom Birds
dvp_075_org_51	Signal Battalion [sic; Company A/44, 36th Signal Battalion]
dvp_075_org_52	ROTC
dvp_075_org_53	Regular Army
dvp_075_org_54	Viet Cong
dvp_075_org_55	Signal
dvp_075_org_56	Tuck School
dvp_075_org_57	Dartmouth
dvp_075_org_58	Jeep
dvp_075_org_59	Army of the Republic of Vietnam
dvp_075_org_60	ARVNs
dvp_075_org_61	Army
dvp_075_org_62	Regular Army
dvp_075_org_63	[the U.S. Military Academy at] West Point
dvp_075_org_64	Tuck
dvp_075_org_65	Tuck
dvp_075_org_66	Tuck
dvp_075_org_67	Tuck
dvp_075_org_68	Dartmouth
dvp_075_org_69	MARS
dvp_075_org_70	MARS
dvp_075_org_71	Military Affiliate Radio System
dvp_075_org_72	LIFE magazine
dvp_075_org_73	Viet Cong
dvp_075_org_74	Viet Cong
dvp_075_org_75	South Vietnamese Army
dvp_075_org_76	Diệms
dvp_075_org_77	Cao Đài
dvp_075_org_78	[American] Red Cross
dvp_075_org_79	[U.S.] Army
dvp_075_org_80	Arthur Andersen
dvp_075_org_81	Foxford Development Corporation
dvp_075_org_82	Arthur Andersen
dvp_075_org_83	Dartmouth
dvp_075_org_84	Class of ’65
dvp_075_org_85	101st Airborne Division
dvp_075_org_86	[Dartmouth] Alumni Magazine
dvp_075_org_87	Tuck
dvp_075_org_88	Columbia [University]
dvp_075_org_89	Georgetown [University]
dvp_075_org_90	Dartmouth
dvp_075_org_91	Veterans Administration
dvp_075_org_92	Dartmouth
dvp_075_org_93	military
dvp_075_org_94	Khmers [Khmer Rouge]
dvp_075_org_95	Diệms
dvp_075_org_96	Dartmouth
