id	orgName	QID	dvp_id
dvp_077_org_0	New England Telephone and Telegraph Company	Q7007413	
dvp_077_org_1	Weymouth High School	Q14716022	
dvp_077_org_2	Weymouth High School	Q14716022	
dvp_077_org_3	Weymouth High School	Q14716022	
dvp_077_org_4	University of California, Berkeley	Q168756	
dvp_077_org_5	Broadway	Q11260	
dvp_077_org_6	Volkswagen	Q246	
dvp_077_org_7	US Marines	Q2471656	
dvp_077_org_8	United States Navy	Q11220	
dvp_077_org_9	United States Navy	Q11220	
dvp_077_org_10	United States Navy	Q11220	
dvp_077_org_11	United States Navy	Q11220	
dvp_077_org_12	National Front for the Liberation of South Vietnam	Q174423	
dvp_077_org_13	United States Navy	Q11220	
dvp_077_org_14	United States Navy	Q11220	
dvp_077_org_15	United States Navy	Q11220	
dvp_077_org_16	United States Navy	Q11220	
dvp_077_org_17	Naval Air Technical Training Center	Q98686944	
dvp_077_org_18	United States Navy	Q11220	
dvp_077_org_19	United States Navy	Q11220	
dvp_077_org_20	United States Navy	Q11220	
dvp_077_org_21	United States Air Force	Q11223	
dvp_077_org_22	United States Air Force	Q11223	
dvp_077_org_23	United States Navy	Q11220	
dvp_077_org_24	United States Navy	Q11220	
dvp_077_org_25	Dartmouth College	Q49116	
dvp_077_org_26	United States Navy	Q11220	
dvp_077_org_27	USS Nimitz	Q463161	
dvp_077_org_28	United States Navy	Q11220	
dvp_077_org_29	United States Navy	Q11220	
dvp_077_org_30	United States Navy	Q11220	
dvp_077_org_31	United States Air Force	Q11223	
dvp_077_org_32	United States Army	Q9212	
dvp_077_org_33	United States Navy	Q11220	
dvp_077_org_34	United States Army	Q9212	
dvp_077_org_35	National Guard of the United States	Q928670	
dvp_077_org_36	National Guard of the United States	Q928670	
dvp_077_org_37	United States Navy	Q11220	
dvp_077_org_38	University of Maryland	Q503415	
dvp_077_org_39	University of Maryland	Q503415	
dvp_077_org_40	University of Maryland	Q503415	
dvp_077_org_41	United States Navy	Q11220	
dvp_077_org_42	United States Air Force	Q11223	
dvp_077_org_43	United States Army	Q9212	
dvp_077_org_44	United States Air Force	Q11223	
dvp_077_org_45	United States Air Force	Q11223	
dvp_077_org_46	United States Navy	Q11220	
dvp_077_org_47	Alvin Operations Group	Q107590158	
dvp_077_org_48	Alvin Operations Group	Q107590158	
dvp_077_org_49	United States Navy	Q11220	
dvp_077_org_50	United States Army	Q9212	
dvp_077_org_51	United States Navy	Q11220	
dvp_077_org_52	United States Navy	Q11220	
dvp_077_org_53	CompuServe	Q1122074	
dvp_077_org_54	CompuServe	Q1122074	
dvp_077_org_55	AOL	Q27585	
dvp_077_org_56	AOL	Q27585	
dvp_077_org_57	CompuServe	Q1122074	
dvp_077_org_58	Alvin Operations Group	Q107590158	
dvp_077_org_59	Sierra Entertainment	Q494614	
dvp_077_org_60	AAA	Q16245021	
dvp_077_org_61	Best Buy	Q533415	
dvp_077_org_62	Microsoft Dynamics	Q856705	
dvp_077_org_63	Sierra Entertainment	Q494614	
dvp_077_org_64	Apple Inc.	Q312	
dvp_077_org_65	SIE Bend Studio	Q727701	
dvp_077_org_66	Sony	Q41187	
dvp_077_org_67	Hewlett-Packard	Q80978	
dvp_077_org_68	Sharp Edge Labs (United States)	Q30264432	
dvp_077_org_69	Hewlett-Packard	Q80978	
dvp_077_org_70	Sharp Edge Labs (United States)	Q30264432	
dvp_077_org_71	United States Navy	Q11220	
dvp_077_org_72	United States Navy	Q11220	
dvp_077_org_73	United States Navy	Q11220	
dvp_077_org_74	United States Navy	Q11220	
dvp_077_org_75	United States Navy	Q11220	
dvp_077_org_76	United States Navy	Q11220	
dvp_077_org_77	United States Navy	Q11220	
dvp_077_org_78	United States Navy	Q11220	
dvp_077_org_79	United States Navy	Q11220	
dvp_077_org_80	United States Navy	Q11220	
dvp_077_org_81	United States Navy	Q11220	
dvp_077_org_82	Dartmouth College	Q49116	
dvp_077_org_83	Dartmouth College	Q49116	
dvp_077_org_84	Hewlett-Packard	Q80978	
dvp_077_org_85	Hewlett-Packard	Q80978	
dvp_077_org_86	Sharp Edge Labs (United States)	Q30264432	
