id	placeName	coordinate location	QID	dvp_id
dvp_077_place_0	Rauner Special Collections Library	43.70447,-72.28817	Q98544730	
dvp_077_place_1	Dartmouth College	43.703333333333,-72.288333333333	Q49116	
dvp_077_place_2	Hanover	43.7,-72.28333333333333	Q131908	
dvp_077_place_3	Weymouth	42.220833333333,-70.940277777778	Q54195	
dvp_077_place_4	Boston	42.358333333333,-71.0625	Q100	
dvp_077_place_5	Boston	42.358333333333,-71.0625	Q100	
dvp_077_place_6	Weymouth	42.220833333333,-70.940277777778	Q54195	
dvp_077_place_7	South Weymouth	"42°10'55.9""N, 70°56'38.0""W"	Q7568925	
dvp_077_place_8	North Weymouth	42.2149, -70.9404	Q107589418	
dvp_077_place_9	Weymouth	42.220833333333,-70.940277777778	Q54195	
dvp_077_place_10	New York City	40.67,-73.94	Q60	
dvp_077_place_11	New York City	40.67,-73.94	Q60	
dvp_077_place_12	Washington	47.5,-120.5	Q1223	
dvp_077_place_13	New Zealand	-41.2,174	Q664	
dvp_077_place_14	New Hampshire	44,-71.5	Q759	
dvp_077_place_15	Vermont	44,-72.7	Q16551	
dvp_077_place_16	Mount Washington	44.270827777778,-71.303483333333	Q572801	
dvp_077_place_17	Mount Washington	44.270827777778,-71.303483333333	Q572801	
dvp_077_place_18	Horse and Hound Inn	"44.198408, -71.726283	"	Q107589463	
dvp_077_place_19	Franconia	44.227222222222,-71.748333333333	Q2323254	
dvp_077_place_20	New Hampshire	44,-71.5	Q759	
dvp_077_place_21	Boston	42.358333333333,-71.0625	Q100	
dvp_077_place_22	Boston	42.358333333333,-71.0625	Q100	
dvp_077_place_23	Combat Zone	42.3515,-71.0628	Q5150692	
dvp_077_place_24	Combat Zone	42.3515,-71.0628	Q5150692	
dvp_077_place_25	Harvard Square	42.373611,-71.118889	Q1587858	
dvp_077_place_26	Boston Common	42.355,-71.065555555556	Q49132	
dvp_077_place_27	Vietnam	16,108	Q881	
dvp_077_place_28	Franconia	44.227222222222,-71.748333333333	Q2323254	
dvp_077_place_29	Boston Whaler	28.92165, -80.86949	Q894602	
dvp_077_place_30	Canada	56,-109	Q16	
dvp_077_place_31	New Hampshire	44,-71.5	Q759	
dvp_077_place_32	Canada	56,-109	Q16	
dvp_077_place_33	Canada	56,-109	Q16	
dvp_077_place_34	Millington	35.336666666667,-89.902222222222	Q2218105	
dvp_077_place_35	Memphis	35.1175,-89.971111111111	Q16563	
dvp_077_place_36	Memphis	35.1175,-89.971111111111	Q16563	
dvp_077_place_37	Brunswick	43.910833333333,-69.963055555556	Q518466	
dvp_077_place_38	Weymouth	42.220833333333,-70.940277777778	Q54195	
dvp_077_place_39	Brunswick	43.910833333333,-69.963055555556	Q518466	
