id	placeName	QID	dvp_id
dvp_078_place_0	Rauner Special Collections Library	Q98544730	
dvp_078_place_1	Dartmouth College	Q49116	
dvp_078_place_2	Hanover	Q131908	
dvp_078_place_3	Perry	Q543883	
dvp_078_place_4	Iowa	Q1546	
dvp_078_place_5	Iowa	Q1546	
dvp_078_place_6	Pennsylvania	Q1400	
dvp_078_place_7	Pennsylvania	Q1400	
dvp_078_place_8	Lancaster County	Q142369	
dvp_078_place_9	Pennsylvania	Q1400	
dvp_078_place_10	Terre Hill	Q948528	
dvp_078_place_11	New Holland	Q778439	
dvp_078_place_12	Terre Hill	Q948528	
dvp_078_place_13	Terre Hill	Q948528	
dvp_078_place_14	Iowa	Q1546	
dvp_078_place_15	Pennsylvania	Q1400	
dvp_078_place_16	Lancaster	Q320514	
dvp_078_place_17	Ethiopia	Q115	
dvp_078_place_18	Ethiopia	Q115	
dvp_078_place_19	Ethiopia	Q115	
dvp_078_place_20	Ethiopia	Q115	
dvp_078_place_21	Addis Ababa	Q3624	
dvp_078_place_22	Iowa	Q1546	
dvp_078_place_23	Pennsylvania	Q1400	
dvp_078_place_24	Dartmouth College	Q49116	
dvp_078_place_25	United States of America	Q30	
dvp_078_place_26	Lancaster	Q320514	
dvp_078_place_27	Lancaster	Q320514	
dvp_078_place_28	Vietnam	Q881	
dvp_078_place_29	Dartmouth College	Q49116	
dvp_078_place_30	France	Q142	
dvp_078_place_31	El-Hajj Malik El-Shabazz Center	Q104931609	
dvp_078_place_32	Webster Cottage	Q107622299	
dvp_078_place_33	El-Hajj Malik El-Shabazz Center	Q104931609	
dvp_078_place_34	North Hall	Q104931138	
dvp_078_place_35	Parkhurst Hall	Q100952777	
dvp_078_place_36	Parkhurst Hall	Q100952777	
dvp_078_place_37	Dartmouth College	Q49116	
dvp_078_place_38	Hopkins Center for the Arts	Q3140375	
dvp_078_place_39	Hopkins Center for the Arts	Q3140375	
dvp_078_place_40	El-Hajj Malik El-Shabazz Center	Q104931609	
dvp_078_place_41	Boston	Q100	
dvp_078_place_42	Vietnam	Q881	
dvp_078_place_43	Parkhurst Hall	Q100952777	
dvp_078_place_44	Vietnam	Q881	
dvp_078_place_45	Parkhurst Hall	Q100952777	
dvp_078_place_46	Vietnam	Q881	
dvp_078_place_47	Dartmouth College	Q49116	
dvp_078_place_48	Parkhurst Hall	Q100952777	
dvp_078_place_49	Parkhurst Hall	Q100952777	
dvp_078_place_50	Vietnam	Q881	
dvp_078_place_51	Dartmouth College	Q49116	
dvp_078_place_52	New Hampshire	Q759	
dvp_078_place_53	Merrimack County Jail	Q107579210	
dvp_078_place_54	Dartmouth College	Q49116	
dvp_078_place_55	Tuck Mall	Q49572320	
dvp_078_place_56	Tuck Mall	Q49572320	
dvp_078_place_57	Tuck Mall	Q49572320	
dvp_078_place_58	Tuck Mall	Q49572320	
dvp_078_place_59	Philadelphia	Q1345	
dvp_078_place_60	France	Q142	
dvp_078_place_61	Hanover	Q131908	
dvp_078_place_62	Choate Cluster	Q101445656	
dvp_078_place_63	El-Hajj Malik El-Shabazz Center	Q104931609	
dvp_078_place_64	Vietnam	Q881	
dvp_078_place_65	France	Q142	
dvp_078_place_66	Vietnam	Q881	
dvp_078_place_67	Canada	Q16	
dvp_078_place_68	Vietnam	Q881	
dvp_078_place_69	United States of America	Q30	
dvp_078_place_70	Boston	Q100	
dvp_078_place_71	Massachusetts	Q771	
dvp_078_place_72	Northampton	Q49186	
dvp_078_place_73	United States of America	Q30	
dvp_078_place_74	VA		
dvp_078_place_75	Cambridge	Q49111	
dvp_078_place_76	Boston	Q100	
dvp_078_place_77	Easthampton	Q1988974	
dvp_078_place_78	Holyoke	Q1637790	
dvp_078_place_79	Boston	Q100	
dvp_078_place_80	Boston	Q100	
dvp_078_place_81	Boston	Q100	
dvp_078_place_82	Massachusetts	Q771	
