id	placeName	QID	dvp_id	coordinate location
dvp_024_place_0	Webster Hall	Q105045865		43.704469,72.288169
dvp_024_place_1	Hampton	Q945362		42.9375,-70.838888888889
dvp_024_place_2	Hampton	Q945362		42.9375,-70.838888888889
dvp_024_place_3	New Hampshire	Q759		44,-71.5
dvp_024_place_4	Boston	Q100		42.358333333333,-71.0625
dvp_024_place_5	Portland	Q49201		43.666666666667,-70.266666666667
dvp_024_place_6	Hampton Beach	Q3472167		42.907222222222,-70.811944444444
dvp_024_place_7	South Korea	Q884		36,128
dvp_024_place_8	New Hampshire	Q759		44,-71.5
dvp_024_place_9	Concord	Q28249		43.206666666667,-71.538055555556
dvp_024_place_10	Concord	Q28249		43.206666666667,-71.538055555556
dvp_024_place_11	South Korea	Q884		36,128
dvp_024_place_12	Pembroke	Q645979		43.146666666667,-71.4575
dvp_024_place_13	Hampton	Q945362		42.9375,-70.838888888889
dvp_024_place_14	Hanover	Q131908		43.7,-72.28333333333333
dvp_024_place_15	Hanover	Q131908		43.7,-72.28333333333333
dvp_024_place_16	New Hampshire	Q759		44,-71.5
dvp_024_place_17	Lebanon	Q993523		43.6422,-72.2517
dvp_024_place_18	White River Junction	Q1898562		43.6503,-72.3214
dvp_024_place_19	New Hampshire	Q759		44,-71.5
dvp_024_place_20	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_21	Boston	Q100		42.358333333333,-71.0625
dvp_024_place_22	Boston	Q100		42.358333333333,-71.0625
dvp_024_place_23	Hanover	Q131908		43.7,-72.28333333333333
dvp_024_place_24	Baker Memorial Library	Q4849183		43.705,-72.289166666667
dvp_024_place_25	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_26	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_024_place_27	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_024_place_28	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_29	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_30	Baker Library/Bloomberg Center	Q42377658		42.36641,-71.12279
dvp_024_place_31	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_32	Smith College	Q49204		42.3175,-72.6375
dvp_024_place_33	Mount Holyoke College	Q1140542		42.255586,-72.574503
dvp_024_place_34	Smith College	Q49204		42.3175,-72.6375
dvp_024_place_35	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_36	University of California, Berkeley	Q168756		37.87,-122.259
dvp_024_place_37	Vietnam	Q881		16,108
dvp_024_place_38	South Korea	Q884		36,128
dvp_024_place_39	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_40	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_024_place_41	United States Military Academy	Q9219		41.39277778,-73.95833333
dvp_024_place_42	United States Naval Academy	Q559549		38.98280555555556,-76.48508333333334
dvp_024_place_43	Lyme	Q2418021		43.810277777778,-72.156111111111
