id	persName
dvp_019_person_0	Hannah Markowitz
dvp_019_person_1	[Dr. Donald C.] “Don” Bross
dvp_019_person_2	Aunt Edith
dvp_019_person_3	Don
dvp_019_person_4	Jim
dvp_019_person_5	John
dvp_019_person_6	Warren
dvp_019_person_7	Warren
dvp_019_person_8	Jim
dvp_019_person_9	Jim
dvp_019_person_10	Jim
dvp_019_person_11	Jim
dvp_019_person_12	Jim
dvp_019_person_13	[Alfred T.] Mahan
dvp_019_person_14	Jim
dvp_019_person_15	Jim
dvp_019_person_16	Jim
dvp_019_person_17	Jim
dvp_019_person_18	Jim
dvp_019_person_19	Jim
dvp_019_person_20	Jim
dvp_019_person_21	Jim
dvp_019_person_22	Jim
dvp_019_person_23	Jim
dvp_019_person_24	Jim
dvp_019_person_25	Jim
dvp_019_person_26	Jim
dvp_019_person_27	Jim
dvp_019_person_28	Jim
dvp_019_person_29	Jim
dvp_019_person_30	Jim
dvp_019_person_31	Jim
dvp_019_person_32	Mini
dvp_019_person_33	Mary
dvp_019_person_34	Jim
dvp_019_person_35	John
dvp_019_person_36	Warren
dvp_019_person_37	John [S.] McCain [III]
dvp_019_person_38	Jim
dvp_019_person_39	Don
dvp_019_person_40	Hannah
dvp_019_person_41	[actor John U.] “Jack” Lemmon [III]
dvp_019_person_42	Lemmon
dvp_019_person_43	Jim
dvp_019_person_44	Jim
dvp_019_person_45	Jim
dvp_019_person_46	Jim
dvp_019_person_47	Susan
dvp_019_person_48	Willard Bell
dvp_019_person_49	Willard
dvp_019_person_50	Harold [R.] Keables
dvp_019_person_51	[Edmund B.] “Ed” Frost [Class of 1964]
dvp_019_person_52	Ed
dvp_019_person_53	Ed
dvp_019_person_54	Hill
dvp_019_person_55	Ed
dvp_019_person_56	Jeffrey Robinson
dvp_019_person_57	Jeff
dvp_019_person_58	Dave Magnuson
dvp_019_person_59	Dave
dvp_019_person_60	Hannah
dvp_019_person_61	John Zummer
dvp_019_person_62	John
dvp_019_person_63	Elvis [A.] Presley
dvp_019_person_64	Perkins
dvp_019_person_65	Mac Sunley
dvp_019_person_66	Mac
dvp_019_person_67	Jim
dvp_019_person_68	Ed
dvp_019_person_69	Hannah
dvp_019_person_70	Teno Roncalio
dvp_019_person_71	[John F.] Kennedy
dvp_019_person_72	Kennedy
dvp_019_person_73	Fred [H.] Eidlin [Class of 1964]
dvp_019_person_74	John Edwards
dvp_019_person_75	John
dvp_019_person_76	Dr. Edwards, “Doc” Edwards
dvp_019_person_77	Hannah
dvp_019_person_78	Joe Morgan
dvp_019_person_79	Joe
dvp_019_person_80	Doc Edwards
dvp_019_person_81	Joe Morgan
dvp_019_person_82	Joe
dvp_019_person_83	Joe
dvp_019_person_84	Joe
dvp_019_person_85	Joe
dvp_019_person_86	Hannah
dvp_019_person_87	[Timothy H.] “Tim” Brooks [Class of 1964]
dvp_019_person_88	[James] “Jim” Laughlin [III, Class of 1964]
dvp_019_person_89	[Louis W.] “Lou” Goodman [Class of 1964]
dvp_019_person_90	Lou
dvp_019_person_91	Lou
dvp_019_person_92	Lou
dvp_019_person_93	Lou
dvp_019_person_94	Lou
dvp_019_person_95	Lou
dvp_019_person_96	Fred Eidlin
dvp_019_person_97	Hannah
dvp_019_person_98	[Walter] “Walt” Smith
dvp_019_person_99	[Robert H.] “Bob” Russell
dvp_019_person_100	Frank [R.] Safford
dvp_019_person_101	Kal Silvert
dvp_019_person_102	Kal Silvert
dvp_019_person_103	Lou
dvp_019_person_104	Kal
dvp_019_person_105	Hannah
dvp_019_person_106	Javier Servat
dvp_019_person_107	Javier
dvp_019_person_108	Kal
dvp_019_person_109	Hannah
dvp_019_person_110	Hugo Blanco
dvp_019_person_111	Lou
dvp_019_person_112	President Kennedy
dvp_019_person_113	Kennedy
dvp_019_person_114	Hannah
dvp_019_person_115	Lou
dvp_019_person_116	Lou Goodman
dvp_019_person_117	Lou
dvp_019_person_118	J. J. Reddington III
dvp_019_person_119	Reddington
dvp_019_person_120	Reddington
dvp_019_person_121	Reddington
dvp_019_person_122	Reddington
dvp_019_person_123	Reddington
dvp_019_person_124	Reddington
dvp_019_person_125	Fonda
dvp_019_person_126	Fonda
dvp_019_person_127	J. J.
dvp_019_person_128	Reddington
dvp_019_person_129	Tariq
dvp_019_person_130	Tariq [ibn Ziyad]
dvp_019_person_131	J. J.
dvp_019_person_132	Reddington
dvp_019_person_133	Dar
dvp_019_person_134	Dar
dvp_019_person_135	[William B.] “Bruce” Nickerson
dvp_019_person_136	Bruce
dvp_019_person_137	Hannah
