id	orgName
dvp_019_org_0	Dartmouth College
dvp_019_org_1	Dartmouth
dvp_019_org_2	Federal Reserve [System]
dvp_019_org_3	WKY
dvp_019_org_4	General Adjustment Bureau
dvp_019_org_5	[U.S.] Navy
dvp_019_org_6	[U.S.] Marine Corp
dvp_019_org_7	St. Mary-Corwin Hospital[now St. Mary-Corwin Medical Center]
dvp_019_org_8	Marine Corps
dvp_019_org_9	NROTC [Naval Reserve Officers’ Training Corps]
dvp_019_org_10	Navy
dvp_019_org_11	NROTC
dvp_019_org_12	Dartmouth
dvp_019_org_13	NROTC
dvp_019_org_14	LIFE magazine
dvp_019_org_15	National Jewish [Health]
dvp_019_org_16	Denver University [sic; University of Denver]
dvp_019_org_17	South High School
dvp_019_org_18	South High School
dvp_019_org_19	[U.S.] Army ROTC [Reserve Officers’ Training Corps]
dvp_019_org_20	Army ROTC
dvp_019_org_21	U.S. Military Academy at] West Point
dvp_019_org_22	[U.S.] Air Force Academy
dvp_019_org_23	Naval Academy
dvp_019_org_24	College Boards
dvp_019_org_25	ACT [American College Testing]
dvp_019_org_26	MIT [Massachusetts Institute of Technology]
dvp_019_org_27	Dartmouth
dvp_019_org_28	ROTC
dvp_019_org_29	ROTC
dvp_019_org_30	ROTC
dvp_019_org_31	ROTC
dvp_019_org_32	Senate Club
dvp_019_org_33	Chess Club
dvp_019_org_34	Princeton [University]
dvp_019_org_35	Chess Club
dvp_019_org_36	[American Legion] Boys State
dvp_019_org_37	Interclub Council
dvp_019_org_38	ROTC
dvp_019_org_39	William [College]
dvp_019_org_40	Wesleyan [University]
dvp_019_org_41	Trinity [College]
dvp_019_org_42	Tufts [University]
dvp_019_org_43	Air Force Academy
dvp_019_org_44	West Point
dvp_019_org_45	Naval Academy
dvp_019_org_46	Dartmouth
dvp_019_org_47	Dartmouth
dvp_019_org_48	Denver Children’s Home
dvp_019_org_49	Boys State
dvp_019_org_50	Boys State
dvp_019_org_51	DU
dvp_019_org_52	Amherst [College]
dvp_019_org_53	[U.S.] Treasury
dvp_019_org_54	Trinity
dvp_019_org_55	New York Stock Exchange
dvp_019_org_56	Trinity
dvp_019_org_57	Dartmouth
dvp_019_org_58	NROTC
dvp_019_org_59	NROTC
dvp_019_org_60	Naval Academy
dvp_019_org_61	Dartmouth
dvp_019_org_62	Tau Sigma [National Honor Society]
dvp_019_org_63	Dartmouth
dvp_019_org_64	Dartmouth
dvp_019_org_65	air academy
dvp_019_org_66	Air Force Academy
dvp_019_org_67	Army
dvp_019_org_68	Navy
dvp_019_org_69	Dartmouth
dvp_019_org_70	Scout [in Boy Scouts of America]
dvp_019_org_71	[the University of California,] Berkeley
dvp_019_org_72	Navy
dvp_019_org_73	Dartmouth
dvp_019_org_74	Scouts
dvp_019_org_75	Navy
dvp_019_org_76	Dartmouth
dvp_019_org_77	Navy
dvp_019_org_78	NROTC
dvp_019_org_79	Navy
dvp_019_org_80	Navy
dvp_019_org_81	Dartmouth
dvp_019_org_82	School of Foreign Service at American University [sic; American University’s School of International Service]
dvp_019_org_83	Dartmouth
dvp_019_org_84	Palaeopitus [Senior Society]
dvp_019_org_85	Circulo Español
dvp_019_org_86	Dartmouth
dvp_019_org_87	Dartmouth
dvp_019_org_88	Dartmouth
dvp_019_org_89	Marine Corps
dvp_019_org_90	Navy
dvp_019_org_91	Embassy
dvp_019_org_92	Dartmouth
dvp_019_org_93	Ledyard Canoe Club
dvp_019_org_94	Club Militar
dvp_019_org_95	Navy
dvp_019_org_96	Kennedy’s People to People [Student Ambassador Program]
dvp_019_org_97	Alianza para el Progreso
dvp_019_org_98	Alliance for Progress in Latin America
dvp_019_org_99	Alliance for Progress
dvp_019_org_100	Peace Corps
dvp_019_org_101	Army
dvp_019_org_102	Dartmouth
dvp_019_org_103	People to People program
dvp_019_org_104	Navy
dvp_019_org_105	Dartmouth
dvp_019_org_106	the Dartmouth paper
dvp_019_org_107	Rauner Library
dvp_019_org_108	Dartmouth
dvp_019_org_109	Dartmouth
dvp_019_org_110	Navy
dvp_019_org_111	Navy
dvp_019_org_112	[College of the] Holy Cross
dvp_019_org_113	Navy
dvp_019_org_114	Navy
dvp_019_org_115	U.S. Navy
dvp_019_org_116	Navy
dvp_019_org_117	Coast Guard
dvp_019_org_118	Coast Guard
dvp_019_org_119	Viet Cong
dvp_019_org_120	Army
dvp_019_org_121	Vietnamese Navy
dvp_019_org_122	Navy
dvp_019_org_123	Navy
dvp_019_org_124	Navy
dvp_019_org_125	Navy
dvp_019_org_126	Navy
dvp_019_org_127	U.S. Navy
dvp_019_org_128	Coast Guard
dvp_019_org_129	Caine Mutiny Court-Martial
dvp_019_org_130	[U.S.] Marines
dvp_019_org_131	Navy
dvp_019_org_132	Navy
dvp_019_org_133	Marine
dvp_019_org_134	[the University of] Oxford [University]
dvp_019_org_135	[the University of] Cambridge
dvp_019_org_136	Navy
dvp_019_org_137	Navy
dvp_019_org_138	Berkeley
dvp_019_org_139	Dow [Chemical Company]
dvp_019_org_140	NROTC
dvp_019_org_141	SDS [Students for a Democratic Society]
dvp_019_org_142	Navy
dvp_019_org_143	National Center for the Prevention and Treatment of Child Abuse and Neglect [now the Kempe Center]
dvp_019_org_144	New York Stock Exchange
dvp_019_org_145	Yale [School of Medicine]
dvp_019_org_146	Army
dvp_019_org_147	State Department [U.S. Department of State]
dvp_019_org_148	Army
dvp_019_org_149	Department of Pediatrics at the University of Colorado School of Medicine
dvp_019_org_150	Yale
dvp_019_org_151	American Journal of Diseases of Childhood
dvp_019_org_152	Paris Morgue
dvp_019_org_153	Oxford
dvp_019_org_154	Bellevue [Hospital Center, now New York City Health + Hospitals/Bellevue]
dvp_019_org_155	Phi Beta Kappa
dvp_019_org_156	Ivy League
dvp_019_org_157	ROTC
dvp_019_org_158	Dartmouth
dvp_019_org_159	American Journal of Diseases of Childhood [sic; American Journal of Diseases of Children]
dvp_019_org_160	American Academy of Pediatrics
dvp_019_org_161	Stanford [University]
dvp_019_org_162	American Academy of Pediatrics
dvp_019_org_163	JAMA[:The Journal of the American Medical Association]
dvp_019_org_164	American Medical Association
dvp_019_org_165	Journal of the American Medical Association
dvp_019_org_166	CDC [Centers for Disease Control and Prevention]
dvp_019_org_167	Denver Post
dvp_019_org_168	Kempe Center
dvp_019_org_169	Denver Post
dvp_019_org_170	Kempe Center
dvp_019_org_171	Princeton [University]
