id	orgName	QID	dvp_id
dvp_072_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_072_org_1	University of Chicago Medical School Class of 1900		
dvp_072_org_2	Afrika Korps	Q153113	
dvp_072_org_3	Dartmouth College	Q49116	
dvp_072_org_4	[Dartmouth] Class of ’59		dvp_0215
dvp_072_org_5	Dartmouth College	Q49116	
dvp_072_org_6	United States Congress	Q11268	
dvp_072_org_7	United States Army	Q9212	
dvp_072_org_8	United States Army	Q9212	
dvp_072_org_9	Officer Candidate School	Q12622609	
dvp_072_org_10	United States Army	Q9212	
dvp_072_org_11	United States Navy	Q11220	
dvp_072_org_12	United States Air Force	Q11223	
dvp_072_org_13	Dartmouth College	Q49116	
dvp_072_org_14	Dartmouth College	Q49116	
dvp_072_org_15	Mayo Clinic	Q1130172	
dvp_072_org_16	Dartmouth College	Q49116	
dvp_072_org_17	Dartmouth College	Q49116	
dvp_072_org_18	Key Club	Q6398032	
dvp_072_org_19	DeMolay International	Q2732407	
dvp_072_org_20	Key Club	Q6398032	
dvp_072_org_21	University of Iowa	Q182973	
dvp_072_org_22	Grinnell College	Q2982991	
dvp_072_org_23	Ford Motor Company	Q44294	
dvp_072_org_24	P.E.O. Sisterhood	Q16238149	
dvp_072_org_25	Republican Party	Q29468	
dvp_072_org_26	Dartmouth College	Q49116	
dvp_072_org_27	GE Capital	Q969390	
dvp_072_org_28	Dartmouth College	Q49116	
dvp_072_org_29	Dartmouth College	Q49116	
dvp_072_org_30	P.E.O. Sisterhood	Q16238149	
dvp_072_org_31	P.E.O. Sisterhood	Q16238149	
dvp_072_org_32	Republican Party	Q29468	
dvp_072_org_33	Atchison, Topeka and Santa Fe Railway	Q753942	
dvp_072_org_34	Atchison, Topeka and Santa Fe Railway	Q753942	
dvp_072_org_35	Dartmouth College	Q49116	
dvp_072_org_36	Dartmouth College	Q49116	
dvp_072_org_37	Harvard University	Q13371	
dvp_072_org_38	Dartmouth College	Q49116	
dvp_072_org_39	Yale University	Q49112	
dvp_072_org_40	Stanford University	Q41506	
dvp_072_org_41	Yale University	Q49112	
dvp_072_org_42	Dartmouth College	Q49116	
dvp_072_org_43	Princeton University	Q21578	
dvp_072_org_44	Stanford University	Q41506	
dvp_072_org_45	Dartmouth College	Q49116	
