id	placeName	QID	dvp_id	coordinate location
dvp_072_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_072_place_1	Hanover	Q131908		43.7,-72.28333333333333
dvp_072_place_2	San Diego	Q16552		32.715,-117.1625
dvp_072_place_3	San Diego General			
dvp_072_place_4	San Diego	Q16552		32.715,-117.1625
dvp_072_place_5	Iowa	Q1546		42,-93
dvp_072_place_6	Iowa	Q1546		42,-93
dvp_072_place_7	New Orleans	Q34404		29.95465,-90.07507
dvp_072_place_8	Iowa	Q1546		42,-93
dvp_072_place_9	Lake Forest	Q575355		42.2347,-87.8508
dvp_072_place_10	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_11	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_12	California	Q99		37,-120
dvp_072_place_13	California	Q99		37,-120
dvp_072_place_14	Redlands Community Hospital	Q107596622		34.0370549,-117.2104699
dvp_072_place_15	Missouri	Q1581		38.5,-92.5
dvp_072_place_16	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_072_place_17	New Mexico	Q1522		34,-106
dvp_072_place_18	Lovelace Clinic Foundation Research	Q30282093		35.056638,-106.624727
dvp_072_place_19	Las Vegas	Q676171		35.596944444444,-105.2225
dvp_072_place_20	Rutland	Q25893		43.6089,-72.9797
dvp_072_place_21	Long Trail Lodge			
dvp_072_place_22	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_072_place_23	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_072_place_24	Fort Dix	Q1087169		40.019166666667,-74.522777777778
dvp_072_place_25	Fort Chaffee	Q56671		35.27,-94.202
dvp_072_place_26	Fort Sill	Q1018681		34.704166666667,-98.508333333333
dvp_072_place_27	Germany	Q183		51,10
dvp_072_place_28	United States of America	Q30		39.828175,-98.5795
dvp_072_place_29	Fort Rucker	Q1292067		31.34,-85.71
dvp_072_place_30	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_31	Illinois	Q1204		40.000277777777775,-89.25027777777778
dvp_072_place_32	Germany	Q183		51,10
dvp_072_place_33	Fort Rucker	Q1292067		31.34,-85.71
dvp_072_place_34	Captain James A. Lovell Federal Health Care Center	Q5036683		42.3068261,-87.8608856
dvp_072_place_35	Homestead Air Reserve Base	Q3139697		25.4883,-80.3836
dvp_072_place_36	Florida	Q812		28.133333333333,-81.631666666667
dvp_072_place_37	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_38	Vietnam	Q881		16,108
dvp_072_place_39	United States of America	Q30		39.828175,-98.5795
dvp_072_place_40	California	Q99		37,-120
dvp_072_place_41	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_072_place_42	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_072_place_43	New Mexico	Q1522		34,-106
dvp_072_place_44	New York	Q1384		43,-75
dvp_072_place_45	Purdue University	Q217741		40.424,-86.929
dvp_072_place_46	New York	Q1384		43,-75
dvp_072_place_47	Las Vegas	Q676171		35.596944444444,-105.2225
dvp_072_place_48	Las Vegas	Q100252373		35.596944444444,-105.2225
dvp_072_place_49	West Las Vegas	Q7985710		36.1345,-115.289
dvp_072_place_50	New Mexico Territory	Q597711		35,-105
dvp_072_place_51	Santa Fe	Q38555		35.666666666667,-105.96666666667
dvp_072_place_52	Las Vegas	Q676171		35.596944444444,-105.2225
dvp_072_place_53	Las Vegas	Q676171		35.596944444444,-105.2225
dvp_072_place_54	Mississippi	Q1494		33,-90
dvp_072_place_55	New Orleans	Q34404		29.95465,-90.07507
dvp_072_place_56	Princeton			
dvp_072_place_57	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_072_place_58	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_072_place_59	Webster Hall	Q105045865		43.704469,72.288169
dvp_072_place_60	East Orange	Q988515		40.766111111111,-74.211666666667
dvp_072_place_61	Germany	Q183		51,10
dvp_072_place_62	Germany	Q183		51,10
dvp_072_place_63	Sweden	Q34		61,15
dvp_072_place_64	Fulda Gap	Q450770		50.61666667,9.41666667
dvp_072_place_65	United States of America	Q30		39.828175,-98.5795
dvp_072_place_66	Fort Rucker	Q1292067		31.34,-85.71
dvp_072_place_67	Fort Rucker	Q1292067		31.34,-85.71
dvp_072_place_68	Vietnam	Q881		16,108
dvp_072_place_69	New Mexico	Q1522		34,-106
dvp_072_place_70	New Mexico	Q1522		34,-106
dvp_072_place_71	Vietnam	Q881		16,108
dvp_072_place_72	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_73	Vietnam	Q881		16,108
dvp_072_place_74	Germany	Q183		51,10
dvp_072_place_75	Vietnam	Q881		16,108
dvp_072_place_76	Laos	Q819		18.2,104
dvp_072_place_77	North Vietnam	Q172640		21.033333,105.85
dvp_072_place_78	Laos	Q819		18.2,104
dvp_072_place_79	Laos	Q819		18.2,104
dvp_072_place_80	Laos	Q819		18.2,104
dvp_072_place_81	North Vietnamese/Chinese border			
dvp_072_place_82	Udorn Royal Thai Air Force Base	Q7877292		17.3864,102.788
dvp_072_place_83	Thailand	Q869		14,101
dvp_072_place_84	Vientiane	Q9326		17.966666666667,102.6
dvp_072_place_85	Plain of Jars	Q870258		19.46,103.18
				
dvp_072_place_86	Plain of Jars	Q870258		19.46,103.18
				19.42952,103.15192
dvp_072_place_87	Plain of Jars	Q870258		19.46,103.18
				
dvp_072_place_88	Bangkok	Q1861		13.75,100.51666666667
dvp_072_place_89	Bangkok	Q1861		13.75,100.51666666667
dvp_072_place_90	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_91	Da Nang	Q25282		16.069444444444443,108.20972222222223
dvp_072_place_92	Gulf of Tonkin	Q212428		19.75,107.75
dvp_072_place_93	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_94	Fort Sheridan	Q1172945		42.2125,-87.8106
dvp_072_place_95	Vietnam	Q881		16,108
dvp_072_place_96	Red River Delta	Q342451		21.033333333333,105.85
dvp_072_place_97	Vietnam	Q881		16,108
dvp_072_place_98	Vietnam	Q881		16,108
dvp_072_place_99	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_100	Laos	Q819		18.2,104
dvp_072_place_101	Vietnam	Q881		16,108
dvp_072_place_102	Cam Ranh Bay	Q11072051		11.998153,109.219372
dvp_072_place_103	Cam Ranh Bay	Q11072051		11.998153,109.219372
dvp_072_place_104	Laos	Q819		18.2,104
dvp_072_place_105	Rung Sat Special Zone	Q7379847		
dvp_072_place_106	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_107	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_108	Vietnam	Q881		16,108
dvp_072_place_109	Buôn Ma Thuột	Q33469		12.666666666667,108.05
dvp_072_place_110	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_111	Rex Hotel	Q7319215		10.77583333,106.7015
dvp_072_place_112	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_113	Rex Hotel	Q7319215		10.77583333,106.7015
dvp_072_place_114	Da Lat	Q25281		11.941666666667,108.43833333333
dvp_072_place_115	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_072_place_116	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
