id	orgName	QID	dvp_id
dvp_079_org_0	the Dartmouth Vietnam Project		dvp_0020
dvp_079_org_1	Irondequoit High School	Q6073159	
dvp_079_org_2	Alpine Club of Canada	Q2543081	
dvp_079_org_3	Dartmouth College	Q49116	
dvp_079_org_4	Eastman Kodak	Q486269	
dvp_079_org_5	Dartmouth College	Q49116	
dvp_079_org_6	Dartmouth College	Q49116	
dvp_079_org_7	Dartmouth College	Q49116	
dvp_079_org_8	Williams College	Q49166	
dvp_079_org_9	Middlebury College	Q1357891	
dvp_079_org_10	Dartmouth College	Q49116	
dvp_079_org_11	Williams College	Q49166	
dvp_079_org_12	Dartmouth College	Q49116	
dvp_079_org_13	Tuck School of Business	Q1263832	
dvp_079_org_14	Williams College	Q49166	
dvp_079_org_15	Dartmouth College	Q49116	
dvp_079_org_16	Dartmouth College	Q49116	
dvp_079_org_17	Dartmouth College	Q49116	
dvp_079_org_18	Reserve Officers' Training Corps	Q489983	
dvp_079_org_19	United States Army	Q9212	
dvp_079_org_20	United States Army	Q9212	
dvp_079_org_21	Reserve Officers' Training Corps	Q489983	
dvp_079_org_22	United States Armed Forces	Q11211	
dvp_079_org_23	Reserve Officers' Training Corps	Q489983	
dvp_079_org_24	Reserve Officers' Training Corps	Q489983	
dvp_079_org_25	Dartmouth College	Q49116	
dvp_079_org_26	Reserve Officers' Training Corps	Q489983	
dvp_079_org_27	United States Armed Forces	Q11211	
dvp_079_org_28	United States Army	Q9212	
dvp_079_org_29	United States Armed Forces	Q11211	
dvp_079_org_30	United States Army	Q9212	
dvp_079_org_31	Federal Bureau of Investigation	Q8333	
dvp_079_org_32	Dartmouth College	Q49116	
dvp_079_org_33	Dartmouth College	Q49116	
dvp_079_org_34	Reserve Officers' Training Corps	Q489983	
dvp_079_org_35	Dartmouth College	Q49116	
dvp_079_org_36	The Dartmouth	Q7729068	
dvp_079_org_37	Reserve Officers' Training Corps	Q489983	
dvp_079_org_38	Air Force Special Operations Command	Q407200	
dvp_079_org_39	United States Army Special Forces	Q482421	
dvp_079_org_40	The Dartmouth	Q7729068	
dvp_079_org_41	The Dartmouth	Q7729068	
dvp_079_org_42	Reserve Officers' Training Corps	Q489983	
dvp_079_org_43	Stanford Graduate School of Business	Q1413558	
dvp_079_org_44	Dartmouth College	Q49116	
dvp_079_org_45	Tuck School of Business	Q1263832	
dvp_079_org_46	Harvard Business School	Q49126	
dvp_079_org_47	The Wharton School	Q1329269	
dvp_079_org_48	Stanford University	Q41506	
dvp_079_org_49	Stanford University	Q41506	
dvp_079_org_50	United States Army	Q9212	
dvp_079_org_51	Stanford Graduate School of Business	Q1413558	
dvp_079_org_52	United States Army	Q9212	
dvp_079_org_53	Peace Corps	Q458620	
dvp_079_org_54	The Pentagon	Q11208	
dvp_079_org_55	Air National Guard	Q407622	
dvp_079_org_56	Reserve Officers' Training Corps	Q489983	
dvp_079_org_57	United States Armed Forces	Q11211	
dvp_079_org_58	United States Armed Forces	Q11211	
dvp_079_org_59	Stanford Graduate School of Business	Q1413558	
dvp_079_org_60	Dartmouth College	Q49116	
dvp_079_org_61	Stanford University	Q41506	
dvp_079_org_62	Stanford University	Q41506	
dvp_079_org_63	United States Army	Q9212	
dvp_079_org_64	Democratic Party	Q29552	
dvp_079_org_65	Reserve Officers' Training Corps	Q489983	
dvp_079_org_66	Dartmouth College	Q49116	
dvp_079_org_67	United States Armed Forces	Q11211	
dvp_079_org_68	United States Army Signal Corps	Q736213	
dvp_079_org_69	United States Army	Q9212	
dvp_079_org_70	Dartmouth College	Q49116	
dvp_079_org_71	Dartmouth College	Q49116	
dvp_079_org_72	United States Army Reserve	Q2036662	
dvp_079_org_73	United States Army	Q9212	
dvp_079_org_74	Dartmouth College	Q49116	
dvp_079_org_75	Stanford University	Q41506	
dvp_079_org_76	Stanford University	Q41506	
dvp_079_org_77	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_78	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_79	1st Infantry Division	Q163659	
dvp_079_org_80	Army of the Republic of Vietnam	Q18917	
dvp_079_org_81	Army of the Republic of Vietnam	Q18917	
dvp_079_org_82	Army of the Republic of Vietnam	Q18917	
dvp_079_org_83	United States Army	Q9212	
dvp_079_org_84	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_85	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_86	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_87	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_88	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_89	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_90	National Front for the Liberation of South Vietnam	Q174423	
dvp_079_org_91	Dartmouth College	Q49116	
dvp_079_org_92	National Front for the Liberation of South Vietnam	Q174423	
