id	name
dvp_080_event_0	World War II
dvp_080_event_1	World War II
dvp_080_event_2	the Vietnam War
dvp_080_event_3	World War II
dvp_080_event_4	Korea [the Korean War]
dvp_080_event_5	Korea
dvp_080_event_6	Korea
dvp_080_event_7	Vietnam
dvp_080_event_8	Vietnam
dvp_080_event_9	Vietnam
dvp_080_event_10	the Japanese attack in 1941
dvp_080_event_11	Vietnam
dvp_080_event_12	the Vietnam War
dvp_080_event_13	Vietnam
dvp_080_event_14	the war in Vietnam
dvp_080_event_15	Vietnam
dvp_080_event_16	Vietnam
dvp_080_event_17	the effort in Vietnam
dvp_080_event_18	the Vietnam War
