id	name	QID	dvp_id	start time	end time	point in time
dvp_004_event_0	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_004_event_1	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_004_event_2	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_004_event_3	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_004_event_4	Korean conflict	Q21422559				
dvp_004_event_5	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
dvp_004_event_6	HemisFair '68	Q2467552				1968-01-01T00:00:00Z
dvp_004_event_7	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_004_event_8	Gulf War	Q37643		1990-08-02T00:00:00Z	1991-02-28T00:00:00Z	
dvp_004_event_9	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
dvp_004_event_10	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z
dvp_004_event_11	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z
dvp_004_event_12	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z
dvp_004_event_13	Vietnam War	Q8740		1965-11-01T00:00:00Z	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z
