id	orgName
dvp_004_org_0	Class of ’67
dvp_004_org_1	Siemens
dvp_004_org_2	Scouts
dvp_004_org_3	Boy Scouts
dvp_004_org_4	Dartmouth
dvp_004_org_5	RPI
dvp_004_org_6	Rensselaer Polytechnic Institute
dvp_004_org_7	Dartmouth
dvp_004_org_8	Dartmouth Outing Club
dvp_004_org_9	Appalachian Mountain Club
dvp_004_org_10	Dartmouth
dvp_004_org_11	[Mount Washington] Cog Railway
dvp_004_org_12	Dartmouth
dvp_004_org_13	Olympic
dvp_004_org_14	Dartmouth’s
dvp_004_org_15	Dartmouth
dvp_004_org_16	Dartmouth’s
dvp_004_org_17	Outing Club
dvp_004_org_18	[Dartmouth] Mountaineering Club
dvp_004_org_19	[USS] Savannah
dvp_004_org_20	Dartmouth
dvp_004_org_21	Ford Motor Company
dvp_004_org_22	ROTC [Reserve Officers’ Training Corps]
dvp_004_org_23	ROTC
dvp_004_org_24	Dartmouth
dvp_004_org_25	Dartmouth
dvp_004_org_26	Dartmouth
dvp_004_org_27	ROTC
dvp_004_org_28	[USS] Forrest Sherman
dvp_004_org_29	Duke [University]
dvp_004_org_30	[U.S.] Naval Academy
dvp_004_org_31	ROTC
dvp_004_org_32	ROTC
dvp_004_org_33	Alpha Chi Alpha
dvp_004_org_34	Army
dvp_004_org_35	Princeton [University]
dvp_004_org_36	Dartmouth
dvp_004_org_37	Dow Chemical [Company]
dvp_004_org_38	Navy
dvp_004_org_39	Dartmouth
dvp_004_org_40	ROTC
dvp_004_org_41	ROTC
dvp_004_org_42	ROTC
dvp_004_org_43	WAC [Women’s Army Corps]
dvp_004_org_44	WAVE [WAVES Women Accepted for Volunteer Emergency Service]
dvp_004_org_45	Ford Motor Company
dvp_004_org_46	French
dvp_004_org_47	Germans
dvp_004_org_48	Dartmouth
dvp_004_org_49	National Geographic
dvp_004_org_50	Dartmouth
dvp_004_org_51	Dartmouth
dvp_004_org_52	the Blue Angels
dvp_004_org_53	[USS] Lexington
dvp_004_org_54	Navy
dvp_004_org_55	Air Force
dvp_004_org_56	the Air Force
dvp_004_org_57	Navy
dvp_004_org_58	the University of Northern Iowa
dvp_004_org_59	WAVE
dvp_004_org_60	Dartmouth
dvp_004_org_61	Boy Scout
dvp_004_org_62	Navy
dvp_004_org_63	Navy
dvp_004_org_64	Da Nang
dvp_004_org_65	the JAG Corps
dvp_004_org_66	Inspector General of the United States
dvp_004_org_67	Navy
dvp_004_org_68	Navy
dvp_004_org_69	Navy’s
dvp_004_org_70	Reserves
dvp_004_org_71	Reservists
dvp_004_org_72	Reservists
dvp_004_org_73	Navy
dvp_004_org_74	Army
dvp_004_org_75	Class of ’67
dvp_004_org_76	Dartmouth
dvp_004_org_77	Dartmouth
dvp_004_org_78	marines
dvp_004_org_79	Dartmouth
dvp_004_org_80	Iowa [University of Iowa]
dvp_004_org_81	Navy
dvp_004_org_82	Princeton
dvp_004_org_83	Stanford [University]
dvp_004_org_84	the Royal Thai Navy
dvp_004_org_85	WAVE
dvp_004_org_86	SEAL [U.S. Navy’s Sea, Air, Land]
dvp_004_org_87	SEALS
dvp_004_org_88	Army
dvp_004_org_89	VA [Veterans Affairs]
dvp_004_org_90	VA
dvp_004_org_91	VA
dvp_004_org_92	VA
dvp_004_org_93	The Blue Angels
dvp_004_org_94	Congress
dvp_004_org_95	the White House
dvp_004_org_96	Navy
dvp_004_org_97	Supreme Court
dvp_004_org_98	Navy
dvp_004_org_99	Navy
dvp_004_org_100	Dartmouth
