id	placeName
dvp_004_place_0	Rauner [Special Collections] Library
dvp_004_place_1	Troy, New York
dvp_004_place_2	Washington, D.C.
dvp_004_place_3	Troy, New York
dvp_004_place_4	Adirondacks [Adirondack Mountains]
dvp_004_place_5	Long Trail
dvp_004_place_6	Massachusetts
dvp_004_place_7	Canada
dvp_004_place_8	Vermont
dvp_004_place_9	White Mountains
dvp_004_place_10	New Hampshire
dvp_004_place_11	Vermont
dvp_004_place_12	Dartmouth
dvp_004_place_13	Long Trail
dvp_004_place_14	Vermont
dvp_004_place_15	Appalachian Trail
dvp_004_place_16	Boston
dvp_004_place_17	Dartmouth’s
dvp_004_place_18	Middlebury [College]
dvp_004_place_19	[Eiger] Mountain
dvp_004_place_20	Hamilton College
dvp_004_place_21	New York
dvp_004_place_22	the White Mountains
dvp_004_place_23	Dartmouth
dvp_004_place_24	the Boston Navy Yard
dvp_004_place_25	Cape Cod
dvp_004_place_26	the Boston Navy Yard
dvp_004_place_27	Little Creek in Virginia [the Naval Amphibious Base, Little Creek]
dvp_004_place_28	Rota, Spain
dvp_004_place_29	Rota
dvp_004_place_30	Palermo, Sicily
dvp_004_place_31	Palermo, Sicily
dvp_004_place_32	Taranto
dvp_004_place_33	Italy
dvp_004_place_34	Rome
dvp_004_place_35	Rome
dvp_004_place_36	Panthenon [Pantheon]
dvp_004_place_37	Rome
dvp_004_place_38	the Aegean Sea
dvp_004_place_39	Greece
dvp_004_place_40	Argostoli Bay [Argostoli]
dvp_004_place_41	Athens
dvp_004_place_42	Vermont
dvp_004_place_43	Vietnam
dvp_004_place_44	Connecticut
dvp_004_place_45	New York City
dvp_004_place_46	New York Citys
dvp_004_place_47	Juilliard [School]
dvp_004_place_48	Juilliard
dvp_004_place_49	Alabama
dvp_004_place_50	Rauner
dvp_004_place_51	Webster Hall
dvp_004_place_52	Alabama
dvp_004_place_53	Mississippi
dvp_004_place_54	Dartmouth
dvp_004_place_55	Nam
