id	placeName
dvp_083_place_0	Ticknor Room
dvp_083_place_1	Rauner Special Collections Library
dvp_083_place_2	39 Brandon Place in Rocky River, Ohio.
dvp_083_place_3	Cleveland, Ohio
dvp_083_place_4	Lakewood, Ohio
dvp_083_place_5	Cleveland
dvp_083_place_6	Cleveland
dvp_083_place_7	Hanover
dvp_083_place_8	Cleveland
dvp_083_place_9	Parma, Ohio
dvp_083_place_10	Cleveland
dvp_083_place_11	Severance Hall
dvp_083_place_12	Cleveland
dvp_083_place_13	Cleveland
dvp_083_place_14	Cleveland
dvp_083_place_15	North Africa
dvp_083_place_16	Europe
dvp_083_place_17	Italy
dvp_083_place_18	Cleveland
dvp_083_place_19	Cleveland
dvp_083_place_20	New Hamp [New Hampshire Hall]
dvp_083_place_21	New Hampshire Hall
dvp_083_place_22	Vietnam
dvp_083_place_23	Vietnam
dvp_083_place_24	Cleveland
dvp_083_place_25	Korea
dvp_083_place_26	Korean Peninsula
dvp_083_place_27	New Jersey
dvp_083_place_28	New Jersey
dvp_083_place_29	Brooklyn
dvp_083_place_30	Newport
dvp_083_place_31	Hanover
dvp_083_place_32	Vietnam
dvp_083_place_33	San Diego [CA]
dvp_083_place_34	San Diego State
dvp_083_place_35	Vietnam
dvp_083_place_36	San Diego
dvp_083_place_37	San Diego
dvp_083_place_38	San Diego
dvp_083_place_39	Vietnam
dvp_083_place_40	San Clemente Island
dvp_083_place_41	California
dvp_083_place_42	San Clemente
dvp_083_place_43	Philippines
dvp_083_place_44	Taiwan
dvp_083_place_45	Japan
dvp_083_place_46	Hong Kong
dvp_083_place_47	San Diego Zoo
dvp_083_place_48	San Diego
dvp_083_place_49	San Diego Zoo
dvp_083_place_50	San Diego
dvp_083_place_51	North Vietnam
dvp_083_place_52	the West Pacific
dvp_083_place_53	Pearl Harbor
dvp_083_place_54	US
dvp_083_place_55	Pearl Harbor
dvp_083_place_56	Arizona memorial
dvp_083_place_57	Pearl Harbor
dvp_083_place_58	Arizona memorial
dvp_083_place_59	Arizona memorial
dvp_083_place_60	Midway
dvp_083_place_61	Yokosuka, Japan
dvp_083_place_62	Southeast Asia
dvp_083_place_63	Philippines
dvp_083_place_64	Guam
dvp_083_place_65	San Bernardino Strait
dvp_083_place_66	Luzon
dvp_083_place_67	Leyte
dvp_083_place_68	Philippine Islands
dvp_083_place_69	San Bernardino Strait
dvp_083_place_70	San Bernardino Strait
dvp_083_place_71	Pearl
dvp_083_place_72	Midway
dvp_083_place_73	Guam
dvp_083_place_74	San Bernardino Strait
dvp_083_place_75	Subic Bay
dvp_083_place_76	San Diego
dvp_083_place_77	Cleveland
dvp_083_place_78	Philippines
dvp_083_place_79	Subic Bay
dvp_083_place_80	Pacific
dvp_083_place_81	Alongapo
dvp_083_place_82	Subic Bay Naval Station
dvp_083_place_83	Philippines
dvp_083_place_84	Philippines
dvp_083_place_85	Subic Bay
dvp_083_place_86	Luzon
dvp_083_place_87	the Tonkin Gulf
dvp_083_place_88	Gulf in North Vietnam.
dvp_083_place_89	Gulf
dvp_083_place_90	Vietnam
dvp_083_place_91	Japan
dvp_083_place_92	Japan
dvp_083_place_93	17th parallel
dvp_083_place_94	the Tonkin Gulf
dvp_083_place_95	North Vietnam
dvp_083_place_96	17th parallel
dvp_083_place_97	North Vietnam
dvp_083_place_98	Gulf
dvp_083_place_99	Bird
dvp_083_place_100	17th parallel
dvp_083_place_101	Subic Bay
dvp_083_place_102	Midwest
dvp_083_place_103	Washington
dvp_083_place_104	China
dvp_083_place_105	Chicago
dvp_083_place_106	Chicago
dvp_083_place_107	Subic Bay
dvp_083_place_108	Subic Bay Naval Station
dvp_083_place_109	the Gulf of Tonkin
dvp_083_place_110	Vietnam
dvp_083_place_111	Vietnam
dvp_083_place_112	Da Nang
dvp_083_place_113	Vietnam
dvp_083_place_114	Vung Tau
dvp_083_place_115	Yokosuka
dvp_083_place_116	Hong Kong
dvp_083_place_117	China
dvp_083_place_118	Hong Kong
dvp_083_place_119	Liamung Pass
dvp_083_place_120	British
dvp_083_place_121	Hong Kong
dvp_083_place_122	Hong Kong
dvp_083_place_123	Hong Kong
dvp_083_place_124	Hong Kong
dvp_083_place_125	Hong Kong
dvp_083_place_126	Hong Kong
dvp_083_place_127	Hong Kong
dvp_083_place_128	Hong Kong
dvp_083_place_129	Wan Chai
dvp_083_place_130	Yokosuka
dvp_083_place_131	Yokosuka
dvp_083_place_132	Tokyo
dvp_083_place_133	Kamakura
dvp_083_place_134	Vietnam
dvp_083_place_135	Vietnam
dvp_083_place_136	Subic Bay
dvp_083_place_137	the South China Sea
dvp_083_place_138	San Diego
dvp_083_place_139	Long Beach Naval Shipyard
dvp_083_place_140	Long Beach
dvp_083_place_141	San Diego
dvp_083_place_142	Long Beach
dvp_083_place_143	San Diego
dvp_083_place_144	San Diego
dvp_083_place_145	North Island Naval Air Station
dvp_083_place_146	Pacific
dvp_083_place_147	Coronado
dvp_083_place_148	North Island
dvp_083_place_149	San Diego
dvp_083_place_150	32nd Street Naval Station
dvp_083_place_151	Camp Pendleton
dvp_083_place_152	San Diego
dvp_083_place_153	Madison, Wisconsin
dvp_083_place_154	Monterrey, California
dvp_083_place_155	San Diego
dvp_083_place_156	Washington
dvp_083_place_157	San Diego
dvp_083_place_158	Wisconsin
dvp_083_place_159	Midwest
dvp_083_place_160	Cleveland, Ohio
dvp_083_place_161	Wisconsin
dvp_083_place_162	Wisconsin
dvp_083_place_163	Hong Kong
dvp_083_place_164	Kaohsiung
dvp_083_place_165	Taipei
dvp_083_place_166	Taiwan
dvp_083_place_167	Taiwan
dvp_083_place_168	Taiwan
dvp_083_place_169	China
dvp_083_place_170	China
dvp_083_place_171	the 3rd Corps
dvp_083_place_172	Vietnam
dvp_083_place_173	Hue
dvp_083_place_174	Da Nang
dvp_083_place_175	3rd Corps
dvp_083_place_176	the Saigon River
dvp_083_place_177	Vung Tau
dvp_083_place_178	Vung Tau
dvp_083_place_179	Vietnam
dvp_083_place_180	Vung Tau
dvp_083_place_181	Da Nang
dvp_083_place_182	the Saigon River
dvp_083_place_183	Rung Sat Special Zone
dvp_083_place_184	Point Oscar
dvp_083_place_185	Vung Tau
dvp_083_place_186	Subic Bay
dvp_083_place_187	Kaohsiung
dvp_083_place_188	Taipei
dvp_083_place_189	Hong Kong
dvp_083_place_190	States
dvp_083_place_191	San Diego
dvp_083_place_192	Madison, Wisconsin
dvp_083_place_193	San Diego
dvp_083_place_194	Cleveland
dvp_083_place_195	San Diego
dvp_083_place_196	Morton, Texas
dvp_083_place_197	Madison
dvp_083_place_198	Madison, Wisconsin
dvp_083_place_199	Vietnam
dvp_083_place_200	Hong Kong
