id	name	QID	dvp_id	start time	end time	point in time
dvp_084_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_084_event_1	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_2	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_084_event_3	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_4	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_5	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_6	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_7	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_084_event_8	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_9	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_10	Armed Forces Day parade		dvp_0816			1967-05-20T00:00:00Z
dvp_084_event_11	Armed Forces Day parade		dvp_0816			1967-05-20T00:00:00Z
dvp_084_event_12	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	"
"
dvp_084_event_13	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_084_event_14	assassination of Robert F. Kennedy	Q1187550				1968-06-05T00:00:00Z
dvp_084_event_15	assassination of Martin Luther King Jr.	Q757963				1968-04-04T00:00:00Z
dvp_084_event_16	Dartmouth College [sic, 1967] Armed Forces Day parade		dvp_0816			1967-05-20T00:00:00Z
dvp_084_event_17	[1967] Armed Forces Day parade		dvp_0816			1967-05-20T00:00:00Z
dvp_084_event_18	Armed Forces Day parade		dvp_0816			1967-05-20T00:00:00Z
dvp_084_event_19	My Lai Massacre	Q183421				1968-03-16T00:00:00Z
dvp_084_event_20	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_084_event_21	[1969] Armed Forces Day parade		dvp_0817			1969-05-17T00:00:00Z
dvp_084_event_22	SDS parade		dvp_0816			1969-05-05T20:00:00Z
dvp_084_event_23	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_084_event_24	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_25	Armed Forces Day senior year		dvp_0817			1969-05-17T00:00:00Z
dvp_084_event_26	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_27	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_28	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_084_event_29	Unite the Right rally	Q36248530		2017-08-11T00:00:00Z	2017-08-12T00:00:00Z	
dvp_084_event_30	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
