id	orgName
dvp_085_org_0	Dartmouth Medical School [Geisel School of Medicine]
dvp_085_org_1	Army’s 1st Air Cavalry Division
dvp_085_org_2	Dartmouth
dvp_085_org_3	 General Electric Company
dvp_085_org_4	[Norris] Cotton Cancer Center
dvp_085_org_5	Harvard [University]
dvp_085_org_6	Harvard
dvp_085_org_7	 University of New Hampshire
dvp_085_org_8	 Lebanon Congregational Church
dvp_085_org_9	Lebanon Public School system
dvp_085_org_10	Deerfield Academy
dvp_085_org_11	Lebanon [Public] School system
dvp_085_org_12	Little League
dvp_085_org_13	Lebanon High School
dvp_085_org_14	[Phillips] Exeter [Academy]  [Exeter]
dvp_085_org_15	 [Phillips Academy]
dvp_085_org_16	Deerfield
dvp_085_org_17	Choate [Rosemary Hall] [Wallingford]
dvp_085_org_18	Deerfield
dvp_085_org_19	Deerfield
dvp_085_org_20	Deerfield
dvp_085_org_21	Deerfield
dvp_085_org_22	Deerfield Academy
dvp_085_org_23	Lebanon High School
dvp_085_org_24	Exeter
dvp_085_org_25	Navy
dvp_085_org_26	Navy
dvp_085_org_27	Navy
dvp_085_org_28	Harvard
dvp_085_org_29	Harvard
dvp_085_org_30	Harvard
dvp_085_org_31	Harvard
dvp_085_org_32	Yale
dvp_085_org_33	Dartmouth
dvp_085_org_34	Harvard
dvp_085_org_35	Harvard
dvp_085_org_36	Harvard
dvp_085_org_37	Deerfield
dvp_085_org_38	Harvard
dvp_085_org_39	Harvard
dvp_085_org_40	Harvard
dvp_085_org_41	Dunster
dvp_085_org_42	WHRB
dvp_085_org_43	Harvard
dvp_085_org_44	Harvard
dvp_085_org_45	Dartmouth
dvp_085_org_46	Dartmouth Medical School
dvp_085_org_47	Geisel
dvp_085_org_48	BMS
dvp_085_org_49	Harvard
dvp_085_org_50	Dartmouth
dvp_085_org_51	Harvard
dvp_085_org_52	Dartmouth
dvp_085_org_53	Dartmouth
dvp_085_org_54	Lebanon High School
dvp_085_org_55	Dartmouth
dvp_085_org_56	Dartmouth Medical School
dvp_085_org_57	Harvard
dvp_085_org_58	Dartmouth
dvp_085_org_59	Harvard Medical School
dvp_085_org_60	Dartmouth
dvp_085_org_61	Dartmouth
dvp_085_org_62	Dartmouth
dvp_085_org_63	Dartmouth
dvp_085_org_64	Dartmouth
dvp_085_org_65	Dartmouth
dvp_085_org_66	Dartmouth
dvp_085_org_67	Middlebury [College]
dvp_085_org_68	Rochester
dvp_085_org_69	Dartmouth-Hitchcock Medical Center]
dvp_085_org_70	Dartmouth-Hitchcock
dvp_085_org_71	Harvard
dvp_085_org_72	Harvard
dvp_085_org_73	Hitchcock
dvp_085_org_74	Alice Peck Day Hospital
dvp_085_org_75	White River Junction [VT] VA
dvp_085_org_76	Dartmouth
dvp_085_org_77	Dartmouth
dvp_085_org_78	Dartmouth
dvp_085_org_79	Dartmouth
dvp_085_org_80	Dartmouth
dvp_085_org_81	Dartmouth
dvp_085_org_82	Harvard
dvp_085_org_83	Harvard Medical School
dvp_085_org_84	Harvard
dvp_085_org_85	Dartmouth
dvp_085_org_86	Dartmouth
dvp_085_org_87	Harvard
dvp_085_org_88	Harvard
dvp_085_org_89	Dartmouth
dvp_085_org_90	Harvard
dvp_085_org_91	Harvard
dvp_085_org_92	Harvard
dvp_085_org_93	Harvard
dvp_085_org_94	Harvard
dvp_085_org_95	Harvard
dvp_085_org_96	 University of California Medical Center
dvp_085_org_97	UCSF
dvp_085_org_98	UCSF
dvp_085_org_99	UCSF
dvp_085_org_100	 Boston City Hospital
dvp_085_org_101	Dartmouth
dvp_085_org_102	Harvard
dvp_085_org_103	Army
dvp_085_org_104	 Coast Guard Reserve
dvp_085_org_105	Army
dvp_085_org_106	Army
dvp_085_org_107	Travis Air Force Base
dvp_085_org_108	clearing company
dvp_085_org_109	Army
dvp_085_org_110	Cavalry Division
dvp_085_org_111	1st Cavalry Division outfit
dvp_085_org_112	Army
dvp_085_org_113	Emory [University]
dvp_085_org_114	“A” Company
dvp_085_org_115	Headquarters and Support Company
dvp_085_org_116	HSC
dvp_085_org_117	“B” Company
dvp_085_org_118	“A” Company
dvp_085_org_119	Harvard
dvp_085_org_120	Army
dvp_085_org_121	 Boston City Hospital
dvp_085_org_122	Army
dvp_085_org_123	Army
dvp_085_org_124	Army
dvp_085_org_125	Boston City Hospital
dvp_085_org_126	Army
dvp_085_org_127	Boston City Hospital
dvp_085_org_128	Boston City Hospital
dvp_085_org_129	University of Chicago [Chicago, IL]
dvp_085_org_130	Boston University [Boston, MA]
dvp_085_org_131	University of Washington [Seattle, WA]
dvp_085_org_132	American Society of Nephrology
dvp_085_org_133	 International Society of Nephrology
dvp_085_org_134	 American Society of Nephrology
dvp_085_org_135	Journal of the American Society of Nephrology
dvp_085_org_136	ASN
dvp_085_org_137	International Society of Nephrology
dvp_085_org_138	 American Society
dvp_085_org_139	ISN
dvp_085_org_140	ASN
dvp_085_org_141	ISN
dvp_085_org_142	ASN
dvp_085_org_143	ISN
dvp_085_org_144	ISN
dvp_085_org_145	Global Outreach Program
dvp_085_org_146	Global Outreach Program
dvp_085_org_147	CME [Continuing Medical Education]
dvp_085_org_148	CME
dvp_085_org_149	match.com
dvp_085_org_150	Hitchcock
dvp_085_org_151	Dartmouth
dvp_085_org_152	match.com
dvp_085_org_153	University of Washington
dvp_085_org_154	Boston University
dvp_085_org_155	Boeing
dvp_085_org_156	Dartmouth
dvp_085_org_157	Harvard
dvp_085_org_158	Dartmouth
dvp_085_org_159	Dartmouth Medical School
dvp_085_org_160	Dartmouth
