id	placeName
dvp_085_place_0	Rauner [Special Collections] Library
dvp_085_place_1	Dartmouth College in Hanover, New Hampshire
dvp_085_place_2	Seattle, Washington
dvp_085_place_3	Alice Peck Day [Memorial] Hospital
dvp_085_place_4	Lebanon, New Hampshire
dvp_085_place_5	Lebanon
dvp_085_place_6	Upper Valley
dvp_085_place_7	[Manchester, NH]
dvp_085_place_8	Concord
dvp_085_place_9	West Lebanon
dvp_085_place_10	 New Hampshire
dvp_085_place_11	Vermont
dvp_085_place_12	Ireland
dvp_085_place_13	U.S.
dvp_085_place_14	Dover, New Hampshire
dvp_085_place_15	U.S.
dvp_085_place_16	Manchester, New Hampshire
dvp_085_place_17	Lebanon
dvp_085_place_18	Lebanon
dvp_085_place_19	Lebanon
dvp_085_place_20	[First] Congregational Church
dvp_085_place_21	Lebanon
dvp_085_place_22	Lebanon High School
dvp_085_place_23	Deerfield, Mass.
dvp_085_place_24	Deerfield Academy
dvp_085_place_25	Deerfield
dvp_085_place_26	Lebanon
dvp_085_place_27	Lebanon
dvp_085_place_28	Wells Beach
dvp_085_place_29	Maine
dvp_085_place_30	Lebanon
dvp_085_place_31	Carter Community Building
dvp_085_place_32	Carter Community Building
dvp_085_place_33	Carter Community Building
dvp_085_place_34	Melrose, Massachusetts
dvp_085_place_35	New England
dvp_085_place_36	New Jersey
dvp_085_place_37	Melrose, Mass.
dvp_085_place_38	Wells Beach
dvp_085_place_39	 Massachusetts
dvp_085_place_40	New Hampshire
dvp_085_place_41	Ireland
dvp_085_place_42	U.S.
dvp_085_place_43	Deerfield
dvp_085_place_44	Massachusetts
dvp_085_place_45	New England
dvp_085_place_46	NH
dvp_085_place_47	Andover [Andover, MA]
dvp_085_place_48	CT
dvp_085_place_49	Deerfield
dvp_085_place_50	Lebanon
dvp_085_place_51	Lebanon
dvp_085_place_52	Lebanon
dvp_085_place_53	Quebec
dvp_085_place_54	Manhattan
dvp_085_place_55	Darien, Connecticut
dvp_085_place_56	Chicago
dvp_085_place_57	Lebanon, New Hampshire
dvp_085_place_58	Deerfield
dvp_085_place_59	Deerfield
dvp_085_place_60	Deerfield
dvp_085_place_61	Deerfield
dvp_085_place_62	Deerfield
dvp_085_place_63	Deerfield
dvp_085_place_64	Deerfield
dvp_085_place_65	East Coast
dvp_085_place_66	England
dvp_085_place_67	England
dvp_085_place_68	Europe
dvp_085_place_69	Deerfield
dvp_085_place_70	Deerfield
dvp_085_place_71	New England
dvp_085_place_72	Cambridge
dvp_085_place_73	Boston
dvp_085_place_74	Deerfield
dvp_085_place_75	 90 South Street
dvp_085_place_76	Hanover
dvp_085_place_77	Chicago
dvp_085_place_78	New Jersey
dvp_085_place_79	[Middlebury, VT]
dvp_085_place_80	Pearl River, New York
dvp_085_place_81	Norwich
dvp_085_place_82	Vermont
dvp_085_place_83	Boston
dvp_085_place_84	VA
dvp_085_place_85	VA
dvp_085_place_86	VA
dvp_085_place_87	Boston
dvp_085_place_88	Vietnam
dvp_085_place_89	San Francisco
dvp_085_place_90	America
dvp_085_place_91	Vietnam
dvp_085_place_92	Vietnam
dvp_085_place_93	Vietnam
dvp_085_place_94	Europe
dvp_085_place_95	Vietnam
dvp_085_place_96	Fort Sam Houston
dvp_085_place_97	San Antonio, Texas
dvp_085_place_98	California
dvp_085_place_99	Vietnam
dvp_085_place_100	Vietnam
dvp_085_place_101	Guam
dvp_085_place_102	Philippines
dvp_085_place_103	Bien Hoa Air Base
dvp_085_place_104	Saigon
dvp_085_place_105	Vietnam
dvp_085_place_106	U.S.
dvp_085_place_107	Vietnam
dvp_085_place_108	Texas
dvp_085_place_109	Texas
dvp_085_place_110	Korea
dvp_085_place_111	45th Surgical Hospital
dvp_085_place_112	2nd Surgical Hospital
dvp_085_place_113	Saigon
dvp_085_place_114	Vietnam
dvp_085_place_115	Vietnam
dvp_085_place_116	Kentucky
dvp_085_place_117	Georgia
dvp_085_place_118	Georgia
dvp_085_place_119	Vietnam
dvp_085_place_120	An Khe
dvp_085_place_121	Vietnam
dvp_085_place_122	Vietnam
dvp_085_place_123	Vietnam
dvp_085_place_124	New Orleans
dvp_085_place_125	Vietnam
dvp_085_place_126	Pentagon
dvp_085_place_127	Bayonne,New Jersey
dvp_085_place_128	[Boston, MA]
dvp_085_place_129	Vietnam
dvp_085_place_130	New Orleans
dvp_085_place_131	Vietnam
dvp_085_place_132	New Jersey
dvp_085_place_133	Vietnam
dvp_085_place_134	Vietnam
dvp_085_place_135	Presidio
dvp_085_place_136	San Francisco
dvp_085_place_137	Massachusetts
dvp_085_place_138	 Military Ocean Terminal
dvp_085_place_139	Bayonne,New Jersey
dvp_085_place_140	the Military Ocean Terminal
dvp_085_place_141	Jersey
dvp_085_place_142	Europe
dvp_085_place_143	Europe
dvp_085_place_144	Europe
dvp_085_place_145	Vietnam
dvp_085_place_146	Vietnam
dvp_085_place_147	Jersey
dvp_085_place_148	Bayonne
dvp_085_place_149	Vietnam
dvp_085_place_150	Vietnam
dvp_085_place_151	U.S.
dvp_085_place_152	China
dvp_085_place_153	India
dvp_085_place_154	Africa
dvp_085_place_155	Sri Lanka
dvp_085_place_156	Latin America
dvp_085_place_157	Vietnam
dvp_085_place_158	Southeast Asia
dvp_085_place_159	Thailand
dvp_085_place_160	Cambodia
dvp_085_place_161	Vietnam
dvp_085_place_162	Vietnam
dvp_085_place_163	Hanoi
dvp_085_place_164	Vietnam
dvp_085_place_165	Vietnam
dvp_085_place_166	Vietnam
dvp_085_place_167	Woodinville
dvp_085_place_168	Washington
dvp_085_place_169	Vietnam
dvp_085_place_170	Hanover
dvp_085_place_171	Vietnam
dvp_085_place_172	Seattle
dvp_085_place_173	Washington State
dvp_085_place_174	Seattle
dvp_085_place_175	Seattle
dvp_085_place_176	Boston
dvp_085_place_177	Washington
dvp_085_place_178	Brussels
dvp_085_place_179	Woodinville
dvp_085_place_180	Vietnam
dvp_085_place_181	Vietnam
dvp_085_place_182	Vietnam
dvp_085_place_183	Vietnam
dvp_085_place_184	Washington
dvp_085_place_185	Lebanon
dvp_085_place_186	Concord,New Hampshire
dvp_085_place_187	Lebanon
dvp_085_place_188	Vietnam
dvp_085_place_189	Vietnam
dvp_085_place_190	Vietnam
dvp_085_place_191	D.C.
