id	orgName
dvp_086_org_0	Mercersburg Academy
dvp_086_org_1	Dartmouth
dvp_086_org_2	Dartmouth
dvp_086_org_3	Class of ’65
dvp_086_org_4	Dartmouth
dvp_086_org_5	Tuck School of Business]
dvp_086_org_6	’31
dvp_086_org_7	’33
dvp_086_org_8	Colby Junior
dvp_086_org_9	Colby-Sawyer
dvp_086_org_10	Little League
dvp_086_org_11	Boy Scout
dvp_086_org_12	Boy Scouts [of America] 
dvp_086_org_13	Eagle Scout
dvp_086_org_14	Life Scout
dvp_086_org_15	Eagle
dvp_086_org_16	Boy Scouts
dvp_086_org_17	Boy Scouts
dvp_086_org_18	Boy Scouts
dvp_086_org_19	the G.C. Murphy Company
dvp_086_org_20	J&L Steel [Jones and Laughlin Steel Company]
dvp_086_org_21	Boy Scouts
dvp_086_org_22	Boy Scouts
dvp_086_org_23	[The] Kiski [School]
dvp_086_org_24	Dartmouth
dvp_086_org_25	Dartmouth
dvp_086_org_26	Dartmouth
dvp_086_org_27	Tuck School 
dvp_086_org_28	[Class of 1907]
dvp_086_org_29	Tuck
dvp_086_org_30	Mercersburg Academy
dvp_086_org_31	Dartmouth
dvp_086_org_32	All School Octet
dvp_086_org_33	Dartmouth
dvp_086_org_34	Dartmouth
dvp_086_org_35	Penn [University of Pennsylvania]
dvp_086_org_36	Cornell [University]
dvp_086_org_37	Dartmouth
dvp_086_org_38	Penn State [Pennsylvania State University]
dvp_086_org_39	Brown [University] 
dvp_086_org_40	Brown
dvp_086_org_41	Dartmouth
dvp_086_org_42	Penn State
dvp_086_org_43	Penn State
dvp_086_org_44	Dartmouth
dvp_086_org_45	Brown
dvp_086_org_46	Dartmouth
dvp_086_org_47	NFL [National Football League]
dvp_086_org_48	Dartmouth
dvp_086_org_49	Dartmouth
dvp_086_org_50	Class of ’65
dvp_086_org_51	Class of ’65
dvp_086_org_52	Deerfield [Academy] 
dvp_086_org_53	[Philips Academy] Andover
dvp_086_org_54	[Philips] Exeter [Academy]
dvp_086_org_55	Dartmouth
dvp_086_org_56	Dartmouth
dvp_086_org_57	Dartmouth
dvp_086_org_58	Colby Junior
dvp_086_org_59	Dartmouth
dvp_086_org_60	SAE [Sigma Alpha Epsilon]
dvp_086_org_61	SAE
dvp_086_org_62	Dartmouth
dvp_086_org_63	SAE
dvp_086_org_64	Psi U[psilon]
dvp_086_org_65	Beta [Theta Pi, now Beta Alpha Omega]
dvp_086_org_66	Class of 1963
dvp_086_org_67	Dartmouth
dvp_086_org_68	Dartmouth
dvp_086_org_69	Deke [Delta Kappa Epsilon]
dvp_086_org_70	York Barbell
dvp_086_org_71	SAE
dvp_086_org_72	Class of 1965
dvp_086_org_73	Class of 1965
dvp_086_org_74	Deke
dvp_086_org_75	Class of 1965
dvp_086_org_76	SAE
dvp_086_org_77	SAE
dvp_086_org_78	Taj Mahal and the Elektras
dvp_086_org_79	Taj Mahal and the Elektras
dvp_086_org_80	Dartmouth
dvp_086_org_81	Cornell
dvp_086_org_82	Cornell
dvp_086_org_83	military
dvp_086_org_84	military
dvp_086_org_85	military
dvp_086_org_86	[U.S.] Air Force
dvp_086_org_87	Navy
dvp_086_org_88	[U.S.] Navy Reserve
dvp_086_org_89	Navy Reserve
dvp_086_org_90	military
dvp_086_org_91	Class of 1965
