id	persName
dvp_086_person_0	Alexa Sonnenfeld
dvp_086_person_1	Rob Cox
dvp_086_person_2	Rob
dvp_086_person_3	Rob
dvp_086_person_4	[Thomas] “Tom” Saxer
dvp_086_person_5	Mike
dvp_086_person_6	[J. S. Mack]
dvp_086_person_7	Tom Saxer’s
dvp_086_person_8	Mike Mack
dvp_086_person_9	Harry [R.] Wellman [Class of 1907]
dvp_086_person_10	Ayn Rand’s
dvp_086_person_11	George [A.] Plimpton
dvp_086_person_12	George Plimpton
dvp_086_person_13	George
dvp_086_person_14	George
dvp_086_person_15	Chauncey [C.] Loomis III [Jr.]
dvp_086_person_16	Rob
dvp_086_person_17	[President John F.] Kennedy
dvp_086_person_18	[William H.] “Bill” King [Jr., Class of 1963]
dvp_086_person_19	[Robert L.] “Bob” Blackman
dvp_086_person_20	Paul [C.] Pringle [Class of 1965]
dvp_086_person_21	Paul
dvp_086_person_22	[Edward A.] “Ed” Taber [III, Class of 1965]
dvp_086_person_23	[Alexander F.] “Sandy” Ritter [Class of 1965]
dvp_086_person_24	[Kenneth H.] “Ken” Jukes [Class of 1965]
dvp_086_person_25	Ken Jukes
dvp_086_person_26	Rob
dvp_086_person_27	[Leslie H.] “Les” Wexner
dvp_086_person_28	Les Wexner
dvp_086_person_29	[James A.] “Jim” Napoli
dvp_086_person_30	Rob
dvp_086_person_31	Murray Lindberg
dvp_086_person_32	[President] Lyndon [B.] Johnson
dvp_086_person_33	Jane Fonda
dvp_086_person_34	Jane
dvp_086_person_35	Lyndon B. Johnson
dvp_086_person_36	[President Richard M.] Nixon
dvp_086_person_37	Rob
dvp_086_person_38	Mr. Cox
