id	orgName
dvp_087_org_0	Dartmouth Vietnam Project
dvp_087_org_1	University of Missouri at Kansas City
dvp_087_org_2	the Kansas City Public Schools
dvp_087_org_3	Army Reserves
dvp_087_org_4	Army Reserves
dvp_087_org_5	American Federation of Teachers
dvp_087_org_6	AFT
dvp_087_org_7	American Federation of Teachers
dvp_087_org_8	Catholic
dvp_087_org_9	Protestants
dvp_087_org_10	Baptists
dvp_087_org_11	Methodists
dvp_087_org_12	Reorganized Latter Day Saint church [Reorganized Church of Jesus Christ of Latter Day Saints]
dvp_087_org_13	Reorganized Latter Day Saints
dvp_087_org_14	Reorganized Latter Day Saints
dvp_087_org_15	Reorganized Latter Day Saints
dvp_087_org_16	Boy Scouts
dvp_087_org_17	Boy Scouts
dvp_087_org_18	Reorganized Latter Day Saints
dvp_087_org_19	Reorganized Latter Day Saints
dvp_087_org_20	Catholics
dvp_087_org_21	Catholics
dvp_087_org_22	Catholic
dvp_087_org_23	Catholic
dvp_087_org_24	Boy Scouts
dvp_087_org_25	Reserves
dvp_087_org_26	Army Air Corps
dvp_087_org_27	Navy
dvp_087_org_28	Navy
dvp_087_org_29	Navy
dvp_087_org_30	Officer Candidate School [OCS]
dvp_087_org_31	reserves
dvp_087_org_32	Luftwaffe
dvp_087_org_33	UN
dvp_087_org_34	NBC
dvp_087_org_35	CBS
dvp_087_org_36	Boy Scouts
dvp_087_org_37	Boy Scouts
dvp_087_org_38	NBC
dvp_087_org_39	CBS
dvp_087_org_40	CBS
dvp_087_org_41	CBS
dvp_087_org_42	CBS
dvp_087_org_43	NBC
dvp_087_org_44	ABC
dvp_087_org_45	ABC
dvp_087_org_46	ABC
dvp_087_org_47	CBS
dvp_087_org_48	NBC
dvp_087_org_49	Democrat
dvp_087_org_50	Democrat
dvp_087_org_51	Dartmouth
dvp_087_org_52	Pembroke Country Day School
dvp_087_org_53	Pembroke Hill
dvp_087_org_54	Ivy Leagues
dvp_087_org_55	Ivies
dvp_087_org_56	Wesleyan
dvp_087_org_57	Williams
dvp_087_org_58	Amherst
dvp_087_org_59	Stanford
dvp_087_org_60	Dartmouth
dvp_087_org_61	Dartmouth
dvp_087_org_62	Class of ’63
dvp_087_org_63	Dartmouth basketball team
dvp_087_org_64	Class of 1957
dvp_087_org_65	Class of ’60
dvp_087_org_66	Dartmouth
dvp_087_org_67	United States Military Academy at West Point
dvp_087_org_68	West Point
dvp_087_org_69	West Point
dvp_087_org_70	Academy
dvp_087_org_71	West Point
dvp_087_org_72	Dartmouth
dvp_087_org_73	West Point
dvp_087_org_74	Dartmouth
dvp_087_org_75	ROTC
dvp_087_org_76	Dartmouth
dvp_087_org_77	Dartmouth
dvp_087_org_78	Dartmouth
dvp_087_org_79	West Point
dvp_087_org_80	Marines
dvp_087_org_81	Marine PLC
dvp_087_org_82	Platoon Leaders Corps
dvp_087_org_83	Dartmouth
dvp_087_org_84	Army Reserves
dvp_087_org_85	Marine Corps
dvp_087_org_86	Army
dvp_087_org_87	Dartmouth
dvp_087_org_88	Tulane University [New Orleans, LA]
dvp_087_org_89	Desire Street Project
dvp_087_org_90	Dartmouth
dvp_087_org_91	Army
dvp_087_org_92	Missouri National Guard
dvp_087_org_93	National Guard
dvp_087_org_94	National Guard
dvp_087_org_95	Officer Candidate School
dvp_087_org_96	Army
dvp_087_org_97	reserves
dvp_087_org_98	National Guard
dvp_087_org_99	Dartmouth
dvp_087_org_100	Dartmouth
dvp_087_org_101	’77
dvp_087_org_102	Class of ’77
dvp_087_org_103	Class of 1976
dvp_087_org_104	Class of ’75
dvp_087_org_105	Class of ’75
dvp_087_org_106	D [The Dartmouth student newspaper]
dvp_087_org_107	Class of ’75
dvp_087_org_108	Army
dvp_087_org_109	Army
dvp_087_org_110	Harvard Law School
dvp_087_org_111	Beta
dvp_087_org_112	Beta
dvp_087_org_113	Dartmouth
dvp_087_org_114	Dartmouth
dvp_087_org_115	Dartmouth
dvp_087_org_116	Green Mountain Junior College [Poultney, VT]
dvp_087_org_117	Covey Junior College
dvp_087_org_118	Beta
dvp_087_org_119	Dartmouth
dvp_087_org_120	Dartmouth
dvp_087_org_121	Dartmouth
dvp_087_org_122	Beta
