id	placeName	QID	dvp_id	coordinate location
dvp_087_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_087_place_1	Hanover	Q131908		43.7,-72.28333333333333
dvp_087_place_2	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_3	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_4	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_5	Missouri	Q1581		38.5,-92.5
dvp_087_place_6	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_7	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_8	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_9	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_10	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_11	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_12	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_13	Utah	Q829		39.5,-111.5
dvp_087_place_14	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_15	Belfast	Q10686		54.596388888889,-5.93
dvp_087_place_16	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_17	Normandy American Cemetery and Memorial	Q2134416		49.360277777778,-0.85722222222222
dvp_087_place_18	Omaha Beach	Q464257		49.368888888889,-0.86861111111111
dvp_087_place_19	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_20	Omaha Beach	Q464257		49.368888888889,-0.86861111111111
dvp_087_place_21	Republic of the Congo	Q971		-0.75,15.383330555556
dvp_087_place_22	Republic of the Congo	Q971		-0.75,15.383330555556
dvp_087_place_23	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_24	Missouri	Q1581		38.5,-92.5
dvp_087_place_25	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_26	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_27	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_28	New Orleans	Q34404		29.95465,-90.07507
dvp_087_place_29	Lower Ninth Ward	Q6693664		29.9703,-90.0128
dvp_087_place_30	Lower Ninth Ward	Q6693664		29.9703,-90.0128
dvp_087_place_31	New Orleans	Q34404		29.95465,-90.07507
dvp_087_place_32	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_33	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_34	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_35	Vermont	Q16551		44,-72.7
dvp_087_place_36	New London	Q49146		41.354069,-72.10104
dvp_087_place_37	Boston	Q100		42.358333333333,-71.0625
dvp_087_place_38	New Hampshire	Q759		44,-71.5
dvp_087_place_39	Vermont	Q16551		44,-72.7
dvp_087_place_40	Upper Valley	Q105076900		43.6574776,-72.2814202
dvp_087_place_41	Enfield	Q2276245		43.641666666667,-72.145277777778
dvp_087_place_42	Mid Fayerweather Hall	Q104891220		43.7037434,-72.2864077
dvp_087_place_43	Cold Regions Research and Engineering Laboratory	Q5142318		43.7239,-72.2731
dvp_087_place_44	University of Massachusetts	Q1061122		42.3868, -72.5301
dvp_087_place_45	Amherst	Q49164		42.366667,-72.516667
dvp_087_place_46	New Orleans	Q34404		29.95465,-90.07507
dvp_087_place_47	Canada	Q16		56,-109
dvp_087_place_48	Independence	Q24603		39.083333333333,-94.416666666667
dvp_087_place_49	Vietnam	Q881		16,108
dvp_087_place_50	Fort Carson	Q602739		38.5555596,-104.842556
dvp_087_place_51	Vietnam	Q881		16,108
dvp_087_place_52	Vietnam	Q881		16,108
dvp_087_place_53	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_54	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_55	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_56	United States of America	Q30		39.828175,-98.5795
dvp_087_place_57	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_58	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_59	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_60	Kansas City	Q41819		39.05,-94.583333333333
dvp_087_place_61	Fort Leonard Wood	Q964399		37.7117044,-92.1458075
dvp_087_place_62	Missouri	Q1581		38.5,-92.5
dvp_087_place_63	St. Louis	Q38022		38.616666666667,-90.2
dvp_087_place_64	Fort Campbell	Q1385040		36.65,-87.4667
dvp_087_place_65	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_087_place_66	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_087_place_67	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_087_place_68	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_69	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_70	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_71	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_72	Germany	Q183		51,10
dvp_087_place_73	Germany	Q183		51,10
dvp_087_place_74	Germany	Q183		51,10
dvp_087_place_75	United States of America	Q30		39.828175,-98.5795
dvp_087_place_76	Germany	Q183		51,10
dvp_087_place_77	United States of America	Q30		39.828175,-98.5795
dvp_087_place_78	Germany	Q183		51,10
dvp_087_place_79	Wiesbaden	Q1721		50.0825,8.24
dvp_087_place_80	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_81	Wiesbaden	Q1721		50.0825,8.24
dvp_087_place_82	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_83	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_84	Germany	Q183		51,10
dvp_087_place_85	Germany	Q183		51,10
dvp_087_place_86	Germany	Q183		51,10
dvp_087_place_87	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_88	Germany	Q183		51,10
dvp_087_place_89	South Korea	Q884		36,128
dvp_087_place_90	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_91	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_92	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_93	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_94	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_95	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_96	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_087_place_97	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_98	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_99	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_100	Kijŏng-dong	Q494593		37.94528,126.65556
dvp_087_place_101	Panmunjeom	Q495167		37.955555555556,126.67777777778
dvp_087_place_102	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_103	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_104	Osan Air Base	Q492965		37.090555555556,127.02972222222
dvp_087_place_105	Seoul	Q8684		37.56,126.99
dvp_087_place_106	Yeongsan	Q22055202		35.454166666667,128.52527777778
dvp_087_place_107	Yeongsan	Q22055202		35.454166666667,128.52527777778
dvp_087_place_108	Seoul	Q8684		37.56,126.99
dvp_087_place_109	Seoul	Q8684		37.56,126.99
dvp_087_place_110	Yeongsan	Q22055202		35.454166666667,128.52527777778
dvp_087_place_111	Osan Air Base	Q492965		37.090555555556,127.02972222222
dvp_087_place_112	Camp Casey, South Korea	Q483988		37.92191389,127.08546111
dvp_087_place_113	Yeongsan	Q22055202		35.454166666667,128.52527777778
dvp_087_place_114	Camp Casey, South Korea	Q483988		37.92191389,127.08546111
dvp_087_place_115	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_116	Camp Hovey	Q563132		37.90498889,127.08404444
dvp_087_place_117	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_118	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_119	North Korea	Q423		40,127
dvp_087_place_120	Imjin River	Q495534		37.79,126.66
dvp_087_place_121	Imjin River	Q495534		37.79,126.66
dvp_087_place_122	Imjin River	Q495534		37.79,126.66
dvp_087_place_123	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_124	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_125	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_126	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_127	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_128	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_129	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_130	Seoul	Q8684		37.56,126.99
dvp_087_place_131	Germany	Q183		51,10
dvp_087_place_132	Germany	Q183		51,10
dvp_087_place_133	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_134	Germany	Q183		51,10
dvp_087_place_135	Germany	Q183		51,10
dvp_087_place_136	Vietnam	Q881		16,108
dvp_087_place_137	Booneville	Q1917723		37.4747,-83.6767
dvp_087_place_138	Vietnam	Q881		16,108
dvp_087_place_139	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_140	South Vietnam	Q180573		10.75,106.66666666667
dvp_087_place_141	Mekong Delta	Q1052867		10.009,105.824
dvp_087_place_142	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_143	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_144	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_145	Germany	Q183		51,10
dvp_087_place_146	Germany	Q183		51,10
dvp_087_place_147	Germany	Q183		51,10
dvp_087_place_148	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_149	Wiesbaden	Q1721		50.0825,8.24
dvp_087_place_150	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_151	Germany	Q183		51,10
dvp_087_place_152	Germany	Q183		51,10
dvp_087_place_153	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_154	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_155	Germany	Q183		51,10
dvp_087_place_156	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_157	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_158	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_159	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_160	Korean Demilitarized Zone	Q331990		38.3,127.27
dvp_087_place_161	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_162	Kansas	Q1558		38.5,-98
dvp_087_place_163	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_164	Fort Riley	Q1438701		39.1,-96.816666666667
dvp_087_place_165	Colombia	Q739		4,-74
dvp_087_place_166	Korea	Q18097		38.316666666667,127.23333333333
dvp_087_place_167	Colombia	Q739		4,-74
dvp_087_place_168	The Wharton School	Q1329269		39.953232,-75.197993
