id	orgName
dvp_005_org_0	Dartmouth Vietnam Project
dvp_005_org_1	10th Mountain Division
dvp_005_org_2	Second Foot company
dvp_005_org_3	Cub Scouts
dvp_005_org_4	Boy Scouts
dvp_005_org_5	Scouts
dvp_005_org_6	Tecumseh
dvp_005_org_7	Cub Scout
dvp_005_org_8	Boy Scout
dvp_005_org_9	Gardner
dvp_005_org_10	Ivy League
dvp_005_org_11	Ivy League
dvp_005_org_12	Dartmouth [College]
dvp_005_org_13	Dartmouth
dvp_005_org_14	Dartmouth
dvp_005_org_15	Dartmouth
dvp_005_org_16	Dartmouth
dvp_005_org_17	Williams [College]
dvp_005_org_18	Big 10 [Conference]
dvp_005_org_19	Michigan
dvp_005_org_20	Williams
dvp_005_org_21	Dartmouth
dvp_005_org_22	Dartmouth
dvp_005_org_23	Dartmouth
dvp_005_org_24	Dartmouth
dvp_005_org_25	Dartmouth
dvp_005_org_26	Class of 1936
dvp_005_org_27	Dartmouth
dvp_005_org_28	Dartmouth
dvp_005_org_29	Scout
dvp_005_org_30	Dartmouth Rowing Club
dvp_005_org_31	Beta
dvp_005_org_32	Beta
dvp_005_org_33	Beta
dvp_005_org_34	Beta
dvp_005_org_35	Dartmouth
dvp_005_org_36	Ivy
dvp_005_org_37	Dartmouth
dvp_005_org_38	[Class of 1929]
dvp_005_org_39	Undergraduate Judiciary Committee
dvp_005_org_40	JC
dvp_005_org_41	National Advisory Council of the Peace Corps [Peace Corps National Advisory Council]
dvp_005_org_42	ROTC [Reserve Officers’ Training Corps]
dvp_005_org_43	Naval OCS [Office Candidate School of the U.S. Navy]
dvp_005_org_44	ROTC
dvp_005_org_45	ROTC
dvp_005_org_46	OCS
dvp_005_org_47	ROTC
dvp_005_org_48	[U.S.] Army
dvp_005_org_49	ROTC
dvp_005_org_50	ROTC
dvp_005_org_51	ROTC
dvp_005_org_52	ROTC
dvp_005_org_53	Dartmouth
dvp_005_org_54	The Peace Corps
dvp_005_org_55	Proctor and Gamble
dvp_005_org_56	Yale
dvp_005_org_57	Peace Corps
dvp_005_org_58	Peace Corps
dvp_005_org_59	Peace Corps
dvp_005_org_60	Peace Corps
dvp_005_org_61	Peace Corps
dvp_005_org_62	NOLS [National Outdoor Leadership School]
dvp_005_org_63	NOLS
dvp_005_org_64	Peace Corps
dvp_005_org_65	Peace Corps
dvp_005_org_66	Peace Corps
dvp_005_org_67	People to People [International]
dvp_005_org_68	People to People
dvp_005_org_69	Peace Corps
dvp_005_org_70	Peace Corps
dvp_005_org_71	Peace Corps
dvp_005_org_72	Green Berets [U.S. Army Special Forces]
dvp_005_org_73	Peace Corps
dvp_005_org_74	Peace Corps
dvp_005_org_75	United Fruit [Company]
dvp_005_org_76	Peace Corps
dvp_005_org_77	Peace Corps
dvp_005_org_78	TIME
dvp_005_org_79	TIME
dvp_005_org_80	Voice of America
dvp_005_org_81	TIME
dvp_005_org_82	Voice of America
dvp_005_org_83	Viet Cong
dvp_005_org_84	Peace Corps
dvp_005_org_85	Peace Corps
dvp_005_org_86	Voice of America
dvp_005_org_87	Green Berets
dvp_005_org_88	Green Berets
dvp_005_org_89	Peace Corps
dvp_005_org_90	Annapolis [U.S. Naval Academy]
dvp_005_org_91	Peace Corps
dvp_005_org_92	SDS, Students for a Democratic Society
dvp_005_org_93	SDS
dvp_005_org_94	School of Social Work
dvp_005_org_95	University of Mississippi
dvp_005_org_96	Southern Christian Leadership [Conference]
dvp_005_org_97	SNCC [Student Nonviolent Coordinating Committee]
dvp_005_org_98	SNCC, the Student Nonviolent Coordinating Committee
dvp_005_org_99	Deacons for [Defense and] Justice
dvp_005_org_100	Freedom Now! movement
dvp_005_org_101	Black Power movement
dvp_005_org_102	Black Power
dvp_005_org_103	PBS [Public Broadcasting System]
dvp_005_org_104	Black Power
dvp_005_org_105	Black Power
dvp_005_org_106	Black Power
dvp_005_org_107	Michigan State Association of Social Workers
dvp_005_org_108	Detroit City Council
dvp_005_org_109	NBC [National Broadcasting Company]
dvp_005_org_110	Ford Motor Company
dvp_005_org_111	Ford
dvp_005_org_112	Peace Corps
dvp_005_org_113	Peace Corps
dvp_005_org_114	USAID
dvp_005_org_115	Peace Corps
dvp_005_org_116	Peace Corps
dvp_005_org_117	FBI
dvp_005_org_118	Peace Corps
dvp_005_org_119	Green Berets
dvp_005_org_120	Kerner Commission
dvp_005_org_121	Peace Corps
dvp_005_org_122	FBI
dvp_005_org_123	Rockefeller Foundation
dvp_005_org_124	Vice Lords Incorporated
dvp_005_org_125	Rockefeller Foundation
dvp_005_org_126	Rockefeller Foundation
dvp_005_org_127	Black Power
dvp_005_org_128	Institute [Museum] of Contemporary Art
dvp_005_org_129	Tasty-Freez
dvp_005_org_130	FBI
dvp_005_org_131	FBI
dvp_005_org_132	FBI
dvp_005_org_133	Peace Corps
dvp_005_org_134	Peace Corps
dvp_005_org_135	Esquire
dvp_005_org_136	National Advisory Council of Peace Corps
