id	placeName	QID	dvp_id	coordinates
dvp_005_place_0	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_005_place_1	Westminster	Q2559758		42.545833333333,-71.911111111111
dvp_005_place_2	Massachusetts	Q771		42.3,-71.8
dvp_005_place_3	Scotland	Q22		57,-5
dvp_005_place_4	Westminster	Q2559758		42.545833333333,-71.911111111111
dvp_005_place_5	Newbury	Q2302285		42.766666666667,-70.845833333333
dvp_005_place_6	Haverhill	Q54132		42.783333333333,-71.083333333333
dvp_005_place_7	Haverhill	Q54132		42.783333333333,-71.083333333333
dvp_005_place_8	New Hampshire	Q759		44,-71.5
dvp_005_place_9	Bath	Q2310698		44.166944444444,-71.966111111111
dvp_005_place_10	Corregidor Island Lighthouse	Q5172821		14.38011111,120.57683333
dvp_005_place_11	Fort Devens	Q1413867		42.545022222222,-71.613336111111
dvp_005_place_12	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_005_place_13	Westminster	Q2559758		42.545833333333,-71.911111111111
dvp_005_place_14	Gardner	Q1829193		42.575,-71.998611111111
dvp_005_place_15	Lake Winnipesaukee	Q224872		43.598888888889,-71.323055555556
dvp_005_place_16	Winter Harbor	Q3448810		44.395277777778,-68.083055555556
dvp_005_place_17	Wolfeboro	Q601652		43.584166666667,-71.212777777778
dvp_005_place_18	New Hampshire	Q759		44,-71.5
dvp_005_place_19	Osceola Mountain	Q49058976		42.387777777778,-73.327222222222
dvp_005_place_20	Mount Washington	Q572801		44.270827777778,-71.303483333333
dvp_005_place_21	Mount Lafayette	Q8520336		44.160705555556,-71.644361111111
dvp_005_place_22	Gardner High School	Q5522600		42.5834,-71.978
dvp_005_place_23	Gardner	Q1829193		42.575,-71.998611111111
dvp_005_place_24	Fitchburg	Q54182		42.583333333333,-71.802777777778
dvp_005_place_25	North Carolina	Q1454		35.5,-80
dvp_005_place_26	United States of America	Q30		39.828175,-98.5795
dvp_005_place_27	Gardner	Q1829193		42.575,-71.998611111111
dvp_005_place_28	Harvard University	Q13371		42.374443888889,-71.116943888889
dvp_005_place_29	Williamstown	Q983837		42.711944444444,-73.204166666667
dvp_005_place_30	University of Michigan	Q230492		42.276944444444,-83.738055555556
dvp_005_place_31	Michigan	Q1166		44.34,-85.58
dvp_005_place_32	Michigan	Q1166		44.34,-85.58
dvp_005_place_33	Lisbon	Q2310637		44.213333333333,-71.910833333333
dvp_005_place_34	Gardner	Q1829193		42.575,-71.998611111111
dvp_005_place_35	New York City	Q60		40.67,-73.94
dvp_005_place_36	Choate dorms [Choate Cluster]	Q101445656		43.707371,-72.290545
dvp_005_place_37	Thayer Hall	Q98636574		43.70309,-72.29092
dvp_005_place_38	Beta [Theta Pi, now Beta Alpha Omega]	Q101445652		43.706002,-72.291033
dvp_005_place_39	Beta	Q101445652		43.706002,-72.291033
dvp_005_place_40	Beta	Q101445652		43.706002,-72.291033
dvp_005_place_41	Beta	Q101445652		43.706002,-72.291033
dvp_005_place_42	Smith College	Q49204		42.3175,-72.6375
dvp_005_place_43	Robinson Hall	Q101445665		43.706002,-72.291033
dvp_005_place_44	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_45	White House	Q35525		38.897669444444,-77.03655
dvp_005_place_46	Vietnam	Q881		16,108
dvp_005_place_47	Vail Ski Resort	Q14685139		39.6391,-106.374
dvp_005_place_48	Casque and Gauntlet	Q5049130		43.706002,-72.291033
dvp_005_place_49	United States of America	Q30		39.828175,-98.5795
dvp_005_place_50	Honduras	Q783		14.633333,-86.816667
dvp_005_place_51	Honduras	Q783		14.633333,-86.816667
dvp_005_place_52	Puerto Rico	Q1183		18.25,-66.5
dvp_005_place_53	New Mexico	Q1522		34,-106
dvp_005_place_54	New Mexico	Q1522		34,-106
dvp_005_place_55	University of New Mexico	Q1190812		35.08389,-106.61861
dvp_005_place_56	United States of America	Q30		39.828175,-98.5795
dvp_005_place_57	Maine	Q724		45.5,-69
dvp_005_place_58	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_005_place_59	Cornell University	Q49115		42.447222222222,-76.483055555556
dvp_005_place_60	Harvard University	Q13371		42.374443888889,-71.116943888889
dvp_005_place_61	Honduras	Q783		14.633333,-86.816667
dvp_005_place_62	Albuquerque	Q34804		35.116666666667,-106.61666666667
dvp_005_place_63	Taos	Q876315		36.393979,-105.576705
dvp_005_place_64	Taos	Q876315		36.393979,-105.576705
dvp_005_place_65	Honduras	Q783		14.633333,-86.816667
dvp_005_place_66	United States of America	Q30		39.828175,-98.5795
dvp_005_place_67	Honduras	Q783		14.633333,-86.816667
dvp_005_place_68	Taos	Q876315		36.393979,-105.576705
dvp_005_place_69	Honduras	Q783		14.633333,-86.816667
dvp_005_place_70	Honduras	Q783		14.633333,-86.816667
dvp_005_place_71	Honduras	Q783		14.633333,-86.816667
dvp_005_place_72	Massachusetts	Q771		42.3,-71.8
dvp_005_place_73	Massachusetts	Q771		42.3,-71.8
dvp_005_place_74	Honduras	Q783		14.633333,-86.816667
dvp_005_place_75	El Triunfo	Q1747638		13.11667,-87
dvp_005_place_76	Honduras	Q783		14.633333,-86.816667
dvp_005_place_77	Honduras	Q783		14.633333,-86.816667
dvp_005_place_78	Honduras	Q783		14.633333,-86.816667
dvp_005_place_79	Honduras	Q783		14.633333,-86.816667
dvp_005_place_80	Michigan	Q1166		44.34,-85.58
dvp_005_place_81	Michigan	Q1166		44.34,-85.58
dvp_005_place_82	Honduras	Q783		14.633333,-86.816667
dvp_005_place_83	Honduras	Q783		14.633333,-86.816667
dvp_005_place_84	Vietnam	Q881		16,108
dvp_005_place_85	Cuba	Q241		22,-79.5
dvp_005_place_86	Thailand	Q869		14,101
dvp_005_place_87	Malaysia	Q833		3,108
dvp_005_place_88	Vietnam	Q881		16,108
dvp_005_place_89	Vietnam	Q881		16,108
dvp_005_place_90	Mexico	Q96		23,-102
dvp_005_place_91	Malaysia	Q833		3,108
dvp_005_place_92	South America	Q18		-21,-59
dvp_005_place_93	Michigan	Q1166		44.34,-85.58
dvp_005_place_94	Michigan	Q1166		44.34,-85.58
dvp_005_place_95	Cerro El Portillo	Q23646028		-34.6687,-70.3776
dvp_005_place_96	Michigan	Q1166		44.34,-85.58
dvp_005_place_97	Michigan	Q1166		44.34,-85.58
dvp_005_place_98	University of California, Berkeley	Q168756		37.87,-122.259
dvp_005_place_99	Columbia University	Q49088		40.8075,-73.961944444444
dvp_005_place_100	Michigan	Q1166		44.34,-85.58
dvp_005_place_101	Michigan	Q1166		44.34,-85.58
dvp_005_place_102	Michigan	Q1166		44.34,-85.58
dvp_005_place_103	Memphis	Q16563		35.1175,-89.971111111111
dvp_005_place_104	Jackson	Q28198		32.298888888889,-90.184722222222
dvp_005_place_105	Belzoni	Q792601		33.1817,-90.485
dvp_005_place_106	Belzoni	Q792601		33.1817,-90.485
dvp_005_place_107	Belzoni	Q792601		33.1817,-90.485
dvp_005_place_108	Mississippi Highway 1	Q2246839		43.706002,-72.291033
dvp_005_place_109	Greenwood	Q986376		33.5186,-90.1839
dvp_005_place_110	Greenwood	Q986376		33.5186,-90.1839
dvp_005_place_111	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_112	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_113	Michigan	Q1166		44.34,-85.58
dvp_005_place_114	Michigan	Q1166		44.34,-85.58
dvp_005_place_115	Detroit	Q12439		42.331666666667,-83.0475
dvp_005_place_116	Ann Arbor	Q485172		42.28138889,-83.74833333
dvp_005_place_117	New York City	Q60		40.67,-73.94
dvp_005_place_118	New York City	Q60		40.67,-73.94
dvp_005_place_119	Central Park	Q160409		40.7825,-73.966111111111
dvp_005_place_120	Headquarters of the United Nations	Q11297		40.749444444444,-73.968055555556
dvp_005_place_121	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_122	The Pentagon	Q11208		38.871111,-77.055833
dvp_005_place_123	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_124	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_125	The Pentagon	Q11208		38.871111,-77.055833
dvp_005_place_126	Vietnam	Q881		16,108
dvp_005_place_127	Korea	Q18097		38.316666666667,127.23333333333
dvp_005_place_128	Vietnam	Q881		16,108
dvp_005_place_129	Michigan	Q1166		44.34,-85.58
dvp_005_place_130	United States of America	Q30		39.828175,-98.5795
dvp_005_place_131	St. Louis	Q38022		38.616666666667,-90.2
dvp_005_place_132	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_133	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_134	Playboy Club	Q7203216		36.1153,-115.198
dvp_005_place_135	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_136	St. Louis	Q38022		38.616666666667,-90.2
dvp_005_place_137	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_138	West Side, Chicago	Q3567445		41.8671,-87.6216
dvp_005_place_139	West Side, Chicago	Q3567445		41.8671,-87.6216
dvp_005_place_140	Mississippi	Q1494		33,-90
dvp_005_place_141	West Side, Chicago	Q3567445		41.8671,-87.6216
dvp_005_place_142	Los Angeles	Q65		34.05223,-118.24368
dvp_005_place_143	Detroit	Q12439		42.331666666667,-83.0475
dvp_005_place_144	Newark	Q25395		40.735277777778,-74.185
dvp_005_place_145	West Side, Chicago	Q3567445		41.8671,-87.6216
dvp_005_place_146	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_147	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_148	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_149	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_150	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_151	Cabinet Room	Q1024851		38.8975,-77.0374
dvp_005_place_152	Cambodia	Q424		12.6,105
dvp_005_place_153	Cambodia	Q424		12.6,105
dvp_005_place_154	United States of America	Q30		39.828175,-98.5795
dvp_005_place_155	Hanover	Q131908		43.7,-72.28333333333333
dvp_005_place_156	Massachusetts	Q771		42.3,-71.8
dvp_005_place_157	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_158	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_159	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_160	Aspen	Q205842		39.192222222222,-106.82444444444
dvp_005_place_161	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_162	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_163	Massachusetts	Q771		42.3,-71.8
dvp_005_place_164	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_165	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_166	New Bedford	Q49147		41.636111111111,-70.934722222222
dvp_005_place_167	New Bedford	Q49147		41.636111111111,-70.934722222222
dvp_005_place_168	Massachusetts	Q771		42.3,-71.8
dvp_005_place_169	Michigan	Q1166		44.34,-85.58
dvp_005_place_170	United States of America	Q30		39.828175,-98.5795
dvp_005_place_171	Honduras	Q783		14.633333,-86.816667
dvp_005_place_172	South Dakota	Q1211		44.5,-100
dvp_005_place_173	Massachusetts	Q771		42.3,-71.8
dvp_005_place_174	United States of America	Q30		39.828175,-98.5795
dvp_005_place_175	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_176	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_177	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_178	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_179	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_180	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_005_place_181	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_182	Vietnam	Q881		16,108
dvp_005_place_183	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_005_place_184	United States of America	Q30		39.828175,-98.5795
dvp_005_place_185	Vietnam	Q881		16,108
dvp_005_place_186	Vietnam	Q881		16,108
dvp_005_place_187	Muhammad Ali Center	Q738549		38.2582,-85.7601
