id	name
dvp_092_event_0	war in Vietnam
dvp_092_event_1	Vietnam War
dvp_092_event_2	[President John F.] Kennedy’s slaying
dvp_092_event_3	Holocaust
dvp_092_event_4	Vietnam War
dvp_092_event_5	this war
dvp_092_event_6	this war
dvp_092_event_7	Vietnam War
dvp_092_event_8	Vietnam War
dvp_092_event_9	war
dvp_092_event_10	Vietnam War
dvp_092_event_11	war
dvp_092_event_12	war
dvp_092_event_13	Vietnam War
dvp_092_event_14	war
dvp_092_event_15	war
dvp_092_event_16	assassination of the Diems [Ngo Dinh Diem]
dvp_092_event_17	war
dvp_092_event_18	war
dvp_092_event_19	war
dvp_092_event_20	war
dvp_092_event_21	pushing Johnson out of office
dvp_092_event_22	war
dvp_092_event_23	war
dvp_092_event_24	war
dvp_092_event_25	referendum
dvp_092_event_26	war
dvp_092_event_27	war
dvp_092_event_28	war
dvp_092_event_29	referendum
dvp_092_event_30	referendum
dvp_092_event_31	occupying Parkhurst
dvp_092_event_32	Kent State
dvp_092_event_33	war
dvp_092_event_34	American intervention
dvp_092_event_35	Vietnam
dvp_092_event_36	war
dvp_092_event_37	invasion of Cambodia
dvp_092_event_38	“May Day,”
dvp_092_event_39	war in Vietnam
dvp_092_event_40	war
dvp_092_event_41	Vietnam
dvp_092_event_42	Vietnam
dvp_092_event_43	Parkhurst protest
dvp_092_event_44	Parkhurst protest
dvp_092_event_45	referendum
dvp_092_event_46	Columbia
dvp_092_event_47	Harvard
dvp_092_event_48	war in Vietnam
