id	placeName	QID	dvp_id	coordinate location
dvp_023_place_0	Webster Hall	Q105045865		43.704469, 72.288169
dvp_023_place_1	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_2	Iowa City	Q487977		41.655833333333,-91.525
dvp_023_place_3	Iowa	Q1546		42,-93
dvp_023_place_4	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_5	Iowa City	Q487977		41.655833333333,-91.525
dvp_023_place_6	Iowa City	Q487977		41.655833333333,-91.525
dvp_023_place_7	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_023_place_8	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_9	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_023_place_10	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_11	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_12	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_13	Iowa	Q1546		42,-93
dvp_023_place_14	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_15	Iowa	Q1546		42,-93
dvp_023_place_16	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_023_place_17	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_023_place_18	Naperville	Q243007		41.748055555556,-88.165555555556
dvp_023_place_19	Naperville	Q243007		41.748055555556,-88.165555555556
dvp_023_place_20	Naperville	Q243007		41.748055555556,-88.165555555556
dvp_023_place_21	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_22	Los Angeles	Q65		34.05223,-118.24368
dvp_023_place_23	Boston	Q100		42.358333333333,-71.0625
dvp_023_place_24	Westside High School	Q7989694		41.2472,-96.05
dvp_023_place_25	Nebraska City	Q286025		40.676111111111,-95.859722222222
dvp_023_place_26	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_27	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_28	Lebanon Municipal Airport	Q6511111		43.6261,-72.3042
dvp_023_place_29	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_30	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_31	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_023_place_32	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_023_place_33	Hartford	Q33486		41.763333333333,-72.685
dvp_023_place_34	Hartford	Q33486		41.763333333333,-72.685
dvp_023_place_35	White River Junction	Q1898562		43.6503,-72.3214
dvp_023_place_36	White River Junction	Q1898562		43.6503,-72.3214
dvp_023_place_37	Hanover	Q38249825		43.70222222,-72.28944444
dvp_023_place_38	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_39	White River Junction	Q1898562		43.6503,-72.3214
dvp_023_place_40	Hanover	Q38249825		43.70222222,-72.28944444
dvp_023_place_41	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_42	Russell Sage Hall	Q100707799		43.7054,-72.29063
dvp_023_place_43	Maine	Q724		45.5,-69
dvp_023_place_44	Vietnam	Q881		16,108
dvp_023_place_45	Vietnam	Q881		16,108
dvp_023_place_46	Vietnam	Q881		16,108
dvp_023_place_47	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_023_place_48	Soviet Union	Q15180		65,90
dvp_023_place_49	Vietnam	Q881		16,108
dvp_023_place_50	Vietnam	Q881		16,108
dvp_023_place_51	Vietnam	Q881		16,108
dvp_023_place_52	Korea	Q18097		38.316666666667,127.23333333333
dvp_023_place_53	Vietnam	Q881		16,108
dvp_023_place_54	South Vietnam	Q180573		10.75,106.66666666667
dvp_023_place_55	Vietnam	Q881		16,108
dvp_023_place_56	Cambodia	Q424		12.6,105
dvp_023_place_57	Laos	Q819		18.2,104
dvp_023_place_58	Thailand	Q869		14,101
dvp_023_place_59	People's Republic of China	Q148		35.844722222222224,103.45194444444445
dvp_023_place_60	Korea	Q18097		38.316666666667,127.23333333333
dvp_023_place_61	Quantico	Q204315		38.521871,-77.289757
dvp_023_place_62	Caribbean Sea	Q1247		15,-75
dvp_023_place_63	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_023_place_64	Collis Center for Student Involvement	Q100725367		43.70277,-72.28991
dvp_023_place_65	Leverone Field House	Q105046139		43.70091,-72.28271
dvp_023_place_66	Korea	Q18097		38.316666666667,127.23333333333
dvp_023_place_67	Korea	Q18097		38.316666666667,127.23333333333
dvp_023_place_68	Vietnam	Q881		16,108
dvp_023_place_69	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_023_place_70	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_71	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_72	Shaker Heights	Q1065497		41.476388888889,-81.551666666667
dvp_023_place_73	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_74	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_75	Omaha	Q43199		41.266666666667,-96.016666666667
dvp_023_place_76	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_77	Kentucky	Q1603		37.5,-85
dvp_023_place_78	Kentucky	Q1603		37.5,-85
dvp_023_place_79	Nebraska City	Q286025		40.676111111111,-95.859722222222
dvp_023_place_80	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_81	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_82	Meridian	Q118152		32.374722222222,-88.704166666667
dvp_023_place_83	Montana	Q1212		47,-110
dvp_023_place_84	Billings	Q166304		45.786666666667,-108.53722222222
dvp_023_place_85	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_86	Billings	Q166304		45.786666666667,-108.53722222222
dvp_023_place_87	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_88	Billings	Q166304		45.786666666667,-108.53722222222
dvp_023_place_89	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_90	Meridian	Q118152		32.374722222222,-88.704166666667
dvp_023_place_91	Pensacola	Q486306		30.433333333333,-87.2
dvp_023_place_92	Pensacola	Q486306		30.433333333333,-87.2
