id	name
dvp_006_event_0	Vietnam War
dvp_006_event_1	Tet offensive
dvp_006_event_2	Guadalcanal
dvp_006_event_3	Solomon Islands campaigns
dvp_006_event_4	Guadalcanal
dvp_006_event_5	Solomon Islands campaign
dvp_006_event_6	Vietnam War
dvp_006_event_7	Vietnam
dvp_006_event_8	Tet [the Tet offensive]
dvp_006_event_9	World War II
dvp_006_event_10	Tet
dvp_006_event_11	Kent State
dvp_006_event_12	Kent State
dvp_006_event_13	Kent State
dvp_006_event_14	Cambodian incursion
dvp_006_event_15	Gulf of Tonkin Resolution
dvp_006_event_16	Gulf of Tonkin incident
dvp_006_event_17	Gulf of Tonkin incident
dvp_006_event_18	Gulf of Tonkin Resolution
dvp_006_event_19	Cambodian incursion
