id	persName
dvp_006_person_0	Elena Ridker
dvp_006_person_1	John Everett
dvp_006_person_2	John
dvp_006_person_3	John Carroll Everett, Dartmouth Class of 1941
dvp_006_person_4	Mary Anderson Everett
dvp_006_person_5	Nashua
dvp_006_person_6	Peter
dvp_006_person_7	Peter
dvp_006_person_8	Mr. Everett
dvp_006_person_9	Henry's
dvp_006_person_10	Williams
dvp_006_person_11	Robby Sherman
dvp_006_person_12	Robby's
dvp_006_person_13	Rich
dvp_006_person_14	Robby
dvp_006_person_15	Cassidy
dvp_006_person_16	Peter J. Moran
dvp_006_person_17	Donald Elmore Dietz
dvp_006_person_18	Donny
dvp_006_person_19	Donny
dvp_006_person_20	Henry Brooks
dvp_006_person_21	Henry
dvp_006_person_22	Jerry
dvp_006_person_23	Admiral Elmo R. Zumwalt
dvp_006_person_24	Terry Wiegand
dvp_006_person_25	John
dvp_006_person_26	Admiral Zumwalt
dvp_006_person_27	Lt. John Kerry
dvp_006_person_28	Chief Rose
dvp_006_person_29	Chief Rose
dvp_006_person_30	Chief Rose
dvp_006_person_31	Arturo Peralta Madali
dvp_006_person_32	Gene Mackey
dvp_006_person_33	Ed Field
dvp_006_person_34	Mackey
dvp_006_person_35	Ed Field
dvp_006_person_36	Ed Field
dvp_006_person_37	Max Swegle
dvp_006_person_38	Max
dvp_006_person_39	Max
dvp_006_person_40	Max
dvp_006_person_41	Max
dvp_006_person_42	Max
dvp_006_person_43	Max
dvp_006_person_44	Max
dvp_006_person_45	Isaac Valdez
dvp_006_person_46	Dick Hayes
dvp_006_person_47	Richard James Hayes
dvp_006_person_48	Dick
dvp_006_person_49	Dick
dvp_006_person_50	Wade
dvp_006_person_51	Captain Hayes.
dvp_006_person_52	Captain Hayes
dvp_006_person_53	Jerry
dvp_006_person_54	Capt. Hayes
dvp_006_person_55	Capt. Hayes
dvp_006_person_56	Murphy
dvp_006_person_57	Capt. Hayes
dvp_006_person_58	Capt. Hayes
dvp_006_person_59	Dick Hayes
dvp_006_person_60	Billy Donovan
dvp_006_person_61	Chief Rose
dvp_006_person_62	Chief Rose
dvp_006_person_63	Chief Rose
dvp_006_person_64	Chief Rose
dvp_006_person_65	Capt. Hayes
dvp_006_person_66	John
dvp_006_person_67	Gene Mackey
dvp_006_person_68	Ed Field
dvp_006_person_69	Ed Fields
dvp_006_person_70	Gene Mackey
dvp_006_person_71	Max
dvp_006_person_72	Jim
dvp_006_person_73	Mark Twain
dvp_006_person_74	Daniel Ellsberg
dvp_006_person_75	[Richard M.] Nixon
dvp_006_person_76	Richard Nixon’s
dvp_006_person_77	Nixon
dvp_006_person_78	[Henry A.] Kissinger
dvp_006_person_79	Madame Chiang Kai-shek [Soong Mei-ling]
dvp_006_person_80	[Lyndon B.] Johnson
dvp_006_person_81	Bruce
dvp_006_person_82	John
dvp_006_person_83	Bruce
dvp_006_person_84	Fred
dvp_006_person_85	Fred
dvp_006_person_86	Fred
dvp_006_person_87	John
