id	name
dvp_093_event_0	World War II
dvp_093_event_1	World War II
dvp_093_event_2	Vietnam
dvp_093_event_3	World War II
dvp_093_event_4	Vietnam
dvp_093_event_5	Vietnam
dvp_093_event_6	World War I
dvp_093_event_7	World War I
dvp_093_event_8	World War II
dvp_093_event_9	Korea [The Korean War]
dvp_093_event_10	Vietnam [The Vietnam War]
dvp_093_event_11	[The Iraq War]
dvp_093_event_12	[the War in] Afghanistan
dvp_093_event_13	Afghanistan
dvp_093_event_14	Iraq
dvp_093_event_15	Vietnam
dvp_093_event_16	Vietnam
dvp_093_event_17	Vietnam
dvp_093_event_18	Saigon
dvp_093_event_19	Saigon
dvp_093_event_20	Cambodian genocide
dvp_093_event_21	Vietnam
dvp_093_event_22	Mayaguez operation
dvp_093_event_23	Vietnam
dvp_093_event_24	[Operation] Desert Storm
dvp_093_event_25	Desert Storm
dvp_093_event_26	Desert Storm
dvp_093_event_27	World War II
dvp_093_event_28	Kuwait/Iraq War
dvp_093_event_29	Iraq [War]
dvp_093_event_30	Iraq
dvp_093_event_31	Afghanistan
dvp_093_event_32	Vietnam
dvp_093_event_33	Vietnam
dvp_093_event_34	World War II
dvp_093_event_35	[the 2012] Benghazi [attack]
dvp_093_event_36	Vietnam
dvp_093_event_37	World War I
dvp_093_event_38	Vietnam
dvp_093_event_39	Vietnam
dvp_093_event_40	Vietnam War
dvp_093_event_41	Vietnam
