id	persName
dvp_093_person_0	Karen Cao
dvp_093_person_1	[Jonathan P.] “Jon” Feltner
dvp_093_person_2	Jon
dvp_093_person_3	Adams
dvp_093_person_4	Jon
dvp_093_person_5	Pope
dvp_093_person_6	Jonny
dvp_093_person_7	[F.] Beirne Lovely [Jr., Class of 1967], Dartmouth Chi Phi ’67
dvp_093_person_8	[Andrew J.] “Drew” Ley [pronounced LIE] Dartmouth ’67, Chi Phi
dvp_093_person_9	Karl Marlantes
dvp_093_person_10	Bernard [B.] Fall
dvp_093_person_11	Điện Biên Phủ
dvp_093_person_12	Beirne Lovely
dvp_093_person_13	Andy Ley
dvp_093_person_14	Laura
dvp_093_person_15	Senator [John. F.] Kerry
dvp_093_person_16	[Senator] John [S.] McCain [Jr.]
dvp_093_person_17	[Robert G.] “Bobby” Seale
dvp_093_person_18	Pol Pot
dvp_093_person_19	Karen
dvp_093_person_20	Robert E. Lee
dvp_093_person_21	Robert E. Lee III
dvp_093_person_22	Pol Pot
dvp_093_person_23	Hitlerian
dvp_093_person_24	Captain Jon Feltner
dvp_093_person_25	[Gerald R.] Ford [Jr.]
dvp_093_person_26	Saddam [Hussein]
dvp_093_person_27	Saddam
dvp_093_person_28	[President Richard M.] Nixon
dvp_093_person_29	Karen
dvp_093_person_30	President [Donald J.] Trump
dvp_093_person_31	General [James N.] Mattis
dvp_093_person_32	[President Donald J.] Trump
dvp_093_person_33	Trump
dvp_093_person_34	Trump
dvp_093_person_35	Hillary [Rodham Clinton]
dvp_093_person_36	Hillary
dvp_093_person_37	Trump
dvp_093_person_38	Trump
dvp_093_person_39	Hillary
dvp_093_person_40	Bill [President William J. “Bill” Clinton]
dvp_093_person_41	Hillary
dvp_093_person_42	Professor [Edward G.] Miller
dvp_093_person_43	Marlon Brando [Jr.]
dvp_093_person_44	Marlon Brando
dvp_093_person_45	Marlon Brando
dvp_093_person_46	Charlie [Sheen]
dvp_093_person_47	Martin Sheen
dvp_093_person_48	Tom Cruise
dvp_093_person_49	Bernard Fall
dvp_093_person_50	Anthony Caputo
dvp_093_person_51	Bảo, B-ả-o Ninh, N-i-n-h
dvp_093_person_52	Bảo Ninh
dvp_093_person_53	Bảo Ninh
dvp_093_person_54	Jane Fonda
dvp_093_person_55	Tom Cruise
dvp_093_person_56	Bảo Ninh
