id	name
dvp_007_event_0	World War II
dvp_007_event_1	Vietnam [the Vietnam War]
dvp_007_event_2	Vietnam
dvp_007_event_3	Vietnam
dvp_007_event_4	Bay of Pigs
dvp_007_event_5	Bay of Pigs
dvp_007_event_6	World War II
dvp_007_event_7	World War II
dvp_007_event_8	World War I
dvp_007_event_9	Vietnam
dvp_007_event_10	Vietnam
dvp_007_event_11	Osama bin Laden attack
dvp_007_event_12	Vietnam
dvp_007_event_13	Tet Offensive
dvp_007_event_14	Tet
dvp_007_event_15	World War II
dvp_007_event_16	World War II
dvp_007_event_17	World War II
dvp_007_event_18	Seven-Day War [Six-Day War]
dvp_007_event_19	Trans Pac Sailing Race [Transpacific Yacht Race]
dvp_007_event_20	Vietnam
dvp_007_event_21	Tet Offensive
dvp_007_event_22	Korean War
dvp_007_event_23	Tet Offensive
dvp_007_event_24	Vietnam
dvp_007_event_25	Vietnam
dvp_007_event_26	Vietnam
dvp_007_event_27	World War II
