id	orgName
dvp_007_org_0	Abenaqui [pronounced AB-uh-nak-ee] Country Club
dvp_007_org_1	Abenaqui Country Club
dvp_007_org_2	Dartmouth [College]
dvp_007_org_3	Class of 1964
dvp_007_org_4	Berkshire School
dvp_007_org_5	Berkshire School
dvp_007_org_6	Dartmouth
dvp_007_org_7	Kenyan College
dvp_007_org_8	Berkshire School
dvp_007_org_9	Dartmouth
dvp_007_org_10	[United States] Naval Academy
dvp_007_org_11	Bowdoin [College]
dvp_007_org_12	Dartmouth
dvp_007_org_13	Class of ’39
dvp_007_org_14	Dartmouth
dvp_007_org_15	Yale [University]
dvp_007_org_16	Dartmouth
dvp_007_org_17	Dartmouth
dvp_007_org_18	Yale
dvp_007_org_19	Dartmouth
dvp_007_org_20	officer candidate program [Officer Candidate School (OCS)]
dvp_007_org_21	Navy
dvp_007_org_22	Dartmouth
dvp_007_org_23	Sigma Nu Delta
dvp_007_org_24	Dartmouth
dvp_007_org_25	Dartmouth
dvp_007_org_26	Navy
dvp_007_org_27	Navy
dvp_007_org_28	Navy
dvp_007_org_29	Dartmouth
dvp_007_org_30	Northwestern University
dvp_007_org_31	USS North Carolina
dvp_007_org_32	North Carolina
dvp_007_org_33	Dartmouth
dvp_007_org_34	North Carolina
dvp_007_org_35	North Carolina
dvp_007_org_36	North Carolina
dvp_007_org_37	North Carolina
dvp_007_org_38	North Carolina
dvp_007_org_39	Dartmouth
dvp_007_org_40	Navy
dvp_007_org_41	military
dvp_007_org_42	Navy
dvp_007_org_43	Dartmouth
dvp_007_org_44	Navy
dvp_007_org_45	OCS
dvp_007_org_46	Officer Candidate School
dvp_007_org_47	OCS
dvp_007_org_48	Navy
dvp_007_org_49	Navy
dvp_007_org_50	OCS
dvp_007_org_51	Dartmouth
dvp_007_org_52	Navy
dvp_007_org_53	OCS
dvp_007_org_54	Navy
dvp_007_org_55	Navy
dvp_007_org_56	Boston
dvp_007_org_57	USS Boston
dvp_007_org_58	USS Long Beach
dvp_007_org_59	Bethlehem Steel [Corporation]
dvp_007_org_60	North American [Aviation]
dvp_007_org_61	University of New Mexico
dvp_007_org_62	Long Beach
dvp_007_org_63	OCS
dvp_007_org_64	OCS
dvp_007_org_65	Navy
dvp_007_org_66	Navy
dvp_007_org_67	Naval Air
dvp_007_org_68	Navy
dvp_007_org_69	Dartmouth
dvp_007_org_70	USS Long Beach
dvp_007_org_71	Long Beach
dvp_007_org_72	Long Beach
dvp_007_org_73	Long Beach
dvp_007_org_74	[USS] Enterprise
dvp_007_org_75	[USS] Bainbridge
dvp_007_org_76	Long Beach
dvp_007_org_77	Navy
dvp_007_org_78	Navy
dvp_007_org_79	Long Beach
dvp_007_org_80	Cornell [University]
dvp_007_org_81	Harvard [University]
dvp_007_org_82	Harvard
dvp_007_org_83	Ivy League
dvp_007_org_84	Yale [University]
dvp_007_org_85	[USS] Kitty Hawk
dvp_007_org_86	Long Beach
dvp_007_org_87	Long Beach
dvp_007_org_88	OCS
dvp_007_org_89	Vieques
dvp_007_org_90	Navy
dvp_007_org_91	Navy
dvp_007_org_92	SEALs
dvp_007_org_93	SEALs
dvp_007_org_94	SEALs
dvp_007_org_95	UDT [underwater demolition team]
dvp_007_org_96	Dam Neck
dvp_007_org_97	Naval Air
dvp_007_org_98	Navy
dvp_007_org_99	Marines
dvp_007_org_100	Department of the Navy
dvp_007_org_101	Navy
dvp_007_org_102	HMAS, Her Majesty’s Australian Ship, Hobart
dvp_007_org_103	Hobart
dvp_007_org_104	Naval Aviation
dvp_007_org_105	Naval Aviation
dvp_007_org_106	OCS
dvp_007_org_107	Academy
dvp_007_org_108	Naval Academy
dvp_007_org_109	Academy
dvp_007_org_110	Naval Air
dvp_007_org_111	Pensacola
dvp_007_org_112	Naval Air
dvp_007_org_113	Dartmouth
dvp_007_org_114	Naval Air
dvp_007_org_115	OCS
dvp_007_org_116	Long Beach
dvp_007_org_117	Naval Air
dvp_007_org_118	Dartmouth
dvp_007_org_119	7th Fleet
dvp_007_org_120	Long Beach
dvp_007_org_121	Enterprise
dvp_007_org_122	Long Beach
dvp_007_org_123	[USS] Maddox
dvp_007_org_124	[USS] Turner Joy
dvp_007_org_125	UDT
dvp_007_org_126	SEALs
dvp_007_org_127	Navy
dvp_007_org_128	Navy
dvp_007_org_129	Navy
dvp_007_org_130	Air Force
dvp_007_org_131	Navy
dvp_007_org_132	Navy
dvp_007_org_133	Air Force
dvp_007_org_134	Air Force
dvp_007_org_135	Air Force
dvp_007_org_136	Navy
dvp_007_org_137	Navy
dvp_007_org_138	Turner Joy
dvp_007_org_139	Maddox
dvp_007_org_140	Navy
dvp_007_org_141	Department of Naval Research [Office of Naval Research]
dvp_007_org_142	Navy
dvp_007_org_143	Navy
dvp_007_org_144	Dartmouth
dvp_007_org_145	Army
dvp_007_org_146	Navy
dvp_007_org_147	Navy
dvp_007_org_148	USS Long Beach
dvp_007_org_149	Long Beach
dvp_007_org_150	Navy
dvp_007_org_151	Navy
dvp_007_org_152	Navy
dvp_007_org_153	Navy
dvp_007_org_154	Navy
dvp_007_org_155	Navy
dvp_007_org_156	American Embassy
dvp_007_org_157	[USS] Cole
dvp_007_org_158	Air Force
dvp_007_org_159	Navy
dvp_007_org_160	Navy
dvp_007_org_161	Air Force
dvp_007_org_162	Navy
dvp_007_org_163	Navy
dvp_007_org_164	Navy
dvp_007_org_165	Army
dvp_007_org_166	Marine Corps
dvp_007_org_167	Navy
dvp_007_org_168	Navy
dvp_007_org_169	Navy
dvp_007_org_170	Navy
dvp_007_org_171	Harvard
dvp_007_org_172	Cornell
dvp_007_org_173	BU [Boston University]
dvp_007_org_174	Harvard Business School
dvp_007_org_175	Harvard Business School
dvp_007_org_176	Harvard Business School
dvp_007_org_177	Harvard Business School
dvp_007_org_178	Cornell
dvp_007_org_179	BU
dvp_007_org_180	BU
dvp_007_org_181	BU
dvp_007_org_182	OCS
dvp_007_org_183	BU
dvp_007_org_184	Marines
dvp_007_org_185	Navy
dvp_007_org_186	Air Force
dvp_007_org_187	Army
dvp_007_org_188	Navy
dvp_007_org_189	Dartmouth
dvp_007_org_190	Navy
dvp_007_org_191	Navy
dvp_007_org_192	Navy
dvp_007_org_193	Employer Support of the Guard and Reserve
dvp_007_org_194	Committee for the Employer Support of the Guard and Reserve
dvp_007_org_195	Department of Defense
dvp_007_org_196	Obama administration
dvp_007_org_197	Lane Crawford
dvp_007_org_198	Navy
dvp_007_org_199	Ivy League
dvp_007_org_200	Academy
dvp_007_org_201	Navy
dvp_007_org_202	Naval
dvp_007_org_203	U.S. Naval Reserve
dvp_007_org_204	Navy
dvp_007_org_205	Navy
dvp_007_org_206	Navy
dvp_007_org_207	Dartmouth
dvp_007_org_208	Harvard
dvp_007_org_209	Yale
dvp_007_org_210	Academy
dvp_007_org_211	Academy
dvp_007_org_212	Reserve
dvp_007_org_213	Navy
dvp_007_org_214	U.S. Navy
dvp_007_org_215	U.S. Naval Reserve
dvp_007_org_216	Navy Air
dvp_007_org_217	Navy Air
dvp_007_org_218	naval air
dvp_007_org_219	Navy Air
dvp_007_org_220	Navy Air
dvp_007_org_221	Navy
