id	persName
dvp_007_person_0	Paul F. Danyow
dvp_007_person_1	Robert Field
dvp_007_person_2	Mr. Field
dvp_007_person_3	Robert
dvp_007_person_4	Jean [Field]
dvp_007_person_5	Jim Durham
dvp_007_person_6	[C.] Twiggs Myers
dvp_007_person_7	John [E.] Godman
dvp_007_person_8	Professor [Al] Carlson
dvp_007_person_9	Professor Carlson
dvp_007_person_10	Jake
dvp_007_person_11	Brunswick
dvp_007_person_12	Jake Ingram
dvp_007_person_13	Roger Sullivan
dvp_007_person_14	Admiral Zumwalt [Elmo R. Zumwalt Jr.]
dvp_007_person_15	Admiral McCain [John S. McCain Jr.]
dvp_007_person_16	Admiral Rickover
dvp_007_person_17	Hyman [G.] Rickover
dvp_007_person_18	Moorer
dvp_007_person_19	Tom Moorer [Thomas H. Moorer]
dvp_007_person_20	Osama bin Laden’s
dvp_007_person_21	[Lyndon B.] Johnson
dvp_007_person_22	[President John F.] Kennedy
dvp_007_person_23	Johnson
dvp_007_person_24	John McCain
dvp_007_person_25	Mr. Field
dvp_007_person_26	Richard Rodgers
dvp_007_person_27	Capt. [K. C.] Wallace
dvp_007_person_28	Richmond [K.] Turner
dvp_007_person_29	Arleigh [A.] Burke
dvp_007_person_30	[Gen. Douglas] MacArthur
dvp_007_person_31	Gen. MacArthur
dvp_007_person_32	Admiral [James D.] Watkins
dvp_007_person_33	Admiral Watkins
dvp_007_person_34	Commander Watkins
dvp_007_person_35	Zumwalt
dvp_007_person_36	Zumwalt
dvp_007_person_37	Capt. Wallace
dvp_007_person_38	Professor [Edward G.] Miller’s
dvp_007_person_39	Johnson
dvp_007_person_40	[Robert S.] McNamara
dvp_007_person_41	Bob
dvp_007_person_42	Bob
dvp_007_person_43	Bob
dvp_007_person_44	Bob
dvp_007_person_45	Allen
dvp_007_person_46	[John] Foster Dulles
dvp_007_person_47	Babe Ruth
