id	orgName
dvp_094_org_0	Dartmouth
dvp_094_org_1	Democratic
dvp_094_org_2	[House] Un-American Activities Committee
dvp_094_org_3	Harvard [University]
dvp_094_org_4	Un-American Activities Committee
dvp_094_org_5	Los Angeles School Board of Education [sic; [Los Angeles Unified School District Board of Education]
dvp_094_org_6	United Nations
dvp_094_org_7	United Nations
dvp_094_org_8	American
dvp_094_org_9	Soviet
dvp_094_org_10	UNESCO
dvp_094_org_11	United Nations Educational, Scientific and Cultural Organization
dvp_094_org_12	UNESCO
dvp_094_org_13	Collier’s magazine
dvp_094_org_14	LOOK magazine
dvp_094_org_15	Collier’s
dvp_094_org_16	Dartmouth
dvp_094_org_17	Supreme Court
dvp_094_org_18	Dartmouth
dvp_094_org_19	Young Democrats [of America]
dvp_094_org_20	Democratic
dvp_094_org_21	Dartmouth
dvp_094_org_22	Ivy League
dvp_094_org_23	Ivy League
dvp_094_org_24	Ivy League
dvp_094_org_25	Nazis
dvp_094_org_26	Ivy League
dvp_094_org_27	University of Chicago
dvp_094_org_28	University of Wisconsin
dvp_094_org_29	University of Chicago
dvp_094_org_30	Cal Berkeley
dvp_094_org_31	Cal
dvp_094_org_32	UCLA
dvp_094_org_33	Stanford
dvp_094_org_34	Reed College
dvp_094_org_35	Dartmouth
dvp_094_org_36	Reed
dvp_094_org_37	Dartmouth
dvp_094_org_38	Yale Law School
dvp_094_org_39	Dartmouth
dvp_094_org_40	Reed
dvp_094_org_41	Dartmouth
dvp_094_org_42	UCLA
dvp_094_org_43	L.A. [Los Angeles] Rams
dvp_094_org_44	UCLA
dvp_094_org_45	Dartmouth
dvp_094_org_46	Dartmouth
dvp_094_org_47	Ivy League
dvp_094_org_48	Berkeley
dvp_094_org_49	Cal
dvp_094_org_50	UCLA
dvp_094_org_51	Berkeley
dvp_094_org_52	UNESCO
dvp_094_org_53	Dartmouth
dvp_094_org_54	Pittsburgh [Pirates]
dvp_094_org_55	[New York] Yankees
dvp_094_org_56	Dartmouth
dvp_094_org_57	Dartmouth
dvp_094_org_58	L.A. Dodgers
dvp_094_org_59	San Francisco Giants
dvp_094_org_60	Berkeley
dvp_094_org_61	Berkeley
dvp_094_org_62	Berkeley
dvp_094_org_63	Berkeley
dvp_094_org_64	Berkeley
dvp_094_org_65	Dartmouth
dvp_094_org_66	Ivy Leaguer
dvp_094_org_67	Dartmouth
dvp_094_org_68	Dartmouth
dvp_094_org_69	Berkeley
dvp_094_org_70	Free Speech Movement
dvp_094_org_71	Free Speech Movement
dvp_094_org_72	[U.S.] Army
dvp_094_org_73	Army
dvp_094_org_74	Berkeley
dvp_094_org_75	University of Louisville
dvp_094_org_76	Louisville
dvp_094_org_77	Army
dvp_094_org_78	Berry Plan
dvp_094_org_79	Berry Plan
dvp_094_org_80	Army
dvp_094_org_81	Berry Plan
dvp_094_org_82	Berry Plan
dvp_094_org_83	Army
dvp_094_org_84	Louisville Courier Journal [now The Courier-Journal]
dvp_094_org_85	[Ku Klux] Klan
dvp_094_org_86	Western Union
dvp_094_org_87	U.S. Senate
dvp_094_org_88	Democrat
dvp_094_org_89	Republican
dvp_094_org_90	Democrat
dvp_094_org_91	Democrat
dvp_094_org_92	Republican
dvp_094_org_93	Democrat
dvp_094_org_94	Armed Services Committee [sic; U.S. Senate Committee on Armed Services]
dvp_094_org_95	Student Health Organization, SHO
dvp_094_org_96	Harvard
dvp_094_org_97	NYU [New York University]
dvp_094_org_98	Stanford
dvp_094_org_99	University of Chicago
dvp_094_org_100	Student Health Organization
dvp_094_org_101	Dartmouth
dvp_094_org_102	Albert Einstein [College of Medicine]
dvp_094_org_103	Dartmouth
dvp_094_org_104	military
dvp_094_org_105	Baby and Child Care
dvp_094_org_106	Vernors
dvp_094_org_107	Vernors
dvp_094_org_108	Vernors
dvp_094_org_109	Vernors
dvp_094_org_110	government
dvp_094_org_111	government
dvp_094_org_112	Student Health Organization
dvp_094_org_113	U.S. government
dvp_094_org_114	government
dvp_094_org_115	government
dvp_094_org_116	government
dvp_094_org_117	government
dvp_094_org_118	government
dvp_094_org_119	Southern Christian Leadership Council [sic; Conference]
dvp_094_org_120	SCLC
dvp_094_org_121	L.A. County [sic; Los Angeles County Hospital]
dvp_094_org_122	Black Panthers
dvp_094_org_123	Black Panthers
dvp_094_org_124	Panthers
dvp_094_org_125	Peace and Freedom Party
dvp_094_org_126	Peace and Freedom Party
dvp_094_org_127	Country Joe and the Fish
dvp_094_org_128	Country Joe and the Fish
dvp_094_org_129	L.A. County
dvp_094_org_130	Panthers
dvp_094_org_131	Peace and Freedom Party
dvp_094_org_132	Dartmouth
dvp_094_org_133	Harvard
dvp_094_org_134	Harvard
dvp_094_org_135	Ivy League
dvp_094_org_136	Harvard
dvp_094_org_137	Harvard
dvp_094_org_138	Berry Plan
dvp_094_org_139	Harvard
dvp_094_org_140	government
dvp_094_org_141	Louisville
dvp_094_org_142	Berkeley
dvp_094_org_143	Berkeley
dvp_094_org_144	Berkeley
dvp_094_org_145	UCLA
dvp_094_org_146	Berkeley
dvp_094_org_147	Berkeley
dvp_094_org_148	Berkeley
dvp_094_org_149	Free Speech Movement
dvp_094_org_150	Louisville
dvp_094_org_151	 Mass[achusetts] Mental Health Center
dvp_094_org_152	Harvard
dvp_094_org_153	government
dvp_094_org_154	Louisville
dvp_094_org_155	USC [University of Southern California]
dvp_094_org_156	USC
dvp_094_org_157	UCLA
dvp_094_org_158	UCLA
dvp_094_org_159	agriculture
dvp_094_org_160	UCLA
dvp_094_org_161	Louisville
dvp_094_org_162	Women Strike for Peace
dvp_094_org_163	Free Speech Movement
dvp_094_org_164	Berkley
dvp_094_org_165	Army
dvp_094_org_166	Nazis
dvp_094_org_167	TSA[Transportation Security Administration]
dvp_094_org_168	homeland security
dvp_094_org_169	government
dvp_094_org_170	Army
dvp_094_org_171	Black Panthers
dvp_094_org_172	Black Panthers
dvp_094_org_173	Physicians Against—Physicians for Social Responsibility, called PSR
dvp_094_org_174	Physicians for Social Responsibility
dvp_094_org_175	agriculture
dvp_094_org_176	Gallo Wine [sic; E & J Gallo Winery]
dvp_094_org_177	Physicians for Social Responsibility
dvp_094_org_178	Georgetown
dvp_094_org_179	Riverside Church
dvp_094_org_180	Russians
dvp_094_org_181	Little League
dvp_094_org_182	Physicians for Social Responsibility
dvp_094_org_183	Nobel Peace Prize
dvp_094_org_184	Nobel Peace prize
dvp_094_org_185	New York Times
dvp_094_org_186	Harper Collins [Publishers]
dvp_094_org_187	Physicians for Social Responsibility
dvp_094_org_188	Democrat
dvp_094_org_189	Huffington Post
dvp_094_org_190	Huffington Post
dvp_094_org_191	Washington Post
dvp_094_org_192	Washington Post
dvp_094_org_193	Dartmouth
dvp_094_org_194	Army
dvp_094_org_195	Physicians
dvp_094_org_196	Physicians for Social Responsibility
dvp_094_org_197	U.S. Senate
dvp_094_org_198	Mass Mental
dvp_094_org_199	Israel
dvp_094_org_200	Palestinians
dvp_094_org_201	Army
dvp_094_org_202	American Psychiatric Association
dvp_094_org_203	organization
dvp_094_org_204	ISIS [Islamic State of Iraq and the Levant]
dvp_094_org_205	ROTC
dvp_094_org_206	Republicans
dvp_094_org_207	Senate
dvp_094_org_208	government
dvp_094_org_209	Viet Cong
dvp_094_org_210	Dartmouth Vietnam Project
dvp_094_org_211	Army
dvp_094_org_212	America
dvp_094_org_213	America
