id	placeName
dvp_094_place_0	Rauner Special Collections Library
dvp_094_place_1	Dartmouth [College]
dvp_094_place_2	Los Angeles, California,
dvp_094_place_3	Los Angeles
dvp_094_place_4	Los Angeles
dvp_094_place_5	Los Angeles
dvp_094_place_6	Beverly Hills
dvp_094_place_7	L.A.
dvp_094_place_8	L.A.
dvp_094_place_9	South Braintree, Massachusetts
dvp_094_place_10	States
dvp_094_place_11	Thayer Hall [now Class of 1953 Commons]
dvp_094_place_12	America
dvp_094_place_13	L.A.
dvp_094_place_14	L.A.
dvp_094_place_15	L.A.
dvp_094_place_16	New York
dvp_094_place_17	New York
dvp_094_place_18	California
dvp_094_place_19	California
dvp_094_place_20	California
dvp_094_place_21	L.A.
dvp_094_place_22	Sanborn [Library]
dvp_094_place_23	Warsaw Ghetto
dvp_094_place_24	Warsaw Ghetto
dvp_094_place_25	Chicago
dvp_094_place_26	L.A.
dvp_094_place_27	Oregon
dvp_094_place_28	California
dvp_094_place_29	L.A.
dvp_094_place_30	L.A.
dvp_094_place_31	Sanborn
dvp_094_place_32	L.A.
dvp_094_place_33	Hanover Inn
dvp_094_place_34	Brooklyn
dvp_094_place_35	Thayer Hall
dvp_094_place_36	Thayer Hall
dvp_094_place_37	Class of 1953 Commons
dvp_094_place_38	Thayer Hall
dvp_094_place_39	Newark [New Jersey]
dvp_094_place_40	Kansas City
dvp_094_place_41	Pittsburgh, Pennsylvania
dvp_094_place_42	Washington, D.C.
dvp_094_place_43	Switzerland
dvp_094_place_44	Thayer
dvp_094_place_45	California
dvp_094_place_46	Mass[achusetts] Hall
dvp_094_place_47	California
dvp_094_place_48	L.A.
dvp_094_place_49	Beverly Hills
dvp_094_place_50	West L.A
dvp_094_place_51	Kansas City
dvp_094_place_52	Berkeley
dvp_094_place_53	Louisville
dvp_094_place_54	Louisville, Kentucky
dvp_094_place_55	Chicago
dvp_094_place_56	Louisville
dvp_094_place_57	Louisville
dvp_094_place_58	L.A.
dvp_094_place_59	Louisville
dvp_094_place_60	Louisville
dvp_094_place_61	Louisville
dvp_094_place_62	Louisville
dvp_094_place_63	Louisville
dvp_094_place_64	Louisville
dvp_094_place_65	Louisville
dvp_094_place_66	Student Union
dvp_094_place_67	student assembly room
dvp_094_place_68	student lounge
dvp_094_place_69	Kentucky
dvp_094_place_70	Stone Mountain, Georgia
dvp_094_place_71	Vietnam
dvp_094_place_72	Alaska
dvp_094_place_73	Oregon
dvp_094_place_74	Louisville
dvp_094_place_75	Detroit
dvp_094_place_76	Detroit
dvp_094_place_77	New York
dvp_094_place_78	L.A.
dvp_094_place_79	L.A.
dvp_094_place_80	Detroit
dvp_094_place_81	Detroit
dvp_094_place_82	Vietnam
dvp_094_place_83	Vietnam
dvp_094_place_84	Louisville
dvp_094_place_85	Alabama
dvp_094_place_86	Kentucky
dvp_094_place_87	Louisville
dvp_094_place_88	Kentucky
dvp_094_place_89	Kentucky
dvp_094_place_90	Kentucky
dvp_094_place_91	New York
dvp_094_place_92	California
dvp_094_place_93	L.A.
dvp_094_place_94	L.A.
dvp_094_place_95	L.A. County
dvp_094_place_96	Chicago
dvp_094_place_97	L.A.
dvp_094_place_98	Chicago
dvp_094_place_99	Vietnam
dvp_094_place_100	L.A
dvp_094_place_101	L.A.
dvp_094_place_102	Canada
dvp_094_place_103	North Vietnam
dvp_094_place_104	Boston
dvp_094_place_105	Boston
dvp_094_place_106	Louisville
dvp_094_place_107	Berkeley
dvp_094_place_108	California
dvp_094_place_109	Louisville
dvp_094_place_110	Boston
dvp_094_place_111	Boston
dvp_094_place_112	Faneuil Hall
dvp_094_place_113	Boston
dvp_094_place_114	Louisville
dvp_094_place_115	Louisville
dvp_094_place_116	New York
dvp_094_place_117	L.A.
dvp_094_place_118	Ohio
dvp_094_place_119	Iowa
dvp_094_place_120	L.A.
dvp_094_place_121	Louisville
dvp_094_place_122	Louisville
dvp_094_place_123	Berkeley
dvp_094_place_124	Berkeley
dvp_094_place_125	Louisville
dvp_094_place_126	Israel
dvp_094_place_127	United States
dvp_094_place_128	Israel
dvp_094_place_129	Cincinnati
dvp_094_place_130	Cincinnati
dvp_094_place_131	Boston
dvp_094_place_132	Israel
dvp_094_place_133	Wailing Wall
dvp_094_place_134	Wailing Wall
dvp_094_place_135	Israel
dvp_094_place_136	Washington
dvp_094_place_137	Boston
dvp_094_place_138	Faneuil Hall
dvp_094_place_139	Boston
dvp_094_place_140	D.C.
dvp_094_place_141	D.C.
dvp_094_place_142	Boston
dvp_094_place_143	L.A.
dvp_094_place_144	L.A.
dvp_094_place_145	London
dvp_094_place_146	Iran
dvp_094_place_147	Louisville
dvp_094_place_148	D.C.
dvp_094_place_149	Lebanon
dvp_094_place_150	Beirut
dvp_094_place_151	L.A.
dvp_094_place_152	Canada
dvp_094_place_153	Canada
dvp_094_place_154	Canada
dvp_094_place_155	Israel
dvp_094_place_156	Tel Aviv
dvp_094_place_157	Georgia
dvp_094_place_158	L.A.
dvp_094_place_159	L.A.
dvp_094_place_160	West L.A.
dvp_094_place_161	L.A.
dvp_094_place_162	Vietnam
dvp_094_place_163	Vietnam
