id	name
dvp_027_event_0	Vietnam
dvp_027_event_1	Berlin airlift
dvp_027_event_2	Vietnam
dvp_027_event_3	war in Vietnam
dvp_027_event_4	war in Vietnam
dvp_027_event_5	World War II
dvp_027_event_6	World War II
dvp_027_event_7	World War II
dvp_027_event_8	Korea [the Korean War]
dvp_027_event_9	Cold War
dvp_027_event_10	World War II
dvp_027_event_11	World War II
dvp_027_event_12	Vietnam War
dvp_027_event_13	Vietnam
dvp_027_event_14	Civil War
dvp_027_event_15	War of 1870
dvp_027_event_16	Franco-Prussian War
dvp_027_event_17	Civil War
dvp_027_event_18	[the Siege of] Vicksburg
dvp_027_event_19	World War I
dvp_027_event_20	World War II
dvp_027_event_21	Vietnam
dvp_027_event_22	[French] Revolution
dvp_027_event_23	Civil War
dvp_027_event_24	War of 1870
dvp_027_event_25	Holocaust
dvp_027_event_26	Holocaust
dvp_027_event_27	Holocaust
dvp_027_event_28	Dresden firebombing [which occurred in Dresden, Germany, during World War II]
dvp_027_event_29	Vietnam
dvp_027_event_30	Vietnam
dvp_027_event_31	Vietnam
dvp_027_event_32	Vietnam [War]
dvp_027_event_33	Vietnam War
dvp_027_event_34	Vietnam
dvp_027_event_35	Balkan Wars
dvp_027_event_36	Vietnam
dvp_027_event_37	American Revolution
dvp_027_event_38	Vietnam
dvp_027_event_39	Vietnam
dvp_027_event_40	Vietnam
dvp_027_event_41	World War II
dvp_027_event_42	World War
dvp_027_event_43	World War II
dvp_027_event_44	World War II
dvp_027_event_45	World War II
dvp_027_event_46	Vietnam
dvp_027_event_47	World War II
dvp_027_event_48	Korea
dvp_027_event_49	World War II
dvp_027_event_50	Vietnam
dvp_027_event_51	Vietnam
dvp_027_event_52	Vietnam
dvp_027_event_53	World War II
dvp_027_event_54	Vietnam War
dvp_027_event_55	Vietnam
dvp_027_event_56	Vietnam
dvp_027_event_57	Vietnam
dvp_027_event_58	[the] 9/11 [2001, attacks]
dvp_027_event_59	9/11
