id	placeName
dvp_027_place_0	White River Junction,Vermont
dvp_027_place_1	Newark, New Jersey
dvp_027_place_2	Newark
dvp_027_place_3	Newark
dvp_027_place_4	Newark
dvp_027_place_5	Newark
dvp_027_place_6	New York City
dvp_027_place_7	New York
dvp_027_place_8	Newark
dvp_027_place_9	Newark
dvp_027_place_10	Mason-Dixon line
dvp_027_place_11	Newark
dvp_027_place_12	Newark
dvp_027_place_13	Newark
dvp_027_place_14	Newark
dvp_027_place_15	Newark
dvp_027_place_16	Dartmouth
dvp_027_place_17	Ashville, North Carolina
dvp_027_place_18	Berlin Wall
dvp_027_place_19	Berlin
dvp_027_place_20	Vietnam
dvp_027_place_21	Vietnam
dvp_027_place_22	Indochina
dvp_027_place_23	French Indochina
dvp_027_place_24	Vietnam
dvp_027_place_25	New York
dvp_027_place_26	Lower East Side
dvp_027_place_27	New York
dvp_027_place_28	New York
dvp_027_place_29	New York City
dvp_027_place_30	New York
dvp_027_place_31	New York
dvp_027_place_32	Kentucky
dvp_027_place_33	Appalachia
dvp_027_place_34	Kentucky
dvp_027_place_35	Washington [D.C.]
dvp_027_place_36	Vietnam
dvp_027_place_37	Canada
dvp_027_place_38	Kentucky
dvp_027_place_39	Tennessee
dvp_027_place_40	Kentucky
dvp_027_place_41	Tennessee
dvp_027_place_42	Canada
dvp_027_place_43	Vietnam
dvp_027_place_44	Vietnam
dvp_027_place_45	Fort Detrick [Maryland
dvp_027_place_46	Boston
dvp_027_place_47	Boston
dvp_027_place_48	Arlington Street Church
dvp_027_place_49	[Boston] Public Garden
dvp_027_place_50	Public Garden
dvp_027_place_51	Boston Common
dvp_027_place_52	Beacon Hill
dvp_027_place_53	Charles [Street]
dvp_027_place_54	Ellis Island
dvp_027_place_55	Boston
dvp_027_place_56	Cornish, New Hampshire
dvp_027_place_57	Burlington
dvp_027_place_58	Freud
dvp_027_place_59	Vermont
dvp_027_place_60	New York
dvp_027_place_61	Norway
dvp_027_place_62	Auschwitz [concentration camp]
dvp_027_place_63	Vermont
dvp_027_place_64	Vietnam
dvp_027_place_65	New York City
dvp_027_place_66	New York
dvp_027_place_67	Manhattan
dvp_027_place_68	84th [Street] and East End [Avenue]
dvp_027_place_69	Tompkins Square
dvp_027_place_70	Bronx
dvp_027_place_71	Riverside Church
dvp_027_place_72	New Jersey
dvp_027_place_73	Russia
dvp_027_place_74	Vermont
dvp_027_place_75	Mississippi
dvp_027_place_76	Palo Alto
dvp_027_place_77	Georgia
dvp_027_place_78	Vermont
dvp_027_place_79	New Hampshire
dvp_027_place_80	Missouri
dvp_027_place_81	Ohio
dvp_027_place_82	California
dvp_027_place_83	Vietnam
dvp_027_place_84	Vietnam
dvp_027_place_85	Vietnam
dvp_027_place_86	Vietnam
dvp_027_place_87	Vietnam
dvp_027_place_88	Vietnam
dvp_027_place_89	Cleveland
dvp_027_place_90	Iraq
dvp_027_place_91	Palo Alto
dvp_027_place_92	Vermont
dvp_027_place_93	San Francisco
dvp_027_place_94	Seattle
dvp_027_place_95	White River Junction
dvp_027_place_96	Vermont
dvp_027_place_97	Massachusetts
dvp_027_place_98	Connecticut
dvp_027_place_99	California
dvp_027_place_100	Washington, D.C.
dvp_027_place_101	White River Junction
dvp_027_place_102	Sarajevo [Bosnia and Herzegovina]
dvp_027_place_103	Hanover
dvp_027_place_104	Sarajevo
dvp_027_place_105	Indonesia
dvp_027_place_106	Indonesia
dvp_027_place_107	Normandy [region of France]
dvp_027_place_108	Afghanistan
dvp_027_place_109	Soviet Union
dvp_027_place_110	Soviet Union
dvp_027_place_111	Afghanistan
dvp_027_place_112	Vietnam
dvp_027_place_113	Somalia
dvp_027_place_114	Vietnam
dvp_027_place_115	Saigon
dvp_027_place_116	Iowa
dvp_027_place_117	Colorado
dvp_027_place_118	Vietnam
dvp_027_place_119	Vietnam
dvp_027_place_120	Canada
dvp_027_place_121	Vietnam
dvp_027_place_122	Washington
dvp_027_place_123	Korean [War Veterans] Memorial
dvp_027_place_124	Vietnam Veteran War [sic; Vietnam Veterans Memorial
dvp_027_place_125	Nurses Memorial [sic; the Vietnam Women’s Memorial]
dvp_027_place_126	Wisconsin
dvp_027_place_127	California
dvp_027_place_128	Vietnam
dvp_027_place_129	Vietnam
dvp_027_place_130	Vietnam
dvp_027_place_131	Vietnam
dvp_027_place_132	Iraq
dvp_027_place_133	Afghanistan
dvp_027_place_134	Vietnam
dvp_027_place_135	Vietnam
dvp_027_place_136	Iraq
dvp_027_place_137	Afghanistan
dvp_027_place_138	United States
