id	orgName
dvp_027_org_0	VA Hospital [White River Junction Veterans Affairs Medical Center
dvp_027_org_1	U.S. News and World Report
dvp_027_org_2	New York Times
dvp_027_org_3	House on Un-American Activities [House Un-American Activities Committee - HUAC]
dvp_027_org_4	Dartmouth
dvp_027_org_5	Dartmouth
dvp_027_org_6	Dartmouth
dvp_027_org_7	Planned Parenthood
dvp_027_org_8	Dartmouth
dvp_027_org_9	Dartmouth
dvp_027_org_10	Dartmouth Medical School [now the Audrey and Theodor Geisel School of Medicine at Dartmouth]
dvp_027_org_11	Harvard [Medical School]
dvp_027_org_12	Dartmouth
dvp_027_org_13	University of North Carolina
dvp_027_org_14	Duke [University]
dvp_027_org_15	North Carolina University
dvp_027_org_16	Dartmouth
dvp_027_org_17	Stanford
dvp_027_org_18	Dartmouth
dvp_027_org_19	Dartmouth
dvp_027_org_20	Dartmouth
dvp_027_org_21	Dartmouth
dvp_027_org_22	Dartmouth
dvp_027_org_23	Dartmouth
dvp_027_org_24	Dartmouth
dvp_027_org_25	the military
dvp_027_org_26	the military
dvp_027_org_27	Association for the Aid of Crippled Children
dvp_027_org_28	MASH [Mobile Army Surgical Hospital] unit 
dvp_027_org_29	Association for the Aid of Crippled Children
dvp_027_org_30	Einstein Medical School [sic; Albert Einstein College of Medicine]
dvp_027_org_31	Yeshiva University
dvp_027_org_32	[the Audrey and Theodor] Geisel [School of Medicine]
dvp_027_org_33	Dartmouth
dvp_027_org_34	Yeshiva Medical School
dvp_027_org_35	Army
dvp_027_org_36	Einstein
dvp_027_org_37	the military
dvp_027_org_38	Einstein
dvp_027_org_39	Addiction Research Center
dvp_027_org_40	HHS [U.S. Department of Health and Human Services]
dvp_027_org_41	DoD [U.S. Department of Defense]
dvp_027_org_42	Mass General [Massachusetts General Hospital, MGH]
dvp_027_org_43	MGH
dvp_027_org_44	Harvard
dvp_027_org_45	MGH
dvp_027_org_46	National Health Corps
dvp_027_org_47	Dartmouth
dvp_027_org_48	Dartmouth
dvp_027_org_49	Dartmouth
dvp_027_org_50	Dartmouth
dvp_027_org_51	Navy ROTC [Naval Reserve Officer Training Corps]
dvp_027_org_52	Dartmouth
dvp_027_org_53	Navy
dvp_027_org_54	Ivy League
dvp_027_org_55	Navy
dvp_027_org_56	Dartmouth
dvp_027_org_57	Marine
dvp_027_org_58	Dartmouth
dvp_027_org_59	the military
dvp_027_org_60	Mass General
dvp_027_org_61	MGH
dvp_027_org_62	Mass General
dvp_027_org_63	Mass General
dvp_027_org_64	Harvard
dvp_027_org_65	Dartmouth
dvp_027_org_66	MGH
dvp_027_org_67	VA [Hospital
dvp_027_org_68	the U.S. Department of Veterans Affairs
dvp_027_org_69	Mt. Ascutney Hospital [and Health Center]
dvp_027_org_70	VA
dvp_027_org_71	Einstein
dvp_027_org_72	VA
dvp_027_org_73	Yale [School of Medicine]
dvp_027_org_74	Dartmouth
dvp_027_org_75	VVAW [Vietnam Veterans Against the War
dvp_027_org_76	VA
dvp_027_org_77	VA
dvp_027_org_78	Columbia [University]
dvp_027_org_79	[the U.S.] Congress
dvp_027_org_80	Special Committee on PTSD
dvp_027_org_81	VA
dvp_027_org_82	VA
dvp_027_org_83	VA
dvp_027_org_84	VA
dvp_027_org_85	National Center for PTSD
dvp_027_org_86	[Class of 1968]
dvp_027_org_87	Dartmouth
dvp_027_org_88	Dartmouth
dvp_027_org_89	Dartmouth
dvp_027_org_90	Navy ROTC program
dvp_027_org_91	Navy
dvp_027_org_92	Dartmouth
dvp_027_org_93	the military
dvp_027_org_94	[Class of 1924]
dvp_027_org_95	Dartmouth
dvp_027_org_96	Classes of ’67
dvp_027_org_97	 [Class of] '68
dvp_027_org_98	Dartmouth
dvp_027_org_99	Dartmouth
dvp_027_org_100	Dartmouth
dvp_027_org_101	National Center for PTSD
dvp_027_org_102	VA
dvp_027_org_103	BU [Boston University School of Medicine]
dvp_027_org_104	Yale
dvp_027_org_105	Princeton [University]
dvp_027_org_106	Dartmouth
dvp_027_org_107	the police
dvp_027_org_108	World Veterans Federation
dvp_027_org_109	World Veterans Federation
dvp_027_org_110	U.N. [United Nations
dvp_027_org_111	VA
dvp_027_org_112	VA
dvp_027_org_113	VA
dvp_027_org_114	VA
dvp_027_org_115	Army
dvp_027_org_116	military service
dvp_027_org_117	the military
dvp_027_org_118	Army
dvp_027_org_119	VA
dvp_027_org_120	VA
dvp_027_org_121	Congress
dvp_027_org_122	The military
dvp_027_org_123	VA
dvp_027_org_124	National PTSD Brain Bank [sic; National Posttraumatic Stress Disorder Brain Bank]
dvp_027_org_125	Congress
