id	placeName
dvp_028_place_0	Connecticut
dvp_028_place_1	Rhode Island
dvp_028_place_2	U.S.
dvp_028_place_3	Vietnam
dvp_028_place_4	Dartmouth
dvp_028_place_5	North Carolina
dvp_028_place_6	Philadelphia
dvp_028_place_7	Vietnam
dvp_028_place_8	Vietnam
dvp_028_place_9	Vietnam
dvp_028_place_10	Vietnam
dvp_028_place_11	Vietnam
dvp_028_place_12	Vietnam
dvp_028_place_13	South Vietnam
dvp_028_place_14	Boston
dvp_028_place_15	South Vietnam
dvp_028_place_16	Oakland
dvp_028_place_17	San Francisco
dvp_028_place_18	Vietnam
dvp_028_place_19	America
dvp_028_place_20	Vietnam
dvp_028_place_21	Ohio
dvp_028_place_22	Vietnam
dvp_028_place_23	Vietnam
dvp_028_place_24	Massachusetts
dvp_028_place_25	Fort Eustis
dvp_028_place_26	Vietnam
dvp_028_place_27	Texas
dvp_028_place_28	Vietnam
dvp_028_place_29	San Francisco
dvp_028_place_30	Vietnam
dvp_028_place_31	Vietnam
dvp_028_place_32	Georgia
dvp_028_place_33	Saigon
dvp_028_place_34	Saigon
dvp_028_place_35	Texas
dvp_028_place_36	Hawaii
dvp_028_place_37	Hawaii
dvp_028_place_38	Hawaii
dvp_028_place_39	Vietnam
dvp_028_place_40	U.S.
dvp_028_place_41	Vietnam
dvp_028_place_42	Washington
