id	name	QID	dvp_id	start time	end time	point in time
dvp_037_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_037_event_1	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_037_event_2	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_037_event_3	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_037_event_4	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_037_event_5	Cuban Missile Crisis	Q128160		1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_037_event_6	French Revolution	Q6534		1789-07-14T00:00:00Z	1799-11-09T00:00:00Z	
dvp_037_event_7	Russian Revolution	Q8729				1917-01-01T00:00:00Z
dvp_037_event_8	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_037_event_9	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_037_event_10	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_11	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_037_event_12	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_13	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_14	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_15	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_16	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_17	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_18	Kent State shootings	Q482635				1970-05-04T00:00:00Z
dvp_037_event_19	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_037_event_20	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_037_event_21	American Civil War	Q8676		1861-04-11T00:00:00Z	1865-05-10T00:00:00Z	
dvp_037_event_22	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_037_event_23	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
dvp_037_event_24	Parkhurst Hall Takeover	Q101424872				1969-05-06T00:00:00Z
