id	placeName	coordinate location	QID	dip_id
dvp_037_place_0	Rauner Special Collections Library	43.70447,-72.28817	Q98544730	
dvp_037_place_1	Hanover	43.7,-72.28333333333333	Q131908	
dvp_037_place_2	Wisconsin	44.5,-89.5	Q1537	
dvp_037_place_3	Mount Hope	42.9808,-90.8344	Q1904877	
dvp_037_place_4	Dubuque	42.504321,-90.686865	Q493794	
dvp_037_place_5	Decorah	43.3017,-91.7903	Q1781710	
dvp_037_place_6	Saint Paul	44.944166666667,-93.093611111111	Q28848	
dvp_037_place_7	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_8	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_9	Wisconsin	44.5,-89.5	Q1537	
dvp_037_place_10	Minnesota	46,-94	Q1527	
dvp_037_place_11	Iran	32,53	Q794	
dvp_037_place_12	Chicago	41.881944444444,-87.627777777778	Q1297	
dvp_037_place_13	Oregon	43.935833,-120.575	Q824	
dvp_037_place_14	Iran	32,53	Q794	
dvp_037_place_15	United States of America	39.828175,-98.5795	Q30	
dvp_037_place_16	Wisconsin	44.5,-89.5	Q1537	
dvp_037_place_17	Wisconsin	44.5,-89.5	Q1537	
dvp_037_place_18	Minnesota	46,-94	Q1527	
dvp_037_place_19	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_20	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_21	Hanover	43.7,-72.28333333333333	Q131908	
dvp_037_place_22	Hanover	43.7,-72.28333333333333	Q131908	
dvp_037_place_23	Hanover	43.7,-72.28333333333333	Q131908	
dvp_037_place_24	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_25	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_26	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_27	Rochester	44.0234,-92.46295	Q486479	
dvp_037_place_28	St. Olaf College	44.459444444444,-93.180555555556	Q1515763	
dvp_037_place_29	Hanover	43.7,-72.28333333333333	Q131908	
dvp_037_place_30	Minneapolis	44.981944444444444,-93.26916666666666	Q36091	
