id	placeName	QID	dvp_id	coordinate location
dvp_096_place_0	Jones Media Center	Q104923550		"43.70537,-72.28895"
dvp_096_place_1	Hanover	Q131908		"43.7,-72.28333333333333"
dvp_096_place_2	New Jersey	Q1408		"40,-74.5"
dvp_096_place_3	New Jersey	Q1408		"40,-74.5"
dvp_096_place_4	New York City	Q60		"40.712728,-74.006015"
dvp_096_place_5	Brooklyn	Q18419		"40.692777777778,-73.990277777778"
dvp_096_place_6	New Jersey	Q1408		"40,-74.5"
dvp_096_place_7	Germany	Q183		"51,10"
dvp_096_place_8	Germany	Q183		"51,10"
dvp_096_place_9	New Jersey	Q1408		"40,-74.5"
dvp_096_place_10	Rumson	Q1087523		"40.376,-74.002"
dvp_096_place_11	New Jersey	Q1408		"40,-74.5"
dvp_096_place_12	New York City	Q60		"40.712728,-74.006015"
dvp_096_place_13	New Jersey	Q1408		"40,-74.5"
dvp_096_place_14	New York City	Q60		"40.712728,-74.006015"
dvp_096_place_15	New York City	Q60		"40.712728,-74.006015"
dvp_096_place_16	Mass Row	Q105718813		"43.7038149,-72.2909315"
dvp_096_place_17	New Hampshire	Q759		"44,-71.5"
dvp_096_place_18	Boston	Q100		"42.358333333333,-71.0625"
dvp_096_place_19	Hanover	Q131908		"43.7,-72.28333333333333"
dvp_096_place_20	Dartmouth College	Q49116		"43.703333333333,-72.288333333333"
dvp_096_place_21	Boston	Q100		"42.358333333333,-71.0625"
dvp_096_place_22	Hanover	Q131908		"43.7,-72.28333333333333"
dvp_096_place_23	New Hampshire	Q759		"44,-71.5"
dvp_096_place_24	Rumson	Q1087523		"40.376,-74.002"
dvp_096_place_25	Korea	Q18097		"38.316666666667,127.23333333333"
dvp_096_place_26	United States Military Academy	Q9219		"41.39277778,-73.95833333"
dvp_096_place_27	Annapolis	Q28271		"38.978611111111114,-76.49194444444444"
dvp_096_place_28	United States of America	Q30		"39.828175,-98.5795"
dvp_096_place_29	Annapolis	Q28271		"38.978611111111114,-76.49194444444444"
dvp_096_place_30	United States of America	Q30		"39.828175,-98.5795"
dvp_096_place_31	Crosby Hall	Q108862878		"43.70489259048609,-72.29011169061454"
dvp_096_place_32	Crosby Hall	Q108862878		"43.70489259048609,-72.29011169061454"
dvp_096_place_33	United States of America	Q30		"39.828175,-98.5795"
dvp_096_place_34	Chase Field	Q104904686		"43.69826,-72.27943"
dvp_096_place_35	Chase Field	Q104904686		"43.69826,-72.27943"
dvp_096_place_36	Crosby Hall	Q108862878		"43.70489259048609,-72.29011169061454"
