id	orgName
dvp_099_org_0	Dartmouth Vietnam Project
dvp_099_org_1	Dartmouth College
dvp_099_org_2	Navy
dvp_099_org_3	Dartmouth
dvp_099_org_4	[University of] Oxford
dvp_099_org_5	Wheaton College
dvp_099_org_6	Dartmouth
dvp_099_org_7	Republican Party
dvp_099_org_8	Wheaton
dvp_099_org_9	Peace Corps
dvp_099_org_10	National Gallery of Art [Washington, DC]
dvp_099_org_11	Harvard
dvp_099_org_12	Montgomery County
dvp_099_org_13	Quaker
dvp_099_org_14	White House
dvp_099_org_15	Peace Corps
dvp_099_org_16	Peace Corps
dvp_099_org_17	Peace Corps
dvp_099_org_18	Peace Corps
dvp_099_org_19	Peace Corps
dvp_099_org_20	Peace Corps
dvp_099_org_21	Dartmouth
dvp_099_org_22	Oxford
dvp_099_org_23	Oxford
dvp_099_org_24	Kimble Union Academy
dvp_099_org_25	Dartmouth
dvp_099_org_26	State Department
dvp_099_org_27	FSC [American Friends Service Committee]
dvp_099_org_28	Viet Minh
dvp_099_org_29	American Friends Service Committee [AFSC]
dvp_099_org_30	AFSC
dvp_099_org_31	AFSC
dvp_099_org_32	AFSC
dvp_099_org_33	AFSC
dvp_099_org_34	Atlantic Philanthropies Health Programs
dvp_099_org_35	AFSC
dvp_099_org_36	USAID
dvp_099_org_37	National Liberation Front
dvp_099_org_38	Viet Cong
dvp_099_org_39	Viet Cong
dvp_099_org_40	National Liberation Front
dvp_099_org_41	CIA
dvp_099_org_42	ARVN [Army of the Republic of Vietnam]
dvp_099_org_43	ARVN
dvp_099_org_44	PRG [Provisional Revolutionary Government
dvp_099_org_45	BBC
dvp_099_org_46	ARVN
dvp_099_org_47	National Liberation Front
dvp_099_org_48	National Liberation Front
dvp_099_org_49	Communist Party
dvp_099_org_50	Communist Party
dvp_099_org_51	Communist Party
dvp_099_org_52	CIA
dvp_099_org_53	AFSC
dvp_099_org_54	New York Times
dvp_099_org_55	ARVN
dvp_099_org_56	CIA
dvp_099_org_57	Washington Post
dvp_099_org_58	Congress
dvp_099_org_59	National Liberation Front
dvp_099_org_60	Marines
dvp_099_org_61	National Gallery
dvp_099_org_62	CIA
dvp_099_org_63	CIA
dvp_099_org_64	Phoenix program
dvp_099_org_65	Dartmouth
dvp_099_org_66	Hanoi Hilton
dvp_099_org_67	Amnesty International
dvp_099_org_68	Red Help
dvp_099_org_69	Red Help
dvp_099_org_70	Amnesty International
dvp_099_org_71	BBC
dvp_099_org_72	BBC
dvp_099_org_73	Marine
dvp_099_org_74	AFSC
dvp_099_org_75	AFSC
dvp_099_org_76	National Liberation Front
dvp_099_org_77	National Liberation Front
dvp_099_org_78	London school for Asia and Africa [SOAS University of London]
dvp_099_org_79	CIA
