id	persName
dvp_100_person_0	Sara Harris [’18]
dvp_100_person_1	Trudell Guerue
dvp_100_person_2	George Running Horse
dvp_100_person_3	Elizabeth Ptesanwin Spotted Tail
dvp_100_person_4	Babe
dvp_100_person_5	Milton
dvp_100_person_6	Spotted Tail
dvp_100_person_7	Crazy Horse
dvp_100_person_8	Crazy Horse
dvp_100_person_9	Sargent Shriver
dvp_100_person_10	Kennedy
dvp_100_person_11	Stephen Spotted Tail
dvp_100_person_12	Richard [M.] Nixon
dvp_100_person_13	[Dwight D.] Eisenhower
dvp_100_person_14	Martin Luther King
dvp_100_person_15	Martin Luther King
dvp_100_person_16	Wilson Murray
dvp_100_person_17	Dennis Spotted Tail
dvp_100_person_18	Private Guerue
dvp_100_person_19	Sara
dvp_100_person_20	James R. Smith
dvp_100_person_21	Ronnie Reagan
dvp_100_person_22	Sara
dvp_100_person_23	Sara
dvp_100_person_24	Steve Tice
dvp_100_person_25	Mrs. Scotford
dvp_100_person_26	John [G.] Kemeny
dvp_100_person_27	Captain Guerue
dvp_100_person_28	Captain Guerue
dvp_100_person_29	Sara
dvp_100_person_30	Frost
dvp_100_person_31	Sara
dvp_100_person_32	Sara
dvp_100_person_33	Sara
dvp_100_person_34	Sara
