id	orgName
dvp_040_org_0	Dartmouth [College]
dvp_040_org_1	Revere Copper and Brass [Inc., now Revere Copper Products, Inc.]
dvp_040_org_2	Rome Cable [Corporation]
dvp_040_org_3	General Cable [Corporation]
dvp_040_org_4	[U.S.] Air Force
dvp_040_org_5	Air Force
dvp_040_org_6	Air Force
dvp_040_org_7	Dartmouth
dvp_040_org_8	[U.S.] Coast Guard Air and Sea Rescue
dvp_040_org_9	Dartmouth
dvp_040_org_10	American Field Service [now AFS Intercultural Programs, Inc.]
dvp_040_org_11	British 8th Army
dvp_040_org_12	American Field Service
dvp_040_org_13	Random House
dvp_040_org_14	National Guard [of the United States]
dvp_040_org_15	Army
dvp_040_org_16	Air Force
dvp_040_org_17	Swingline
dvp_040_org_18	University of Denver
dvp_040_org_19	Dartmouth
dvp_040_org_20	Dartmouth
dvp_040_org_21	IRS [Internal Revenue Service]
dvp_040_org_22	MIT [Massachusetts Institute of Technology]
dvp_040_org_23	Harvard [University]
dvp_040_org_24	Brown [University]
dvp_040_org_25	Dartmouth
dvp_040_org_26	NASTAR [National Standard Race]
dvp_040_org_27	Dartmouth
dvp_040_org_28	Dartmouth
dvp_040_org_29	Dartmouth
dvp_040_org_30	Air Force
dvp_040_org_31	Air Force
dvp_040_org_32	Air Force
dvp_040_org_33	Utica College
dvp_040_org_34	Utica College
dvp_040_org_35	Syracuse University
dvp_040_org_36	Dartmouth
dvp_040_org_37	Dartmouth
dvp_040_org_38	St. Lawrence [University]
dvp_040_org_39	Middlebury [College]
dvp_040_org_40	Dartmouth
dvp_040_org_41	Dartmouth
dvp_040_org_42	Dartmouth
dvp_040_org_43	Middlebury
dvp_040_org_44	Dartmouth
dvp_040_org_45	Dartmouth
dvp_040_org_46	Army
dvp_040_org_47	ROTC [Reserve Officers’ Training Corps]
dvp_040_org_48	[U.S.] Army
dvp_040_org_49	[U.S.] Navy
dvp_040_org_50	[U.S.] Air Force
dvp_040_org_51	ROTC
dvp_040_org_52	Army ROTC
dvp_040_org_53	ROTC
dvp_040_org_54	Dartmouth
dvp_040_org_55	ROTC
dvp_040_org_56	Dartmouth Vietnam project
dvp_040_org_57	ROTC
dvp_040_org_58	ROTC
dvp_040_org_59	Columbia University
dvp_040_org_60	U.S. Army
dvp_040_org_61	Selective Service [System]
dvp_040_org_62	Theta Delt[a Chi]
dvp_040_org_63	Peace Corps
dvp_040_org_64	Army
dvp_040_org_65	Selective Service Board
dvp_040_org_66	Rome Sentinel
dvp_040_org_67	U.S. Marine
dvp_040_org_68	Marine
dvp_040_org_69	United States marines
dvp_040_org_70	marines
dvp_040_org_71	Army
dvp_040_org_72	Marines
dvp_040_org_73	Republican
dvp_040_org_74	General Motors
dvp_040_org_75	Army
dvp_040_org_76	Army
dvp_040_org_77	U.S. Army
dvp_040_org_78	Army
dvp_040_org_79	ROTC
dvp_040_org_80	ROTC
dvp_040_org_81	Army
dvp_040_org_82	Defense
dvp_040_org_83	U.S. Congress
dvp_040_org_84	Norwich University
dvp_040_org_85	ROTC
dvp_040_org_86	Army
dvp_040_org_87	Army
dvp_040_org_88	Army
dvp_040_org_89	Army
dvp_040_org_90	Air Force
dvp_040_org_91	3rd Brigade of the 82nd Airborne [Division of the U.S. Army]
dvp_040_org_92	25th Infantry Division [of the U.S. Army]
dvp_040_org_93	3rd Brigade of the 82nd Airborne
dvp_040_org_94	VC [Viet Cong]
dvp_040_org_95	3rd Brigade of the 82nd Airborne
dvp_040_org_96	Army
dvp_040_org_97	West Pointer [a graduate of the U.S. Military Academy at West Point]
dvp_040_org_98	 3rd Brigade of the 82nd Airborne
dvp_040_org_99	Army
dvp_040_org_100	82nd Airborne
dvp_040_org_101	82nd Airborne
dvp_040_org_102	ROTC
dvp_040_org_103	ROTC
dvp_040_org_104	VC
dvp_040_org_105	82nd Airborne
dvp_040_org_106	Army
dvp_040_org_107	Air Force
dvp_040_org_108	82nd
dvp_040_org_109	Air Force
dvp_040_org_110	VC
dvp_040_org_111	Air Force
dvp_040_org_112	Army
dvp_040_org_113	Army
dvp_040_org_114	U.S. Army
dvp_040_org_115	25th
dvp_040_org_116	ARVN [pronounced AR-vin; Army of the Republic of Vietnam]
dvp_040_org_117	Dartmouth
dvp_040_org_118	82nd
dvp_040_org_119	82nd
dvp_040_org_120	Air Force
dvp_040_org_121	Army
dvp_040_org_122	25th Infantry Division
dvp_040_org_123	82nd
dvp_040_org_124	25th
dvp_040_org_125	25th Infantry Division
dvp_040_org_126	25th Infantry Division
dvp_040_org_127	Alpha Company the 2nd Battalion, 12th Infantry, 25th Infantry Division [Company A, 2nd Battalion, 12th Infantry Regiment, 25th Infantry Division of the U.S. Army]
dvp_040_org_128	3rd Brigade of the 82nd Airborne
dvp_040_org_129	25th Infantry Division
dvp_040_org_130	Army
dvp_040_org_131	Air Force
dvp_040_org_132	Dartmouth rugby
dvp_040_org_133	Army
dvp_040_org_134	25th Infantry Division
dvp_040_org_135	25th Infantry Division
dvp_040_org_136	25th Infantry Division
dvp_040_org_137	Dartmouth
dvp_040_org_138	Dartmouth Rugby [Football] Club
dvp_040_org_139	2nd of the 12th [2nd Battalion of the 12th Infantry Regiment]
dvp_040_org_140	Charlie Company
dvp_040_org_141	Alpha Company
dvp_040_org_142	Headquarters Company
dvp_040_org_143	Headquarters Company
dvp_040_org_144	25th Infantry
dvp_040_org_145	25th Division
dvp_040_org_146	Army
dvp_040_org_147	New York Times
dvp_040_org_148	Army
dvp_040_org_149	NBC [National Broadcasting Company]
dvp_040_org_150	Dartmouth
dvp_040_org_151	NBC
dvp_040_org_152	United Way
dvp_040_org_153	United Nations
dvp_040_org_154	NVA [North Vietnamese Army]
dvp_040_org_155	VC
dvp_040_org_156	South Vietnamese
dvp_040_org_157	NVA
dvp_040_org_158	VC
dvp_040_org_159	25th Infantry Division
dvp_040_org_160	NVA
dvp_040_org_161	South Vietnamese
dvp_040_org_162	Army
dvp_040_org_163	ARVN
dvp_040_org_164	NVA
dvp_040_org_165	Army
dvp_040_org_166	Army
dvp_040_org_167	Army
dvp_040_org_168	25th Infantry Division
dvp_040_org_169	2nd of the 12th in the 25th Infantry Division
dvp_040_org_170	Columbia
dvp_040_org_171	Trinity College
dvp_040_org_172	Army
dvp_040_org_173	Army
dvp_040_org_174	Army
