id	name	QID	dvp_id	end time	point in time	start time
dvp_008_event1	1964 New York World's Fair	Q1189910			1964-01-01T00:00:00Z	
dvp_008_event2	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z	
dvp_008_event3	Cold War	Q8683		1991-01-01T00:00:00Z		1947-01-01T00:00:00Z
dvp_008_event4	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_008_event5	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z	
dvp_008_event6	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z	
dvp_008_event7	Cuban Missile Crisis	Q128160		1962-10-28T00:00:00Z	1962-01-01T00:00:00Z	1962-10-14T00:00:00Z
dvp_008_event8	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z	
dvp_008_event9	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z	
dvp_008_event10	assassination of Martin Luther King Jr.	Q757963			1968-04-04T00:00:00Z	
dvp_008_event11	assassination of Martin Luther King Jr.	Q757963			1968-04-04T00:00:00Z	
dvp_008_event12	assassination of John F. Kennedy	Q193484			1963-11-22T00:00:00Z	
dvp_008_event13	assassination of Martin Luther King Jr.	Q757963			1968-04-04T00:00:00Z	
dvp_008_event14	assassination of Robert F. Kennedy	Q1187550			1968-06-05T00:00:00Z	
dvp_008_event15	1968 Democratic National Convention	Q83516			1968-01-01T00:00:00Z	
dvp_008_event16	1968 Democratic National Convention	Q83516			1968-01-01T00:00:00Z	
dvp_008_event17	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_008_event18	Kent State shootings	Q482635			1970-05-04T00:00:00Z	
dvp_008_event19	1968 Democratic National Convention	Q83516			1968-01-01T00:00:00Z	
dvp_008_event20	1968 Democratic National Convention	Q83516			1968-01-01T00:00:00Z	
dvp_008_event21	Vietnam War	Q8740		1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_008_event22	World War II	Q362		1945-09-02T00:00:00Z		1939-09-01T00:00:00Z
dvp_008_event23	Battle of the Alamo	Q235344		1836-03-06T00:00:00Z	1836-03-06T00:00:00Z	1836-02-23T00:00:00Z
dvp_008_event24	Kent State/Cambodian Incursion Protest	Q101064593			1970-05-09T00:00:00Z	
dvp_008_event25	Cambodian Campaign	Q2994973		1975-01-01T00:00:00Z	1970-07-22T00:00:00Z	1970-04-29T00:00:00Z
				1970-07-22T00:00:00Z		1968-01-01T00:00:00Z
dvp_008_event26	Kent State shootings	Q482635			1970-05-04T00:00:00Z	
dvp_008_event27	Woodstock Festival	Q164815		1969-08-18T00:00:00Z		1969-08-15T00:00:00Z
dvp_008_event28	Altamont Free Concert	Q434319			1969-12-06T00:00:00Z	
dvp_008_event29	Kent State/Cambodian Incursion Protest	Q101064593			1970-05-09T00:00:00Z	
dvp_008_event30	Iraq War	Q545449		2011-12-15T00:00:00Z		2003-03-20T00:00:00Z
dvp_008_event31	Occupy Wall Street	Q180654			2011-09-17T00:00:00Z	
dvp_008_event32	Occupy Wall Street	Q180654			2011-09-17T00:00:00Z	
dvp_008_event33	Iraq War	Q545449		2011-12-15T00:00:00Z		2003-03-20T00:00:00Z
