id	persName
dvp_008_person1	Tim Harrison
dvp_008_person2	Paul Hodes
dvp_008_person3	Robert
dvp_008_person4	Florence Hodes
dvp_008_person5	Mrs. Much
dvp_008_person6	president of the United States, John F. Kennedy
dvp_008_person7	Kennedy
dvp_008_person8	Nabil Fahmy
dvp_008_person9	Mr. Adams
dvp_008_person10	Hodes
dvp_008_person11	John F. Kennedy
dvp_008_person12	Dr. Robert Atkins
dvp_008_person13	Dustin Hoffman
dvp_008_person14	Mr. [Bill] Perkins
dvp_008_person15	Martin Luther King
dvp_008_person16	Robert F. Kennedy
dvp_008_person17	John Fowler
dvp_008_person18	Peter Max
dvp_008_person19	Bob Dylan
dvp_008_person20	John Hammond
dvp_008_person21	Arthur Butler
dvp_008_person22	Edgar Bronfman [Jr.]
dvp_008_person23	John Rassias
dvp_008_person24	John
dvp_008_person25	Meryl Streep
dvp_008_person26	Chris Merchant
dvp_008_person27	Atkins
dvp_008_person28	[President] Dwight [D.] Eisenhower
dvp_008_person29	President [John G.] Kemeny
dvp_008_person30	Kemeny
dvp_008_person31	President Dickey
dvp_008_person32	President [John Sloan] Dickey
dvp_008_person33	David Green '71
dvp_008_person34	David Green ’71
dvp_008_person35	David
dvp_008_person36	Professor [Edward G.] Miller
dvp_008_person37	[John G.] Spritzler [Class of 1968]
dvp_008_person38	Spritzler
dvp_008_person39	Richard [M.] Nixon
dvp_008_person40	E. E. Cummings
dvp_008_person41	Neil Young
dvp_008_person42	David Souter
dvp_008_person43	Jeanne Shaheen
dvp_008_person44	President [George W.] Bush
dvp_008_person45	Bush
dvp_008_person46	[Charles F.] Charlie Bass
dvp_008_person47	Paul
dvp_008_person48	Charlie
dvp_008_person49	President Bush
dvp_008_person50	[Vice President Richard Bruce (Dick)] Cheney
dvp_008_person51	[Donald H.] Rumsfeld
