id	persName
dvp_039_person_0	Tim Harrison
dvp_039_person_1	David C. Hoeh
dvp_039_person_2	Mr. Hoeh
dvp_039_person_3	Priscilla Smith Hoeh
dvp_039_person_4	Robert Yetter Hoeh
dvp_039_person_5	[Otto von] Bismarck’s
dvp_039_person_6	Jonathan Smith
dvp_039_person_7	[Adolf] Hitler
dvp_039_person_8	[Senator Henry] Styles Bridges
dvp_039_person_9	[Senator Joseph] “Joe” McCarthy
dvp_039_person_10	Styles Bridges
dvp_039_person_11	Joe McCarthy
dvp_039_person_12	Styles Bridges
dvp_039_person_13	[President Franklin D.] Roosevelt
dvp_039_person_14	Adlai [E.] Stevenson [II]
dvp_039_person_15	Adlai Stevenson
dvp_039_person_16	[Mayor James] Michael Curley
dvp_039_person_17	Bill Kennedy
dvp_039_person_18	[William L.] “Bill” Dunfey
dvp_039_person_19	Bill
dvp_039_person_20	William Loeb
dvp_039_person_21	David
dvp_039_person_22	[John F.] “Jack” Kennedy
dvp_039_person_23	Adlai Stevenson
dvp_039_person_24	Dunfey
dvp_039_person_25	McCarthy
dvp_039_person_26	Joe McCarthy
dvp_039_person_27	Joe McCarthy
dvp_039_person_28	John [W.] King
dvp_039_person_29	John King
dvp_039_person_30	[Dartmouth President John S.] Dickey
dvp_039_person_31	Dickey
dvp_039_person_32	Dickey
dvp_039_person_33	[John G.] Kemeny
dvp_039_person_34	Kemeny
dvp_039_person_35	Dickey
dvp_039_person_36	[Franklin] “Frank” Smallwood
dvp_039_person_37	Governor King
dvp_039_person_38	[U.S. Senator Thomas J.] McIntyre
dvp_039_person_39	Charles [B.] Officer
dvp_039_person_40	Meryl Streep
dvp_039_person_41	Robin Williams
dvp_039_person_42	Tom McIntyre
dvp_039_person_43	Styles Bridges
dvp_039_person_44	Jack Kennedy
dvp_039_person_45	McIntyre
dvp_039_person_46	Kennedy
dvp_039_person_47	Frank Smallwood
dvp_039_person_48	Roger [H.] Davidson
dvp_039_person_49	Kennedy
dvp_039_person_50	Kennedy
dvp_039_person_51	Johnson
dvp_039_person_52	[U.S. Senator Barry M.] Goldwater
dvp_039_person_53	Goldwater
dvp_039_person_54	Johnson
dvp_039_person_55	Johnson
dvp_039_person_56	Goldwater
dvp_039_person_57	Johnson
dvp_039_person_58	Johnson
dvp_039_person_59	[Robert F.] “Bobby” Kennedy
dvp_039_person_60	Johnson
dvp_039_person_61	[the Rev.] Martin Luther King [Jr.]
dvp_039_person_62	Mr.Hoeh
dvp_039_person_63	David Hoeh
dvp_039_person_64	Tim Harrison
dvp_039_person_65	Mr.Hoeh
dvp_039_person_66	Joe McCarthy
dvp_039_person_67	Styles Bridges
dvp_039_person_68	Johnson
dvp_039_person_69	Johnson
dvp_039_person_70	Goldwater
dvp_039_person_71	Johnson
dvp_039_person_72	Johnson
dvp_039_person_73	Eugene [S.] Daniell [Jr.]
dvp_039_person_74	Robert Kennedy
dvp_039_person_75	Kennedy
dvp_039_person_76	Robert Kennedy
dvp_039_person_77	Kennedy
dvp_039_person_78	Kennedy
dvp_039_person_79	Kennedy
dvp_039_person_80	Daniell
dvp_039_person_81	Bobby Kennedy
dvp_039_person_82	[George S.] McGovern
dvp_039_person_83	Gerry [U.S. Representative Gerry E. Studds]
dvp_039_person_84	Gerry
dvp_039_person_85	Johnson
dvp_039_person_86	Gerry
dvp_039_person_87	Father Robert [F.] Drinan
dvp_039_person_88	[Michael J.] Harrington
dvp_039_person_89	[Eugene] McCarthy
dvp_039_person_90	Johnson
dvp_039_person_91	Senator McIntyre
dvp_039_person_92	Styles Bridges
dvp_039_person_93	McCarthy
dvp_039_person_94	Lyndon Johnson
dvp_039_person_95	Lyndon
dvp_039_person_96	Eugene McCarthy
dvp_039_person_97	[Estes] Kefauver
dvp_039_person_98	U.S. Senator Eugene McCarthy
dvp_039_person_99	Hubert [H.] Humphrey
dvp_039_person_100	John F. Kennedy
dvp_039_person_101	McCarthy
dvp_039_person_102	Johnson
dvp_039_person_103	Johnson
dvp_039_person_104	Gerry Studds
dvp_039_person_105	Eugene McCarthy
dvp_039_person_106	Bobby Kennedy
dvp_039_person_107	McCarthy
dvp_039_person_108	Gerry Studds
dvp_039_person_109	[L.] Blair Clark
dvp_039_person_110	McCarthy
dvp_039_person_111	Eugene McCarthy
dvp_039_person_112	Dave
dvp_039_person_113	Blair Clark
dvp_039_person_114	Clark
dvp_039_person_115	Gerry Studds
dvp_039_person_116	Blair
dvp_039_person_117	McCarthy
dvp_039_person_118	Johnson
dvp_039_person_119	McCarthy
dvp_039_person_120	Bobby Kennedy
dvp_039_person_121	Jack Kennedy
dvp_039_person_122	Johnson
dvp_039_person_123	McCarthy
dvp_039_person_124	McCarthy
dvp_039_person_125	McCarthy
dvp_039_person_126	McCarthy
dvp_039_person_127	McCarthy
dvp_039_person_128	McCarthy
dvp_039_person_129	Gene
dvp_039_person_130	Gerry
dvp_039_person_131	Gerry Studds
dvp_039_person_132	Gerry
dvp_039_person_133	McCarthy
dvp_039_person_134	Eugene McCarthy
dvp_039_person_135	Gene
dvp_039_person_136	Eugene McCarthy
dvp_039_person_137	McCarthy
dvp_039_person_138	McCarthy
dvp_039_person_139	Robert Kennedy
dvp_039_person_140	Kennedy
dvp_039_person_141	McCarthy
dvp_039_person_142	McCarthy
dvp_039_person_143	McCarthy
dvp_039_person_144	Mr. Hoeh
