id	placeName
dvp_039_place_0	Rauner Library
dvp_039_place_1	Hanover, New Hampshire
dvp_039_place_2	Boston
dvp_039_place_3	Boston
dvp_039_place_4	Andover, Massachusetts
dvp_039_place_5	Boston
dvp_039_place_6	Wellesley
dvp_039_place_7	Boston
dvp_039_place_8	Roxbury
dvp_039_place_9	Germany
dvp_039_place_10	Boston, Roxbury
dvp_039_place_11	Financial District of downtown Boston
dvp_039_place_12	Roxbury
dvp_039_place_13	Vermont
dvp_039_place_14	Connecticut
dvp_039_place_15	Vermont
dvp_039_place_16	Massachusetts
dvp_039_place_17	Newton, Massachusetts
dvp_039_place_18	Roxbury Crossing
dvp_039_place_19	Newton
dvp_039_place_20	Walnut Street in Newton
dvp_039_place_21	[Massachusetts] Route 128
dvp_039_place_22	128
dvp_039_place_23	Fort Devens
dvp_039_place_24	Boston
dvp_039_place_25	Deven [sic; Devens]
dvp_039_place_26	Fort Devens
dvp_039_place_27	England
dvp_039_place_28	England
dvp_039_place_29	Boston
dvp_039_place_30	Boston
dvp_039_place_31	Boston
dvp_039_place_32	[Great Lakes] Naval Museum in Chicago
dvp_039_place_33	central Boston
dvp_039_place_34	Boston
dvp_039_place_35	Route 128
dvp_039_place_36	Germany
dvp_039_place_37	Germany
dvp_039_place_38	German Empire
dvp_039_place_39	Jamaica Plain
dvp_039_place_40	Boston
dvp_039_place_41	Germany
dvp_039_place_42	France
dvp_039_place_43	Boston
dvp_039_place_44	States
dvp_039_place_45	Walnut Street
dvp_039_place_46	Newton
dvp_039_place_47	Vermont
dvp_039_place_48	Germany
dvp_039_place_49	Japan
dvp_039_place_50	Vermont
dvp_039_place_51	Vermont
dvp_039_place_52	Japan
dvp_039_place_53	Japan
dvp_039_place_54	Vermont
dvp_039_place_55	Japan
dvp_039_place_56	Vermont
dvp_039_place_57	Australia
dvp_039_place_58	New Zealand
dvp_039_place_59	Japan
dvp_039_place_60	Soviet Union
dvp_039_place_61	France
dvp_039_place_62	Britain
dvp_039_place_63	Moscow
dvp_039_place_64	Russia
dvp_039_place_65	America
dvp_039_place_66	Ohio
dvp_039_place_67	Boston
dvp_039_place_68	New York
dvp_039_place_69	Boston
dvp_039_place_70	Siberia
dvp_039_place_71	Armenia
dvp_039_place_72	Beirut
dvp_039_place_73	Cairo
dvp_039_place_74	New Hampshire
dvp_039_place_75	New Hampshire
dvp_039_place_76	New Hampshire
dvp_039_place_77	New Hampshire
dvp_039_place_78	United States
dvp_039_place_79	New Hampshire
dvp_039_place_80	New Hampshire
dvp_039_place_81	Canada
