id	placeName	QID	dvp_id	coordinate location
dvp_009_place_0	Glen Ridge	Q1003074		40.8048,-74.2046
dvp_009_place_1	Glen Ridge	Q1003074		40.8048,-74.2046
dvp_009_place_2	New Jersey	Q1408		40,-74.5
dvp_009_place_3	Pennsylvania	Q1400		41,-77.5
dvp_009_place_4	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_5	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_6	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_7	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_8	Bethany	Q1131828		41.6144,-75.2886
				41.61314,-75.28434
dvp_009_place_9	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_10	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_11	New Haven	Q49145		41.308333333333,-72.925
dvp_009_place_12	North Haven	Q754769		41.381666666667,-72.858333333333
				41.39093,-72.85954
dvp_009_place_13	Bethany	Q2572268		41.425555555556,-72.9925
dvp_009_place_14	Pottstown	Q1185890		40.2497,-75.6403
dvp_009_place_15	Pennsylvania	Q1400		41,-77.5
dvp_009_place_16	Dartmouth Skiway	Q5225725		43.7869,-72.1008
dvp_009_place_17	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_009_place_18	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_009_place_19	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_009_place_20	Dartmouth College Dick's House	Q104906179		43.70877,-72.28693
dvp_009_place_21	Indiana	Q1415		39.933333333333,-86.216666666667
dvp_009_place_22	England	Q21		53,-1
dvp_009_place_23	England	Q21		53,-1
dvp_009_place_24	Ardennes	Q151985		50.25,5.6666666666667
dvp_009_place_25	Germans			
dvp_009_place_26	Russians			
dvp_009_place_27	Russians			
dvp_009_place_28	French			
dvp_009_place_29	Canadian			
dvp_009_place_30	British			
dvp_009_place_31	Americans			
dvp_009_place_32	Vietnam	Q881		16,108
dvp_009_place_33	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_009_place_34	Post Mills	Q968316		43.8856,-72.2606
dvp_009_place_35	Newport	Q54264		41.488002,-71.312622
dvp_009_place_36	Naval Air Station Brunswick	Q3015041		43.892222222222,-69.938611111111
dvp_009_place_37	Texas	Q1439		31,-100
dvp_009_place_38	Little Neck Creek	Q49935718		36.870277777778,-76.007777777778
dvp_009_place_39	Charleston	Q47716		32.776111111111,-79.9325
dvp_009_place_40	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_009_place_41	Main Street	Q104906192		43.70167,-72.28942
dvp_009_place_42	Canada	Q16		56,-109
dvp_009_place_43	Vietnam	Q881		16,108
dvp_009_place_44	Canada	Q16		56,-109
dvp_009_place_45	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_009_place_46	Vietnam	Q881		16,108
dvp_009_place_47	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_009_place_48	Vietnam	Q881		16,108
dvp_009_place_49	Baker Library/Bloomberg Center	Q42377658		
dvp_009_place_50	The Green	Q7738117		43.7033,-72.2886
dvp_009_place_51	Naval Air Station Pensacola	Q321162		30.354166666667,-87.305555555556
dvp_009_place_52	Pensacola	Q486306		30.433333333333,-87.2
dvp_009_place_53	Pensacola	Q486306		30.433333333333,-87.2
dvp_009_place_54	Pensacola	Q486306		30.433333333333,-87.2
dvp_009_place_55	Saufley Field	Q7427191		30.469722222222,-87.338055555556
dvp_009_place_56	Pensacola	Q486306		30.433333333333,-87.2
dvp_009_place_57	Pensacola	Q486306		30.433333333333,-87.2
dvp_009_place_58	Naval Air Station Meridian	Q3015139		32.553480555556,-88.555263888889
dvp_009_place_59	Mississippi	Q1494		33,-90
dvp_009_place_60	Pensacola	Q486306		30.433333333333,-87.2
dvp_009_place_61	Naval Air Station Kingsville	Q3017597		27.5072,-97.8097
dvp_009_place_62	Naval Air Station Chase Field	Q6981704		28.3644,-97.6598
dvp_009_place_63	Beeville	Q814163		28.405277777778,-97.750555555556
dvp_009_place_64	Vietnam	Q881		16,108
dvp_009_place_65	Naval Air Station Lemoore	Q3016272		36.333055555556,-119.95194444444
dvp_009_place_66	Fresno	Q43301		36.781666666667,-119.79222222222
dvp_009_place_67	Fresno	Q43301		36.781666666667,-119.79222222222
dvp_009_place_68	Newport	Q54264		41.488002,-71.312622
dvp_009_place_69	California	Q99		37,-120
dvp_009_place_70	Vietnam	Q881		16,108
dvp_009_place_71	Fresno	Q43301		36.781666666667,-119.79222222222
dvp_009_place_72	California	Q99		37,-120
dvp_009_place_73	California	Q99		37,-120
dvp_009_place_74	Nevada	Q1227		39,-117
dvp_009_place_75	Arizona	Q816		34.286667,-111.656944
dvp_009_place_76	Vietnam	Q881		16,108
dvp_009_place_77	Vietnam	Q881		16,108
dvp_009_place_78	Vietnam	Q881		16,108
dvp_009_place_79	Lemoore	Q986940		36.303888888889,-119.78638888889
dvp_009_place_80	Naval Air Station Fallon	Q3017348		39.425,-118.703
dvp_009_place_81	Nevada	Q1227		39,-117
dvp_009_place_82	Vietnam	Q881		16,108
dvp_009_place_83	Hawaii	Q782		21.3075,-157.8575
dvp_009_place_84	Naval Air Station Cubi Point	Q3017866		14.79445,120.27136388889
				6.1075,125.232778
				14.79654,120.27669
dvp_009_place_85	Philippines	Q928		12,123
dvp_009_place_86	Yankees – East 153rd Street	Q5937334		40.825375,-73.930267
dvp_009_place_87	Yankees – East 153rd Street	Q5937334		40.825375,-73.930267
dvp_009_place_88	Yankees – East 153rd Street	Q5937334		40.825375,-73.930267
dvp_009_place_89	Yankees – East 153rd Street	Q5937334		40.825375,-73.930267
dvp_009_place_90	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_91	Vietnamese Demilitarized Zone	Q2349960		16.9875,107.0359
dvp_009_place_92	Yankees – East 153rd Street	Q5937334		40.825375,-73.930267
dvp_009_place_93	South Vietnam	Q180573		10.75,106.66666666667
dvp_009_place_94	Laos	Q819		18.2,104
dvp_009_place_95	Vietnamese Demilitarized Zone	Q2349960		16.9875,107.0359
dvp_009_place_96	Laos	Q819		18.2,104
dvp_009_place_97	South Vietnam	Q180573		10.75,106.66666666667
dvp_009_place_98	Ho Chi Minh trail	Q695916		18.6852,104.8373
dvp_009_place_99	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_100	Laos	Q819		18.2,104
dvp_009_place_101	South Vietnam	Q180573		10.75,106.66666666667
dvp_009_place_102	South Vietnam	Q180573		10.75,106.66666666667
dvp_009_place_103	Ho Chi Minh trail	Q695916		18.6852,104.8373
dvp_009_place_104	Vietnam	Q881		16,108
dvp_009_place_105	Vietnam	Q881		16,108
dvp_009_place_106	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_107	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_108	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_109	United States of America	Q30		39.828175,-98.5795
dvp_009_place_110	San Diego	Q16552		32.715,-117.1625
dvp_009_place_111	South Vietnam	Q180573		10.75,106.66666666667
dvp_009_place_112	Vietnamese Demilitarized Zone	Q2349960		16.9875,107.0359
dvp_009_place_113	Ho Chi Minh trail	Q695916		18.6852,104.8373
dvp_009_place_114	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_115	Yokosuka	Q200578		35.25,139.66666666667
dvp_009_place_116	San Diego	Q16552		32.715,-117.1625
dvp_009_place_117	Yankees – East 153rd Street	Q5937334		40.825375,-73.930267
dvp_009_place_118	Laos	Q819		18.2,104
dvp_009_place_119	South Vietnam	Q180573		10.75,106.66666666667
dvp_009_place_120	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_121	Hanoi	Q1858		21.0245,105.84117
dvp_009_place_122	Haiphong	Q72818		20.8,106.66666666667
dvp_009_place_123	North Vietnam	Q172640		21.033333,105.85
dvp_009_place_124	Haiphong	Q72818		20.8,106.66666666667
dvp_009_place_125	Hanoi	Q1858		21.0245,105.84117
dvp_009_place_126	Haiphong	Q72818		20.8,106.66666666667
dvp_009_place_127	Russian			
dvp_009_place_128	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_009_place_129	United States of America	Q30		39.828175,-98.5795
