id	name	QID	dvp_id	start time	end time	point in time
dvp_038_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_038_event_1	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_038_event_2	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_038_event_3	March on Washington for Jobs and Freedom	Q1128871				1963-08-28T00:00:00Z
dvp_038_event_4	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_5	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_6	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_7	Gulf of Tonkin incident	Q482402		1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	
dvp_038_event_8	Gulf of Tonkin incident	Q482402		1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	
dvp_038_event_9	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_10	Assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_038_event_11	September 11 attack	Q10806				2001-09-11T00:00:00Z
dvp_038_event_12	ANNOUNCEMENT OF THE DEATH OF FRANKLIN D. ROOSEVELT (NAID 106473)	Q67526657				1945-04-11T20:00:00Z
dvp_038_event_13	Gulf of Tonkin incident	Q482402		1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	
dvp_038_event_14	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_15	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_16	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_17	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_18	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_19	Gulf of Tonkin incident	Q482402		1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	
dvp_038_event_20	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_21	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_22	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_23	My Lai Massacre	Q183421				1968-03-16T00:00:00Z
dvp_038_event_24	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_038_event_25	1968 presidential election	Q4573330				1968-11-04T19:00:00Z
dvp_038_event_26	assassination of Martin Luther King Jr.	Q757963				1968-04-04T00:00:00Z
dvp_038_event_27	assassination of Martin Luther King Jr.	Q757963				1968-04-04T00:00:00Z
dvp_038_event_28	assassination of Robert F. Kennedy	Q1187550				1968-06-05T00:00:00Z
dvp_038_event_29	assassination of Martin Luther King Jr.	Q757963				1968-04-04T00:00:00Z
dvp_038_event_30	assassination of Robert F. Kennedy	Q1187550				1968-06-05T00:00:00Z
dvp_038_event_31	assassination of Robert F. Kennedy	Q1187550				1968-06-05T00:00:00Z
dvp_038_event_32	assassination of Martin Luther King Jr.	Q757963				1968-04-04T00:00:00Z
