id	name	QID	start time	end time	point in time
dvp_036_event_0	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_1	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_2	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_3	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_4	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_5	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_6	Korean War	Q8663	1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_036_event_7	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_8	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_9	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_10	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_11	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_12	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_13	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_14	World War II	Q362	1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_036_event_15	Iraq War	Q545449	2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
dvp_036_event_16	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_17	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_18	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_19	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_20	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_21	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_036_event_22	Vietnam War	Q8740	1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
