id	orgName
dvp_036_org_0	Dartmouth College
dvp_036_org_1	Edina High School
dvp_036_org_2	Dartmouth
dvp_036_org_3	Ivy League
dvp_036_org_4	Stanford
dvp_036_org_5	Harvard
dvp_036_org_6	Marine Corps
dvp_036_org_7	Dartmouth
dvp_036_org_8	Dartmouth
dvp_036_org_9	Dartmouth
dvp_036_org_10	Dartmouth
dvp_036_org_11	Dartmouth
dvp_036_org_12	Dartmouth
dvp_036_org_13	Dartmouth
dvp_036_org_14	Dartmouth
dvp_036_org_15	Dartmouth
dvp_036_org_16	Dartmouth Outing Club
dvp_036_org_17	Ivy League
dvp_036_org_18	Dartmouth
dvp_036_org_19	Dartmouth
dvp_036_org_20	Dartmouth
dvp_036_org_21	Beta [Theta Pi, now Beta Alpha Omega]
dvp_036_org_22	Beta
dvp_036_org_23	Beta
dvp_036_org_24	Dartmouth
dvp_036_org_25	Dartmouth
dvp_036_org_26	Dartmouth
dvp_036_org_27	Dartmouth
dvp_036_org_28	Dartmouth
dvp_036_org_29	Dartmouth
dvp_036_org_30	Dartmouth
dvp_036_org_31	Dartmouth
dvp_036_org_32	Congress
dvp_036_org_33	ROTC [Reserve Officers’ Training Corps]
dvp_036_org_34	Tuck School [of Business]
dvp_036_org_35	Tuck School
dvp_036_org_36	Dartmouth
dvp_036_org_37	Tuck
dvp_036_org_38	Tuck
dvp_036_org_39	Dartmouth
dvp_036_org_40	Tuck
dvp_036_org_41	Tuck School
dvp_036_org_42	Dartmouth
dvp_036_org_43	Tuck
dvp_036_org_44	Tuck
dvp_036_org_45	Tuck
dvp_036_org_46	Tuck
dvp_036_org_47	Marine Corps
dvp_036_org_48	Marine
dvp_036_org_49	[U.S.] Army
dvp_036_org_50	Marine Corps
dvp_036_org_51	Marines
dvp_036_org_52	Marine Corps
dvp_036_org_53	Marine Corps
dvp_036_org_54	ROTC
dvp_036_org_55	Marine Corps
dvp_036_org_56	Tuck
dvp_036_org_57	Marine Corps
dvp_036_org_58	Marine Corps Officer Candidate School
dvp_036_org_59	Dartmouth
dvp_036_org_60	Marine
dvp_036_org_61	Class of ’66
dvp_036_org_62	Dartmouth
dvp_036_org_63	Class of ’67
dvp_036_org_64	Dartmouth
dvp_036_org_65	Dartmouth
dvp_036_org_66	Marines
dvp_036_org_67	Marine
dvp_036_org_68	Marine Corps officer training
dvp_036_org_69	Marine Corps OCS
dvp_036_org_70	Marine Corps
dvp_036_org_71	Marine Corps
dvp_036_org_72	Marine
dvp_036_org_73	Marine
dvp_036_org_74	Viet Cong
dvp_036_org_75	Marine Corps
dvp_036_org_76	Marine Corps
dvp_036_org_77	Marine Corps
dvp_036_org_78	Marine Corps
dvp_036_org_79	Marines
dvp_036_org_80	United States
dvp_036_org_81	Soviet Union
dvp_036_org_82	China
dvp_036_org_83	U.S.
dvp_036_org_84	NATO [North Atlantic Treaty Organization]
dvp_036_org_85	Germany
dvp_036_org_86	Dartmouth
dvp_036_org_87	Tuck School
dvp_036_org_88	Navy
dvp_036_org_89	[U.S. Navy] Seabees
dvp_036_org_90	Navy
dvp_036_org_91	navy SEALs [U.S. Navy’s Sea, Air, Land teams]
dvp_036_org_92	SEALs
dvp_036_org_93	SEALs
dvp_036_org_94	Marine Corps
dvp_036_org_95	Marine Corps
dvp_036_org_96	Army
dvp_036_org_97	1st Marine Division
dvp_036_org_98	Dartmouth College Class of 1965
dvp_036_org_99	Tuck School
dvp_036_org_100	Marine Corps
dvp_036_org_101	Marine
dvp_036_org_102	5th Marine Regiment
dvp_036_org_103	2nd Battalion, 5th Marines; 2/5
dvp_036_org_104	E Company
dvp_036_org_105	Echo Company
dvp_036_org_106	Echo Company
dvp_036_org_107	5th Marine Regiment
dvp_036_org_108	Dartmouth
dvp_036_org_109	Marine
dvp_036_org_110	Marine
dvp_036_org_111	Dartmouth
dvp_036_org_112	Dartmouth
dvp_036_org_113	Dartmouth
dvp_036_org_114	Marine Corps
dvp_036_org_115	USO [United Service Organizations]
dvp_036_org_116	Marines
dvp_036_org_117	Marine
dvp_036_org_118	Marine
dvp_036_org_119	Marines
dvp_036_org_120	Marines
dvp_036_org_121	Marines
dvp_036_org_122	VC [Viet Cong]
dvp_036_org_123	NVA [North Vietnamese Army]
dvp_036_org_124	NVA
dvp_036_org_125	VC
dvp_036_org_126	Special Forces
dvp_036_org_127	NVA
dvp_036_org_128	North Vietnamese Army
dvp_036_org_129	Marine
dvp_036_org_130	Special Forces
dvp_036_org_131	Thường Ðức.
dvp_036_org_132	NVA
dvp_036_org_133	NVA
dvp_036_org_134	Marine
dvp_036_org_135	Army
dvp_036_org_136	Marine
dvp_036_org_137	Marines
dvp_036_org_138	Special Forces
dvp_036_org_139	NVA
dvp_036_org_140	Marines
dvp_036_org_141	Marines
dvp_036_org_142	Stars and Stripes
dvp_036_org_143	Marines
dvp_036_org_144	Marines
dvp_036_org_145	Marine
dvp_036_org_146	Marines
dvp_036_org_147	Marines
dvp_036_org_148	U.S.
dvp_036_org_149	Marines
dvp_036_org_150	Dartmouth
dvp_036_org_151	Dartmouth ’65
dvp_036_org_152	Pan Am [Pan American World Airways]
dvp_036_org_153	Marine
dvp_036_org_154	Marine Corps
dvp_036_org_155	Marines
dvp_036_org_156	Marines
dvp_036_org_157	Marine Corps
dvp_036_org_158	Marine
dvp_036_org_159	Marine
dvp_036_org_160	Marine
dvp_036_org_161	Marine
dvp_036_org_162	Joint Chiefs of Staff
dvp_036_org_163	Marine
dvp_036_org_164	Marine
dvp_036_org_165	Marine
dvp_036_org_166	Marine
dvp_036_org_167	Marine
dvp_036_org_168	Marines
dvp_036_org_169	Marine Corps
dvp_036_org_170	Marine
dvp_036_org_171	Marines
dvp_036_org_172	Marines
dvp_036_org_173	Marine Corps
dvp_036_org_174	Marine Corps
dvp_036_org_175	Marine Corps
dvp_036_org_176	Marine Corps
dvp_036_org_177	Marine Corps
dvp_036_org_178	University of Washington
dvp_036_org_179	Marine
dvp_036_org_180	VA [U.S. Department of Veterans Affairs]
dvp_036_org_181	Marine
dvp_036_org_182	VA
dvp_036_org_183	Dartmouth
dvp_036_org_184	Dartmouth
dvp_036_org_185	Marine
